path	parent	name	id	synapseStore	contentType	used	executed	activityName	activityDescription
/home/kchen/Documents/genie_crc/data/synapse/CRC_2.0-public_clinical_data/cancer_panel_test_level_dataset.csv	syn39802567	cancer_panel_test_level_dataset.csv	syn39802578	True	text/csv				
/home/kchen/Documents/genie_crc/data/synapse/CRC_2.0-public_clinical_data/patient_level_dataset.csv	syn39802567	patient_level_dataset.csv	syn39802589	True	text/csv				
/home/kchen/Documents/genie_crc/data/synapse/CRC_2.0-public_clinical_data/cancer_level_dataset_non_index.csv	syn39802567	cancer_level_dataset_non_index.csv	syn39802575	True	text/csv				
/home/kchen/Documents/genie_crc/data/synapse/CRC_2.0-public_clinical_data/tm_level_dataset.csv	syn39802567	tm_level_dataset.csv	syn39802593	True	text/csv				
/home/kchen/Documents/genie_crc/data/synapse/CRC_2.0-public_clinical_data/med_onc_note_level_dataset.csv	syn39802567	med_onc_note_level_dataset.csv	syn39802583	True	text/csv				
/home/kchen/Documents/genie_crc/data/synapse/CRC_2.0-public_clinical_data/regimen_cancer_level_dataset.csv	syn39802567	regimen_cancer_level_dataset.csv	syn39802591	True	text/csv				
/home/kchen/Documents/genie_crc/data/synapse/CRC_2.0-public_clinical_data/imaging_level_dataset.csv	syn39802567	imaging_level_dataset.csv	syn39802579	True	text/csv				
/home/kchen/Documents/genie_crc/data/synapse/CRC_2.0-public_clinical_data/pathology_report_level_dataset.csv	syn39802567	pathology_report_level_dataset.csv	syn39802586	True	text/csv				
/home/kchen/Documents/genie_crc/data/synapse/CRC_2.0-public_clinical_data/cancer_level_dataset_index.csv	syn39802567	cancer_level_dataset_index.csv	syn39802574	True	text/csv				
/home/kchen/Documents/genie_crc/data/synapse/Documentation/BPC_CRC_v2.0-public_variable_synopsis.xlsx	syn30991666	BPC_CRC_v2.0-public_variable_synopsis.xlsx	syn39433163	True	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet				
/home/kchen/Documents/genie_crc/data/synapse/Documentation/GENIE BPC CRC v2.0-public Analytic Data Guide v2.pdf	syn30991666	BPC_CRC_v2.0-public_Analytic_Data_Guide.pdf	syn39433168	True	application/pdf				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/data_CNA.txt	syn39802595	data_CNA.txt	syn39802596	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/data_timeline_labtest.txt	syn39802595	data_timeline_labtest.txt	syn39802637	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/data_timeline_medonc.txt	syn39802595	data_timeline_medonc.txt	syn39802643	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/data_timeline_pathology.txt	syn39802595	data_timeline_pathology.txt	syn39802649	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/data_timeline_sample_acquisition.txt	syn39802595	data_timeline_sample_acquisition.txt	syn39802652	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/data_timeline_sequencing.txt	syn39802595	data_timeline_sequencing.txt	syn39802657	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/data_timeline_treatment.txt	syn39802595	data_timeline_treatment.txt	syn39802659	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/genie_crc_data_cna_hg19.seg	syn39802595	genie_crc_data_cna_hg19.seg	syn39802662	True	application/octet-stream				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/genie_crc_meta_cna_hg19.seg	syn39802595	genie_crc_meta_cna_hg19.seg	syn39802667	True	application/octet-stream				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/meta_CNA.txt	syn39802595	meta_CNA.txt	syn39802675	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/meta_clinical_patient.txt	syn39802595	meta_clinical_patient.txt	syn39802678	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/meta_clinical_sample.txt	syn39802595	meta_clinical_sample.txt	syn39802682	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/meta_fusions.txt	syn39802595	meta_fusions.txt	syn39802685	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/meta_gene_matrix.txt	syn39802595	meta_gene_matrix.txt	syn39802692	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/meta_mutations_extended.txt	syn39802595	meta_mutations_extended.txt	syn39802697	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/meta_study.txt	syn39802595	meta_study.txt	syn39802705	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/meta_timeline_cancer_diagnosis.txt	syn39802595	meta_timeline_cancer_diagnosis.txt	syn39802712	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/meta_timeline_imaging.txt	syn39802595	meta_timeline_imaging.txt	syn39802722	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/meta_timeline_labtest.txt	syn39802595	meta_timeline_labtest.txt	syn39802732	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/meta_timeline_medonc.txt	syn39802595	meta_timeline_medonc.txt	syn39802736	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/meta_timeline_pathology.txt	syn39802595	meta_timeline_pathology.txt	syn39802740	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/meta_timeline_sample_acquisition.txt	syn39802595	meta_timeline_sample_acquisition.txt	syn39802750	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/meta_timeline_sequencing.txt	syn39802595	meta_timeline_sequencing.txt	syn39802757	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/meta_timeline_treatment.txt	syn39802595	meta_timeline_treatment.txt	syn39802766	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/data_clinical_sample.txt	syn39802595	data_clinical_sample.txt	syn39802600	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/data_clinical_patient.txt	syn39802595	data_clinical_patient.txt	syn39802598	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/data_clinical_supp_survival.txt	syn39802595	data_clinical_supp_survival.txt	syn39802601	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/data_fusions.txt	syn39802595	data_fusions.txt	syn39802604	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/data_gene_panel_MSK-IMPACT341.txt	syn39802595	data_gene_panel_MSK-IMPACT341.txt	syn39802614	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/data_gene_panel_DFCI-ONCOPANEL-3.txt	syn39802595	data_gene_panel_DFCI-ONCOPANEL-3.txt	syn39802613	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/data_clinical_supp_survival_treatment.txt	syn39802595	data_clinical_supp_survival_treatment.txt	syn39802602	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/data_gene_matrix.txt	syn39802595	data_gene_matrix.txt	syn39802608	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/data_gene_panel_DFCI-ONCOPANEL-2.txt	syn39802595	data_gene_panel_DFCI-ONCOPANEL-2.txt	syn39802612	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/data_gene_panel_VICC-01-T7.txt	syn39802595	data_gene_panel_VICC-01-T7.txt	syn39802625	True	text/plain				
/home/kchen/Documents/genie_crc/data/synapse/cBioPortal_files/data_gene_panel_VICC-01-SOLIDTUMOR.txt	syn39802595	data_gene_panel_VICC-01-SOLIDTUMOR.txt	syn39802620	True	text/plain				
