,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
82,6.182379198074341,0.5417510152008292,0.26079683303833007,0.010165474947422844,relu,0.4,0.003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1000)])",0.6372549019607843,0.7857142857142857,0.5882352941176471,0.8043478260869565,0.5833333333333334,0.6797771282426014,0.09615611555593719,1
19,6.75847692489624,1.1427786398879523,0.26796660423278806,0.014392985010437018,relu,0.4,0.003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1000)])",0.47058823529411764,0.6887755102040816,0.7647058823529411,0.7789855072463768,0.6458333333333333,0.66977769368617,0.11094899486325135,2
98,9.545085239410401,1.102591597409397,0.32141933441162107,0.009648333574992339,elu,0.8,0.03,4,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 4), ('n_neurons', 200)])",0.7352941176470589,0.6071428571428572,0.6470588235294118,0.8550724637681159,0.49479166666666663,0.667871985750822,0.12138185570895461,3
94,10.829142951965332,1.7812683527509456,0.32257418632507323,0.015087058985122104,elu,0.8,0.03,4,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 4), ('n_neurons', 200)])",0.5882352941176471,0.5663265306122449,0.7450980392156863,0.8152173913043479,0.59375,0.6617254510499853,0.09963250806094501,4
48,5.691225671768189,0.3736427065544308,0.26007232666015623,0.006690035037280413,relu,0.4,0.003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1000)])",0.5588235294117647,0.5867346938775511,0.7058823529411764,0.8260869565217391,0.6302083333333334,0.661547173217113,0.09609383476367249,5
76,5.973391437530518,0.8712720296940507,0.2555860996246338,0.006267016442228922,relu,0.4,0.003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1000)])",0.6666666666666667,0.6071428571428571,0.7058823529411764,0.7753623188405797,0.515625,0.654135839118256,0.08823171269552033,6
78,5.816525602340699,0.47463410191437827,0.2570836067199707,0.008436731646279597,relu,0.4,0.003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1000)])",0.4803921568627451,0.7244897959183674,0.6176470588235294,0.8043478260869565,0.6354166666666667,0.652458700871653,0.10896601482241974,7
69,6.085801315307617,0.5078437008448513,0.25855259895324706,0.009335523282241546,relu,0.4,0.003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1000)])",0.5980392156862745,0.576530612244898,0.7058823529411765,0.75,0.5989583333333334,0.6458821028411366,0.06890715168239865,8
93,6.542493200302124,0.9903034960463056,0.26144771575927733,0.010823263780201849,relu,0.4,0.003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1000)])",0.43137254901960786,0.6224489795918366,0.6470588235294118,0.7862318840579711,0.71875,0.6411724472397655,0.11955060172333454,9
95,9.296782207489013,1.1525975246882303,0.31740388870239256,0.012866614936946132,elu,0.8,0.03,4,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 4), ('n_neurons', 200)])",0.4901960784313726,0.7193877551020408,0.6568627450980392,0.818840579710145,0.5052083333333334,0.6380990983349861,0.12582739126904027,10
16,6.194271516799927,1.028091057513883,0.2575687408447266,0.009195227537625767,relu,0.6,0.003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1000)])",0.6274509803921569,0.5612244897959183,0.6176470588235294,0.8333333333333334,0.546875,0.6373061724689876,0.10283625114638685,11
1,5.234241151809693,0.4384122386730835,0.2535379886627197,0.005360583003914466,elu,0.6,0.003,1,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1000)])",0.5588235294117647,0.5867346938775511,0.7156862745098039,0.7427536231884058,0.5677083333333334,0.6343412908641718,0.07845955845532654,12
