,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21,8.286064291000367,1.079010563934414,0.2850321292877197,0.00710971666990227,elu,0.6,0.0003,1,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 25)])",0.6760204081632653,0.9693877551020408,0.67,0.870748299319728,0.745,0.7862312925170067,0.11665812110469202,1
61,8.6808913230896,0.8400819266055691,0.34665307998657224,0.012650774368230307,relu,0.2,0.03,4,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 4), ('n_neurons', 200)])",0.8290816326530612,0.9897959183673469,0.65,0.8979591836734694,0.46499999999999997,0.7663673469387755,0.18736779706927298,2
34,4.824480628967285,0.3647860139406528,0.28441653251647947,0.009381818076407462,elu,0.4,0.03,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.7270408163265306,0.9744897959183673,0.6100000000000001,0.8775510204081632,0.625,0.7628163265306122,0.14254526597883885,3
73,4.169580173492432,0.27224639413676205,0.2803758144378662,0.004376042085578515,elu,0.4,0.03,1,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 200)])",0.7780612244897959,0.8622448979591837,0.5166666666666667,0.8979591836734694,0.745,0.7599863945578231,0.13360319871483284,4
51,4.678068208694458,0.41075542182838554,0.2910062313079834,0.01096351736764937,elu,0.4,0.03,1,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 200)])",0.7423469387755102,0.8979591836734694,0.6900000000000001,0.891156462585034,0.575,0.7592925170068027,0.1230194146851112,5
67,4.301184511184692,0.08217020992831346,0.28264670372009276,0.006061582773423995,elu,0.4,0.03,1,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 200)])",0.6147959183673469,0.8469387755102041,0.6900000000000001,0.891156462585034,0.725,0.753578231292517,0.1017481185291927,6
95,5.748634767532349,0.4608984704185779,0.30484862327575685,0.006425287758078836,relu,0.4,0.03,2,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 2), ('n_neurons', 200)])",0.7423469387755102,0.8826530612244898,0.5166666666666666,0.9047619047619048,0.6950000000000001,0.7482857142857142,0.14075610234072294,7
92,8.473106098175048,0.8255517792236688,0.34078359603881836,0.011794998710659397,relu,0.4,0.03,4,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 4), ('n_neurons', 200)])",0.7423469387755102,0.8775510204081632,0.5833333333333333,0.8639455782312926,0.665,0.7464353741496599,0.11335843324803525,8
94,9.547382259368897,1.0085856789611318,0.3427438735961914,0.01121640480822735,relu,0.4,0.03,4,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 4), ('n_neurons', 200)])",0.6989795918367346,0.8724489795918366,0.6166666666666667,0.8979591836734695,0.645,0.7462108843537415,0.1168073161034204,9
76,4.360486555099487,0.43945729226610286,0.28470458984375,0.006778469778863341,elu,0.4,0.03,1,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 200)])",0.8086734693877551,0.8775510204081634,0.5966666666666667,0.8571428571428571,0.585,0.7450068027210885,0.127908468577866,10
