,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2,5.9369330406188965,1.915820763337029,0.2114875316619873,0.003091354199418918,relu,0.6,0.003,2,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 50)])",0.7566666666666667,0.7577639751552795,0.6029411764705882,0.89,0.6808510638297872,0.7376445764244643,0.09523582755174502,1
13,5.834255647659302,2.3512004711954564,0.20043821334838868,0.006434273227133179,relu,0.6,0.0003,1,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 50)])",0.8633333333333333,0.781055900621118,0.7549019607843137,0.32499999999999996,0.7021276595744681,0.6852837708626465,0.18751466717907164,2
25,5.907298135757446,1.3548222313593634,0.29752817153930666,0.15749468598464428,relu,0.6,0.003,2,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 50)])",0.77,0.767080745341615,0.5980392156862746,0.615,0.6276595744680851,0.675555907099195,0.07650672743083346,3
67,9.989103841781617,1.7858910006951592,0.2633666038513184,0.014145368220168684,elu,0.8,0.03,4,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 4), ('n_neurons', 1500)])",0.8,0.7748447204968945,0.5637254901960784,0.57,0.6659574468085107,0.6749055315002968,0.09907846172598742,4
26,7.442847156524659,0.9538860427864034,0.30359692573547364,0.16198748968177337,relu,0.6,0.003,2,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1500)])",0.85,0.8198757763975156,0.6519607843137255,0.375,0.6680851063829787,0.6729843334188439,0.16862520407170714,5
19,10.994518327713013,1.8525474813392813,0.25173192024230956,0.006831138733393198,relu,0.2,0.003,4,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 4), ('n_neurons', 50)])",0.8733333333333333,0.7748447204968945,0.6470588235294117,0.44999999999999996,0.6170212765957447,0.6724516307910768,0.14424967944798828,6
46,10.28103494644165,5.1480166463454085,0.24110755920410157,0.007516032193269818,elu,0.2,3e-05,3,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 3e-05), ('n_hidden', 3), ('n_neurons', 200)])",0.7633333333333333,0.7981366459627329,0.6470588235294117,0.45499999999999996,0.674468085106383,0.6675993775863722,0.11989375093990376,7
75,7.736480855941773,2.1427409237619255,0.21207122802734374,0.012076430446960966,relu,0.2,0.003,1,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 50)])",0.7633333333333333,0.7437888198757763,0.6029411764705883,0.505,0.7212765957446808,0.6672679850848757,0.09845786571584898,8
64,13.971078538894654,2.3567391155448605,0.25366897583007814,0.009640192823233444,elu,0.8,0.0003,4,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 200)])",0.7633333333333333,0.7639751552795031,0.5980392156862745,0.5249999999999999,0.6787234042553192,0.665814221710886,0.09352463791144877,9
94,7.8545403480529785,2.2429924917738915,0.23806414604187012,0.004055309864745943,elu,0.4,0.003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 500)])",0.67,0.7732919254658384,0.6470588235294118,0.6000000000000001,0.625531914893617,0.6631765327777734,0.059732958260343146,10
69,11.778363132476807,0.5559573556786926,0.3689438343048096,0.19078793283832018,relu,0.2,0.03,4,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 4), ('n_neurons', 500)])",0.85,0.7934782608695652,0.6470588235294118,0.355,0.6319148936170214,0.6554903956031997,0.17192789809374837,11
70,6.410657787322998,1.487358953121703,0.20389366149902344,0.01330858907902885,elu,0.6,0.003,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1500)])",0.7133333333333333,0.7639751552795031,0.6764705882352942,0.45,0.6723404255319149,0.6552239004760091,0.1077634335993905,12
68,16.290753030776976,1.9632526490466244,0.2659159183502197,0.01281466268356364,elu,0.8,3e-05,4,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 3e-05), ('n_hidden', 4), ('n_neurons', 1000)])",0.7333333333333333,0.8229813664596273,0.5980392156862745,0.46499999999999997,0.651063829787234,0.6540835490532938,0.12141637085883002,13
35,5.994355487823486,1.7531725107330216,0.22730846405029298,0.013849352025387018,relu,0.6,0.003,2,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 50)])",0.7433333333333333,0.7624223602484471,0.5196078431372548,0.58,0.6489361702127661,0.6508599413863603,0.09300478160195615,14
17,8.199556732177735,2.3363917784798054,0.21661553382873536,0.004983434823574024,relu,0.2,0.003,2,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1500)])",0.8699999999999999,0.7981366459627329,0.6470588235294118,0.245,0.6936170212765957,0.6507624981537481,0.2173833728342579,15
89,11.145087146759034,0.9593520542217994,0.2527627944946289,0.006782954502392999,relu,0.6,0.03,4,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 4), ('n_neurons', 1000)])",0.7633333333333333,0.8229813664596273,0.6470588235294118,0.315,0.7021276595744681,0.6501002365793681,0.1776051185982926,16
86,10.567043924331665,2.1251971764970863,0.2467130184173584,0.00959995929524924,elu,0.6,0.003,4,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 4), ('n_neurons', 500)])",0.8166666666666667,0.7919254658385093,0.6519607843137255,0.28,0.7042553191489361,0.6489616471935675,0.1937847822093264,17
84,8.462842416763305,1.622794862694121,0.21728525161743165,0.0065261033236485065,relu,0.6,0.003,2,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 500)])",0.8166666666666667,0.7888198757763973,0.6470588235294118,0.305,0.6851063829787234,0.6485303497902398,0.18292295917928775,18
79,9.194516229629517,0.8229151339857482,0.2172994613647461,0.009103528856275616,relu,0.2,0.03,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 2), ('n_neurons', 1000)])",0.7966666666666666,0.7748447204968943,0.6470588235294118,0.32499999999999996,0.6936170212765957,0.6474374463939137,0.17005915265354737,19
10,8.196633434295654,1.2664631733276164,0.20145049095153808,0.008437920977504986,relu,0.2,0.003,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1500)])",0.6566666666666666,0.7996894409937888,0.6470588235294118,0.41500000000000004,0.7106382978723405,0.6458106458124415,0.12749452806675207,20
76,8.06291913986206,0.9524075372540798,0.21747913360595703,0.007253692626119072,relu,0.2,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.8633333333333333,0.7934782608695652,0.5980392156862745,0.255,0.7127659574468085,0.6445233534671962,0.21382780113341285,21
87,8.049781608581544,1.1013049410318707,0.20719385147094727,0.012311502576668376,relu,0.6,0.03,1,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 200)])",0.7633333333333333,0.7981366459627329,0.5980392156862745,0.365,0.6914893617021277,0.6431997113368937,0.155050947067712,22
32,9.076995611190796,2.5335660450612894,0.22693700790405275,0.008920169541136185,relu,0.4,0.003,2,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 50)])",0.8166666666666667,0.7220496894409937,0.6470588235294117,0.32499999999999996,0.6957446808510639,0.6413039720976272,0.16752137616741575,23
1,9.321910381317139,1.8736590318321151,0.23303532600402832,0.003677811725094489,elu,0.6,0.003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 500)])",0.7733333333333333,0.8136645962732919,0.6519607843137255,0.29500000000000004,0.672340425531915,0.6412598278904531,0.1833811317611276,24
43,9.15868649482727,0.9445872857892857,0.2120750904083252,0.009565156845486632,relu,0.4,0.003,1,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 500)])",0.7233333333333334,0.7732919254658384,0.6470588235294118,0.30500000000000005,0.7361702127659575,0.6369708590189083,0.170990549549668,25
18,6.76405782699585,2.8623217833511063,0.21905870437622071,0.00831911621457284,relu,0.6,0.003,2,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 200)])",0.7566666666666666,0.8229813664596273,0.6470588235294117,0.365,0.5851063829787234,0.6353626479268859,0.15853952352053502,26
21,8.98659372329712,1.562904024689604,0.21159701347351073,0.0044865420383972815,relu,0.6,0.003,2,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 500)])",0.7766666666666666,0.7965838509316769,0.6470588235294117,0.22,0.7319148936170213,0.6344448469489554,0.21351353876581994,27
53,8.560468006134034,0.45816746803962977,0.20413551330566407,0.005955285843125722,relu,0.4,3e-05,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 3e-05), ('n_hidden', 1), ('n_neurons', 1500)])",0.82,0.7686335403726708,0.642156862745098,0.28,0.6531914893617021,0.6327963784958941,0.18892633185631721,28
60,6.648272562026977,0.6681902064252645,0.241226863861084,0.009788182437732145,elu,0.8,0.0003,3,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1500)])",0.7,0.8090062111801243,0.7058823529411765,0.265,0.6829787234042554,0.6325734575051113,0.18905025090956323,29
