,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
66,7.51112060546875,0.6521589254885185,0.35430402755737306,0.0218162597025114,elu,0.8,0.0003,3,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.9,0.82,0.7346938775510204,0.7829787234042553,0.6599999999999999,0.7795345201910552,0.08057348716199186,1
86,6.057324695587158,0.6308351968113968,0.3185936450958252,0.009307896406369476,elu,0.6,0.0003,2,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1500)])",0.9266666666666666,0.84,0.8112244897959183,0.8553191489361702,0.44,0.774642061079751,0.17158992774823928,2
91,7.264147853851318,0.6055588524110336,0.3548608303070068,0.02537258247088782,elu,0.8,0.0003,3,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.94,0.7933333333333332,0.7346938775510204,0.6936170212765959,0.7000000000000001,0.7723288464321899,0.09099253654774456,3
3,6.599468946456909,0.8070540711615621,0.348883056640625,0.01694615906718324,elu,0.4,0.003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 500)])",0.8933333333333334,0.88,0.7448979591836735,0.8680851063829788,0.44999999999999996,0.7672632797799972,0.16728685750566485,4
61,6.966002082824707,0.5793475801869803,0.345551872253418,0.01339558124588999,elu,0.8,0.0003,3,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1500)])",0.9266666666666667,0.7866666666666666,0.6938775510204083,0.7404255319148937,0.67,0.763527283253727,0.09086475478754383,5
74,7.072343540191651,0.6425451682475035,0.34178719520568845,0.007480155564610823,elu,0.8,0.0003,3,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.9266666666666666,0.8266666666666667,0.6938775510204082,0.7148936170212766,0.6499999999999999,0.7624209002750036,0.10069725167649478,6
4,9.083997964859009,0.4424438015327701,0.3884408950805664,0.012573517717982681,elu,0.4,0.0003,4,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 1000)])",0.92,0.88,0.7959183673469388,0.5787234042553191,0.6000000000000001,0.7549283543204516,0.1411543306655206,7
40,8.989100074768066,0.9985750956518319,0.370054292678833,0.010325325275157496,elu,0.8,0.0003,4,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 1000)])",0.94,0.88,0.6581632653061225,0.7446808510638299,0.5,0.7445688232739904,0.15736250556056422,8
8,7.417120552062988,0.49685620278128245,0.3375073432922363,0.005440776727192445,elu,0.6,0.0003,2,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 500)])",0.8333333333333333,0.8,0.7653061224489796,0.7021276595744681,0.6000000000000001,0.7401534230713562,0.08244477839211782,9
94,5.764074230194092,1.9290961906605735,0.3156142711639404,0.00820222722520531,relu,0.6,0.003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1000)])",0.9,0.8733333333333333,0.6020408163265306,0.8382978723404255,0.48000000000000004,0.7387344044000579,0.16713167095626696,10
82,6.3312701225280765,0.2987710843045322,0.33315467834472656,0.01782671460810056,elu,0.8,0.0003,2,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.8999999999999999,0.8133333333333334,0.6581632653061225,0.8,0.52,0.7382993197278911,0.13391084150000265,11
53,6.557888507843018,0.9089475560076471,0.3397181510925293,0.005792173559194934,relu,0.4,0.0003,2,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1500)])",0.7866666666666666,0.8133333333333334,0.7448979591836734,0.6127659574468085,0.72,0.7355327833260963,0.06938049728863266,12
89,5.677947998046875,0.5005916423299039,0.3193122386932373,0.00889617664298248,elu,0.6,0.0003,2,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1500)])",0.8133333333333334,0.9199999999999999,0.7448979591836734,0.8042553191489361,0.38,0.7324973223331885,0.185067048909315,13
80,6.0871752262115475,0.32331828152339853,0.32785787582397463,0.011972022813770305,elu,0.8,0.0003,2,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1500)])",0.8733333333333333,0.7666666666666666,0.7040816326530612,0.7617021276595745,0.55,0.7311567520625271,0.10579128997823296,14
24,9.448099040985108,2.557616072736304,1.2275152206420898,1.741419800203135,elu,0.8,0.003,3,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 25)])",0.88,0.68,0.6275510204081634,0.6297872340425532,0.83,0.7294676508901433,0.10539162670950357,15
1,3.938624143600464,0.17083045847759076,0.2931309700012207,0.006072072482444677,relu,0.6,0.003,1,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 50)])",0.88,0.9133333333333333,0.6683673469387754,0.41276595744680855,0.77,0.7288933275437836,0.18007832138793928,16
19,6.119700384140015,0.900156484445541,0.3106083869934082,0.0057142084031130995,relu,0.4,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.7266666666666667,0.74,0.7704081632653061,0.795744680851064,0.61,0.7285639021566073,0.06396246077929776,17
72,5.4369265079498295,0.507446138314703,0.325897216796875,0.011474925617074668,relu,0.8,0.003,2,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 500)])",0.9266666666666666,0.8,0.6122448979591837,0.7829787234042553,0.52,0.7283780576060213,0.14445596801954463,18
