,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
95,7.2609940528869625,1.205204746902773,0.2784083843231201,0.01252218498500763,elu,0.2,0.0003,2,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 500)])",0.9807692307692307,0.6466666666666666,0.6833333333333333,0.7608695652173912,0.88,0.7903277591973243,0.12430862136688099,1
60,6.46270432472229,0.8672120430911778,0.2655771255493164,0.02448000410727151,elu,0.4,0.003,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1500)])",0.9230769230769231,0.7,0.6583333333333333,0.8007246376811593,0.85,0.7864269788182832,0.09674374813733401,2
35,5.773246192932129,0.49481472845413393,0.3746616363525391,0.22709771568648665,elu,0.4,0.0003,1,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 1000)])",0.9615384615384616,0.7066666666666666,0.6555555555555556,0.6884057971014492,0.9,0.7824332961724265,0.1237580735967742,3
99,5.921189212799073,1.4226898171568312,0.25936498641967776,0.005248322459131152,elu,0.4,0.0003,1,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 500)])",1.0,0.6866666666666666,0.7027777777777777,0.6956521739130435,0.79,0.7750193236714975,0.11846088198067609,4
27,7.44655442237854,0.6462848028358341,0.2836404800415039,0.013271166848433503,elu,0.8,3e-05,2,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 1500)])",0.7115384615384616,0.8066666666666666,0.7138888888888888,0.6992753623188407,0.93,0.7722738758825716,0.0877345707590143,5
33,7.2424938678741455,0.5269548948802566,0.307582950592041,0.010955665275778124,elu,0.8,0.0003,4,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 1500)])",0.5576923076923077,0.7266666666666666,0.7305555555555555,0.8985507246376812,0.94,0.7706930509104422,0.13706282165151643,6
81,6.948610544204712,0.7354394218354314,0.28331422805786133,0.007560498073644006,elu,0.4,0.0003,2,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1500)])",0.9230769230769231,0.68,0.5916666666666667,0.8043478260869565,0.85,0.7698182831661093,0.11909234249802733,7
66,5.812103605270385,1.3254724846829828,0.2626352310180664,0.008110901263194258,elu,0.4,0.03,1,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 200)])",0.8461538461538461,0.6933333333333332,0.6583333333333333,0.7789855072463768,0.8700000000000001,0.7693612040133779,0.08273491348295228,8
90,6.574980163574219,1.0044786940126245,0.25977540016174316,0.0028163151196037546,relu,0.4,0.0003,1,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 500)])",0.8269230769230769,0.68,0.7250000000000001,0.7681159420289856,0.84,0.7680078037904124,0.0604134788472592,9
97,7.388689184188843,0.6705811033480432,0.2823688507080078,0.021835087246442487,elu,0.2,0.0003,2,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 500)])",0.9230769230769231,0.7066666666666667,0.6111111111111112,0.7391304347826086,0.85,0.7659970271274619,0.10950994986737453,10
94,6.055047082901001,1.5673068698736699,0.39235634803771974,0.24920653337758258,elu,0.4,0.0003,1,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 500)])",0.9807692307692307,0.6599999999999999,0.6361111111111111,0.7717391304347826,0.7799999999999999,0.7657238944630248,0.12203401360998246,11
64,5.598413801193237,0.7790977028742391,0.2554486751556396,0.007734808087184936,elu,0.4,0.03,1,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 500)])",1.0,0.6799999999999999,0.5777777777777777,0.6304347826086957,0.92,0.7616425120772947,0.16707997761529694,12
77,7.506199073791504,1.350344254929848,0.2625442028045654,0.006596518500933013,elu,0.4,0.003,1,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 200)])",0.8653846153846154,0.6466666666666666,0.638888888888889,0.7862318840579711,0.86,0.7594344109996284,0.09930234148842594,13
63,5.536119079589843,0.5476848508088128,0.2565917015075684,0.008283387121881276,elu,0.4,0.03,1,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 500)])",0.75,0.8066666666666666,0.6777777777777778,0.6992753623188406,0.8500000000000001,0.7567439613526571,0.0644557899464143,14
84,6.528164339065552,1.0044975242141532,0.2567899703979492,0.010254275314742116,elu,0.4,0.003,1,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 500)])",0.9038461538461539,0.6666666666666666,0.6305555555555555,0.717391304347826,0.86,0.7556919360832404,0.10759311795519128,15
92,5.942469120025635,0.38553203062905067,0.2568819046020508,0.008136753628803825,relu,0.4,0.003,1,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 500)])",0.8461538461538461,0.7133333333333333,0.6666666666666667,0.6594202898550725,0.89,0.7551148272017838,0.09508767283142956,16
65,5.956727170944214,1.1299755867653036,0.381077241897583,0.237597955309711,elu,0.4,0.03,1,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 500)])",0.8076923076923077,0.72,0.6305555555555555,0.6594202898550725,0.9500000000000001,0.7535336306205872,0.11544490360222164,17
55,10.271116924285888,1.1229512241877504,0.4012557029724121,0.27841580792102383,relu,0.2,0.0003,1,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 50)])",0.7115384615384616,0.6799999999999999,0.6611111111111111,0.8007246376811594,0.8999999999999999,0.7506748420661464,0.08871441406845149,18
86,7.043208646774292,2.2878223905617867,0.2804499626159668,0.007874619869605472,elu,0.2,0.003,2,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1500)])",0.8269230769230769,0.7066666666666666,0.6611111111111111,0.6630434782608696,0.89,0.7495488665923449,0.09258141409073743,19
0,11.77244529724121,1.7274224862709509,0.3034385681152344,0.02879948288481506,elu,0.2,0.0003,3,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 200)])",0.8269230769230769,0.6599999999999999,0.663888888888889,0.7753623188405797,0.8099999999999999,0.7472348569305091,0.0716062851376905,20
7,6.775320339202881,2.266495725168828,0.2846202850341797,0.012229080569843837,elu,0.6,0.003,2,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1000)])",0.8461538461538461,0.62,0.7,0.7391304347826086,0.8300000000000001,0.7470568561872909,0.08380978355858129,21
54,9.313245058059692,1.840207095348771,0.2964641094207764,0.07276368736314151,relu,0.4,0.0003,1,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 50)])",0.7115384615384616,0.7,0.6361111111111111,0.7572463768115943,0.93,0.7469791898922333,0.09935477085830735,22
