,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
40,23.797590351104738,3.585688210007553,0.1993393898010254,0.007277379844652612,relu,0.2,3e-05,1,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 3e-05), ('n_hidden', 1), ('n_neurons', 50)])",0.7339246119733924,0.7860185185185184,0.6793653350515464,0.7008477633477633,0.8055926916221032,0.7411497841026649,0.04829050795221702,1
17,10.558999156951904,3.7800392238596814,0.19765982627868653,0.007427767576101963,relu,0.6,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.7817073170731708,0.7526851851851851,0.6574581185567009,0.7186147186147184,0.777295008912656,0.7375520696684863,0.04589523406195272,2
98,11.199448442459106,7.027247427198019,0.20298824310302735,0.008477335694102216,relu,0.6,0.03,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.7465631929046563,0.7862962962962964,0.6460212628865979,0.6913780663780663,0.8035873440285205,0.7347692324988275,0.05880316945160129,3
28,13.697799921035767,1.8294944666802528,0.2204556941986084,0.007376743873574916,elu,0.4,3e-05,2,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 1000)])",0.7550997782705099,0.7627777777777778,0.7030444587628865,0.6643217893217892,0.7786319073083778,0.7327751422882682,0.04259381523509087,4
62,7.516657590866089,0.9002112442846387,0.20065131187438964,0.00635118411285661,relu,0.6,0.03,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.7791574279379158,0.7481481481481482,0.6811372422680412,0.6801046176046176,0.7726158645276293,0.7322326600972705,0.04339150685127123,5
59,9.804078960418702,0.461476910152414,0.19766483306884766,0.005054651978341892,relu,0.6,0.0003,1,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 50)])",0.7362527716186252,0.7474074074074074,0.6690560567010309,0.7027417027417027,0.8047014260249554,0.7320318728987443,0.04551692980109806,6
22,13.077694845199584,2.1664421140025363,0.2743577003479004,0.15135278516973721,elu,0.2,0.0003,1,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 25)])",0.7361419068736141,0.7487962962962963,0.6685728092783504,0.6893939393939393,0.812945632798574,0.7311701169281548,0.05037123747661438,7
54,22.60065360069275,2.4603127766833746,0.2643620014190674,0.011489110944025688,elu,0.2,0.0003,4,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 25)])",0.7157427937915742,0.7675925925925925,0.687097293814433,0.6838023088023087,0.7906639928698752,0.7289797963741567,0.04304940364388315,8
46,12.870311307907105,1.1093159836652042,0.22110872268676757,0.006135837552510803,elu,0.4,3e-05,2,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 1500)])",0.7031042128603103,0.7533333333333333,0.6676063144329897,0.6861471861471861,0.8316622103386809,0.7283706514225001,0.0590013562874001,9
83,8.122683668136597,0.9635841311325215,0.1999495506286621,0.004992074474532934,relu,0.6,0.03,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.7106430155210642,0.7786111111111111,0.6592300257731959,0.7086940836940837,0.7786319073083778,0.7271620286815665,0.04587996577091395,10
