,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
18,10.176507234573364,0.7064797589435661,0.22789721488952636,0.003716210369646714,elu,0.2,0.0003,2,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 200)])",0.8706308610400683,0.7504950495049505,0.7745098039215687,0.7667307692307691,0.8493197278911564,0.8023372423177026,0.048168812561389475,1
85,15.978769826889039,1.6004956924275184,0.26697368621826173,0.030679745725388775,elu,0.2,3e-05,2,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 1000)])",0.8804347826086957,0.7243564356435643,0.7820855614973262,0.7957692307692308,0.821938775510204,0.8009169572058041,0.05100516721922438,2
60,11.807994890213013,0.8792346646201098,0.23640332221984864,0.00768788085552517,elu,0.2,3e-05,2,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 1500)])",0.8627450980392157,0.7548514851485147,0.7722816399286988,0.7617307692307693,0.8447278911564626,0.7992673767007322,0.04517981361795936,3
62,17.658335399627685,1.844348671935722,0.235078763961792,0.014548447688078827,elu,0.2,3e-05,2,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 500)])",0.8765984654731458,0.7407920792079208,0.7633689839572192,0.7548076923076923,0.850170068027211,0.7971474577946378,0.05519679256792486,4
87,14.771429204940796,1.2266954355167756,0.24336447715759277,0.008678640665278037,elu,0.2,3e-05,2,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 1000)])",0.8544330775788576,0.7320792079207921,0.7606951871657753,0.7865384615384615,0.8486394557823131,0.7964770779972399,0.04817886885901282,5
61,12.654626369476318,1.0785235440807939,0.2273564338684082,0.004820375105631253,elu,0.2,3e-05,2,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 1000)])",0.8772378516624041,0.7348514851485148,0.7613636363636362,0.7465384615384615,0.8605442176870749,0.7961071304800182,0.06025072536714478,6
86,14.765031814575195,1.2512045603359268,0.2440819263458252,0.01236163111046332,elu,0.2,3e-05,2,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 1000)])",0.8657289002557546,0.7425742574257426,0.7508912655971479,0.7811538461538461,0.8377551020408163,0.7956206742946614,0.048403315610449325,7
92,18.89860420227051,3.5336028640763475,0.2407899856567383,0.008333173695778405,elu,0.2,3e-05,1,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 3e-05), ('n_hidden', 1), ('n_neurons', 500)])",0.8693520886615516,0.7762376237623763,0.7201426024955436,0.7609615384615385,0.8394557823129253,0.793229927138787,0.05404286718309286,8
93,9.192738485336303,0.6149260579170573,0.23626551628112794,0.02231489239221514,relu,0.2,0.0003,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 1500)])",0.8435635123614663,0.7451485148514851,0.7633689839572193,0.7561538461538462,0.8571428571428572,0.7930755428933748,0.047320919617086794,9
64,15.347785139083863,0.9158080858535641,0.2095820426940918,0.010891447467038688,elu,0.2,3e-05,1,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 3e-05), ('n_hidden', 1), ('n_neurons', 500)])",0.8661551577152601,0.7572277227722772,0.732397504456328,0.7548076923076923,0.8438775510204083,0.7908931256543933,0.053533126849978956,10
