,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
75,2.416416311264038,0.4425604924391073,0.1250948429107666,0.030333630856161864,True,40,sqrt,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
105,1.8597184658050536,0.4252327956696349,0.08743910789489746,0.01469078344490949,True,,sqrt,8,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1000)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
35,1.5403779983520507,0.28959276199629697,0.08233485221862794,0.02448662817630069,True,40,auto,4,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1000)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
46,2.2428882122039795,0.34342939224040625,0.10627760887145996,0.009407107004407736,True,,sqrt,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
117,2.3898069858551025,0.4473806533339921,0.1125525951385498,0.02981247385754019,True,120,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
118,2.5563251972198486,0.8337632835123494,0.10068039894104004,0.005567640188761044,True,120,auto,2,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
93,2.744580698013306,0.041078055533688866,0.13074092864990233,0.01555511488690506,True,120,auto,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
119,2.6833000659942625,0.49592108619080794,0.11985607147216797,0.01699109628541688,True,120,auto,2,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
92,2.76911039352417,0.1040324835339848,0.11842517852783203,0.021554112141007175,True,80,sqrt,6,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
25,1.9713630676269531,0.369241686280753,0.10289492607116699,0.009361560170086804,True,40,sqrt,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
20,1.6184528350830079,0.2867068232545968,0.09538855552673339,0.027755185990080686,True,120,auto,6,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1000)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
66,0.7782742500305175,0.13520877135890869,0.038794946670532224,0.0012249048422096934,True,20,sqrt,6,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 500)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
130,1.8653077125549316,0.13527154082056156,0.10928788185119628,0.02605011403052268,True,120,auto,2,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
132,2.243770456314087,0.3210603997669552,0.10029573440551758,0.012875643616958123,True,120,sqrt,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
108,2.1160494327545165,0.28568300340908925,0.11770682334899903,0.025756478885988983,True,60,auto,2,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
69,1.9594071865081788,0.31434923710604035,0.10832104682922364,0.028982445849705593,True,80,sqrt,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
68,1.042679214477539,0.1924737201313588,0.05796160697937012,0.012402064042993748,True,100,sqrt,6,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 500)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
10,2.0413984298706054,0.21711007984629804,0.09578628540039062,0.004626403016787429,True,80,sqrt,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
3,0.7413406848907471,0.07857844714168452,0.04128584861755371,0.003618573293238804,True,40,sqrt,6,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 500)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
4,1.9376039505004883,0.2768924925138104,0.12261018753051758,0.02977663324183435,True,80,sqrt,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.6975806451612904,0.757377049180328,0.5540983606557377,0.6754098360655737,0.959016393442623,0.7286964569011106,0.13278704940978223,1
