,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
42,0.8693343162536621,0.03629229163815199,0.06311359405517578,0.0011416419527691337,True,120,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.6532258064516129,0.7508196721311475,0.5442622950819672,0.5901639344262295,0.9467213114754098,0.6970386039132734,0.14276989493147005,1
74,1.8155967235565185,0.04403988662193567,0.12427515983581543,0.0012751464809000596,True,60,auto,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6612903225806452,0.7540983606557377,0.5377049180327869,0.5934426229508196,0.9385245901639345,0.6970121628767847,0.14069014481859987,2
82,1.6080148696899415,0.030074860351167423,0.11186680793762208,0.0020232314948523834,True,80,sqrt,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6532258064516129,0.7508196721311475,0.5442622950819672,0.5836065573770491,0.9508196721311475,0.6965468006345847,0.14520538245882453,3
58,0.8630272388458252,0.023707968786574378,0.06448936462402344,0.00046567646860171504,True,20,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.6612903225806452,0.7540983606557377,0.5409836065573771,0.5836065573770493,0.9426229508196722,0.6965203595980963,0.14287342327982638,4
107,1.1979530811309815,0.038363583725260005,0.08223447799682618,0.001303003778884719,True,,auto,8,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1000)])",0.6612903225806452,0.7475409836065574,0.5442622950819672,0.5868852459016393,0.9426229508196722,0.6965203595980963,0.1411475266193996,4
48,1.1816402435302735,0.014291732894455785,0.08352766036987305,0.0012566720713768648,True,20,auto,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.6411290322580645,0.7540983606557378,0.537704918032787,0.5868852459016394,0.959016393442623,0.6957667900581703,0.15001796987958005,6
27,1.5059953689575196,0.02224476043483184,0.10839657783508301,0.0007626294668592781,True,40,sqrt,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6451612903225806,0.7540983606557377,0.5442622950819672,0.580327868852459,0.9549180327868853,0.695753569539926,0.14792066183797808,7
34,0.8844118595123291,0.03002770977436183,0.07344145774841308,0.019448097682863617,True,60,sqrt,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.6491935483870968,0.7540983606557378,0.5344262295081967,0.5836065573770491,0.9549180327868853,0.6952485457429931,0.14922490205309596,8
16,1.5756234169006347,0.01561799362944505,0.1058845043182373,0.0009592795917138196,True,120,auto,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.657258064516129,0.7540983606557378,0.5377049180327869,0.580327868852459,0.9467213114754098,0.6952221047065045,0.1457201992845553,9
20,0.6307249546051026,0.007976630290142598,0.05008687973022461,0.0013242775315866935,True,120,sqrt,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.6653225806451613,0.7508196721311475,0.5278688524590164,0.580327868852459,0.9508196721311475,0.6950317292437862,0.1486760254864515,10
118,1.7967788219451903,0.008142034199060637,0.12027397155761718,0.001201828584399294,True,80,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6612903225806451,0.7573770491803279,0.5311475409836065,0.580327868852459,0.9426229508196722,0.6945531464833421,0.14583599828993854,11
1,0.6640841960906982,0.011304490376731273,0.052150917053222653,0.001067915288909638,True,120,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.6491935483870968,0.7508196721311475,0.5311475409836066,0.5901639344262295,0.9508196721311475,0.6944288736118456,0.1473053763441324,12
40,0.8605698585510254,0.015668731032360057,0.06321139335632324,0.0006275325812514558,True,60,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.6491935483870968,0.7409836065573772,0.5409836065573771,0.5901639344262295,0.9508196721311475,0.6944288736118456,0.14447591280070265,12
103,1.9114701271057128,0.03429397301040641,0.1287539005279541,0.0028069250161269843,True,80,auto,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.653225806451613,0.7508196721311476,0.5475409836065573,0.5770491803278689,0.9426229508196722,0.6942517186673717,0.1427107582268233,14
18,1.5409546375274659,0.018907134391936475,0.11003923416137695,0.001981600744459004,True,120,sqrt,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6491935483870968,0.7475409836065574,0.5377049180327869,0.580327868852459,0.9549180327868853,0.6939370703331571,0.148527412359552,15
111,1.7000155448913574,0.044455486432562884,0.13498759269714355,0.025876209632803397,True,80,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6451612903225806,0.7573770491803279,0.5409836065573771,0.5868852459016393,0.9385245901639345,0.693786356425172,0.1421840385630227,16
127,1.1507115364074707,0.005284211665235955,0.08363146781921386,0.0009475144458412566,True,40,sqrt,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.6491935483870968,0.7442622950819673,0.5344262295081967,0.5901639344262295,0.9508196721311475,0.6937731359069275,0.14610661847625092,17
105,1.7672571182250976,0.017928503373278483,0.12198925018310547,0.0008366084091987439,True,40,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.657258064516129,0.7508196721311476,0.5377049180327869,0.580327868852459,0.9426229508196722,0.6937466948704388,0.14404235617886255,18
119,1.7786773204803468,0.017542527335223816,0.12350363731384277,0.0025392785531676318,True,80,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6532258064516129,0.7508196721311476,0.5245901639344261,0.5967213114754099,0.9426229508196722,0.6935959809624537,0.144821546266299,19
120,1.8031692981719971,0.012365197596142144,0.12458763122558594,0.0013326734316924296,True,80,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6491935483870968,0.7475409836065574,0.5409836065573771,0.5868852459016393,0.9426229508196722,0.6934452670544685,0.14252976901020628,20
