,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7,0.5028962612152099,0.004836423198876571,0.0387516975402832,0.00048156274473292024,True,,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.6653225806451613,0.7442622950819673,0.5442622950819672,0.5868852459016394,0.9549180327868853,0.6991300898995242,0.14504500972382628,1
16,0.5019584655761719,0.005288602565259181,0.03869285583496094,0.00021695847562328845,True,,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.6532258064516129,0.7540983606557377,0.5344262295081967,0.5967213114754099,0.9467213114754098,0.6970386039132734,0.14423811908660322,2
127,1.2372520923614503,0.008385072018937558,0.08740367889404296,0.000734973253492045,True,80,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6532258064516129,0.7540983606557377,0.5311475409836066,0.5901639344262295,0.9508196721311476,0.6958910629296668,0.14731983107041988,3
119,0.7519168853759766,0.010518397919130609,0.05518307685852051,0.0009135031749883764,True,40,auto,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.657258064516129,0.7540983606557377,0.5278688524590164,0.5868852459016394,0.9467213114754098,0.6945663670015865,0.14690225928922473,4
65,1.4431374073028564,0.019317280217883027,0.1036250114440918,0.0010559919413158192,True,80,sqrt,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6491935483870968,0.7573770491803278,0.5311475409836066,0.5868852459016394,0.9467213114754098,0.6942649391856162,0.14689211873492344,5
142,1.1918537616729736,0.008788436270619638,0.0872572898864746,0.001016266956747165,True,120,sqrt,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.657258064516129,0.7573770491803278,0.5377049180327869,0.580327868852459,0.9385245901639344,0.6942384981491274,0.14318387969368107,6
93,1.1976832389831542,0.006340884857916122,0.08672952651977539,0.0010895057402929122,True,100,sqrt,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6411290322580645,0.7540983606557377,0.5409836065573771,0.5868852459016394,0.9467213114754098,0.6939635113696457,0.14502606249082686,7
26,0.7544249057769775,0.008614598701036594,0.05514979362487793,0.0003795666910051056,True,80,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.6451612903225806,0.7508196721311475,0.5475409836065575,0.5836065573770493,0.9426229508196722,0.6939502908514014,0.14217173395609384,8
110,1.49955472946167,0.023171193468233188,0.1031796932220459,0.0006908517229359482,True,100,auto,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6491935483870968,0.7540983606557377,0.5311475409836066,0.580327868852459,0.9549180327868853,0.6939370703331571,0.1504260003454321,9
14,1.433737087249756,0.0089762988252178,0.10267839431762696,0.00040478511164537573,True,80,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6532258064516129,0.7475409836065573,0.5344262295081967,0.5836065573770493,0.9508196721311476,0.6939238498149127,0.14706188302037554,10
112,1.2477221012115478,0.02210375870968406,0.08709177970886231,0.0010257939524855812,True,100,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.657258064516129,0.7409836065573769,0.5344262295081967,0.5901639344262295,0.9467213114754098,0.6939106292966685,0.14399386597302571,11
107,1.2511810779571533,0.008445404214814621,0.08656606674194336,0.0003910510282015989,True,80,auto,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.657258064516129,0.7508196721311475,0.5377049180327869,0.580327868852459,0.9426229508196722,0.6937466948704388,0.14404235617886255,12
29,1.4908592700958252,0.014492856212286801,0.10318284034729004,0.0006129688420726556,True,,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6491935483870968,0.7442622950819673,0.5409836065573771,0.5868852459016394,0.9467213114754098,0.693609201480698,0.14372807747773134,13
143,1.2430299758911132,0.013962843357853326,0.08751602172851562,0.000803002600383504,True,80,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6451612903225806,0.7508196721311475,0.5377049180327869,0.5868852459016394,0.9467213114754098,0.6934584875727129,0.1451771421347335,14
20,0.7572679042816162,0.009661980800990287,0.0546079158782959,0.00048128635386585756,True,,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.6451612903225806,0.7475409836065574,0.5311475409836066,0.580327868852459,0.9631147540983607,0.6934584875727128,0.153046017910104,15
125,1.244302797317505,0.010263042525879442,0.08711633682250977,0.00032795792767782906,True,80,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6451612903225806,0.7573770491803278,0.5344262295081967,0.5868852459016394,0.9426229508196722,0.6932945531464834,0.14501731765430595,16
126,1.2523670673370362,0.012062142521864853,0.08821296691894531,0.001178835979625239,True,80,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6532258064516129,0.7475409836065574,0.5311475409836066,0.5836065573770493,0.9508196721311475,0.6932681121099946,0.14777717892898362,17
124,1.0000319004058837,0.013755091214378845,0.0715794563293457,0.0010135855827903403,True,40,auto,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.657258064516129,0.7475409836065574,0.5311475409836066,0.5836065573770493,0.9467213114754098,0.6932548915917505,0.14614344163980966,18
135,1.0039077281951905,0.01618347516964417,0.07061567306518554,0.0004646040186021934,True,20,auto,8,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1000)])",0.6532258064516129,0.7508196721311475,0.5311475409836066,0.5836065573770493,0.9467213114754098,0.6931041776837652,0.14660333854874183,19
63,1.20642991065979,0.00965140687997263,0.08668708801269531,0.0008151875486130471,True,40,sqrt,6,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6612903225806451,0.760655737704918,0.5377049180327869,0.5672131147540984,0.9385245901639344,0.6930777366472765,0.1454675218938864,20
122,1.240293550491333,0.010325410548808594,0.08794288635253907,0.0007885114316147953,True,80,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6451612903225806,0.7508196721311475,0.5377049180327869,0.580327868852459,0.9508196721311475,0.6929666842940243,0.14759011216041337,21
149,1.2011446475982666,0.00991569836703521,0.09178328514099121,0.007729843406585015,True,40,sqrt,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.6451612903225806,0.7475409836065574,0.5377049180327869,0.5868852459016394,0.9467213114754098,0.6928027498677949,0.14492375506842128,22
99,1.2415536880493163,0.006315877428303017,0.0873438835144043,0.0009917907457967334,True,,auto,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6491935483870968,0.7540983606557377,0.5344262295081967,0.5836065573770493,0.9426229508196722,0.6927895293495505,0.14496618705137215,23
19,0.4850899696350098,0.003957705257364326,0.03924503326416016,0.00033370863835169675,True,40,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6532258064516129,0.7508196721311475,0.5377049180327869,0.5836065573770491,0.9385245901639344,0.6927763088313061,0.14233106682404614,24
111,1.2479438304901123,0.015157863063261896,0.08666763305664063,0.00045773651618677934,True,100,auto,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6451612903225806,0.7508196721311475,0.5442622950819672,0.580327868852459,0.9426229508196722,0.6926388154415652,0.14336006133861726,25
130,1.2389728546142578,0.010415547021013757,0.08722014427185058,0.0006961897529563641,True,80,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6491935483870968,0.7540983606557377,0.5442622950819672,0.5770491803278689,0.9385245901639344,0.692625594923321,0.1424788656636596,26
108,1.2380070686340332,0.007274476390694598,0.08786311149597167,0.0013009350751789382,True,80,auto,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6451612903225806,0.7475409836065573,0.5311475409836066,0.5836065573770493,0.9549180327868853,0.6924748810153358,0.14968372120183068,27
95,1.2360132694244386,0.007201668879752134,0.08697586059570313,0.00083619951638898,True,,auto,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6532258064516129,0.7442622950819673,0.5377049180327869,0.580327868852459,0.9467213114754098,0.6924484399788472,0.1451856492870729,28
