,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
16,0.784843111038208,0.011107556527445784,0.05392203330993652,0.0005339645960382038,True,100,sqrt,2,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 750)])",0.5020161290322581,0.5475409836065575,0.540983606557377,0.03934426229508197,0.2459016393442623,0.3751573241671074,0.2013877269983529,1
149,0.5013232707977295,0.006980308981940011,0.03573455810546875,0.00034866930353402443,True,120,sqrt,2,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,2
106,1.479578447341919,0.016638308643321914,0.10932044982910157,0.010579878191636815,True,100,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,2
107,1.486275863647461,0.0186510710609872,0.10422000885009766,0.008459525534779695,True,100,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,2
18,1.2720683097839356,0.01286406953718664,0.0869631290435791,0.0013757910869717888,True,100,sqrt,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,2
28,0.520833683013916,0.0036972944071469597,0.0354863166809082,0.00018033427820532183,True,40,auto,2,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,2
113,1.4447147846221924,0.011959783495690334,0.0993542194366455,0.0009164557418751481,True,100,sqrt,2,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 1500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,2
31,1.5710886478424073,0.016945504075955728,0.10153508186340332,0.0009597429427801182,True,100,auto,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,2
32,1.576658344268799,0.016950960618533,0.10167217254638672,0.001030227034786389,True,100,auto,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,2
37,1.5638510704040527,0.017852273989689107,0.10333919525146484,0.001564366569571246,True,120,auto,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,2
