,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
51,1.8132890701293944,0.04271004979247428,0.10088372230529785,0.001560210963041668,True,80,sqrt,4,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6975806451612903,0.7573770491803279,0.5540983606557377,0.6754098360655738,0.959016393442623,0.7286964569011106,0.1327870494097822,1
130,1.5416872024536132,0.02943629427919935,0.08441481590270997,0.0005439359988400465,True,,auto,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6975806451612903,0.7573770491803279,0.5540983606557377,0.6754098360655738,0.959016393442623,0.7286964569011106,0.1327870494097822,1
36,0.6186988353729248,0.011830612667030041,0.03743953704833984,0.00029681676423874383,True,100,sqrt,2,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 500)])",0.6975806451612903,0.7573770491803279,0.5540983606557377,0.6754098360655738,0.959016393442623,0.7286964569011106,0.1327870494097822,1
134,1.5491095066070557,0.03220752699507329,0.0894279956817627,0.007958601603644795,True,,auto,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6975806451612903,0.7573770491803279,0.5540983606557377,0.6754098360655738,0.959016393442623,0.7286964569011106,0.1327870494097822,1
46,0.9415815830230713,0.024753218376752734,0.05367965698242187,0.0011009396504806385,True,100,auto,6,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 750)])",0.6975806451612903,0.7573770491803279,0.5540983606557377,0.6754098360655738,0.9590163934426229,0.7286964569011106,0.13278704940978217,1
106,1.5553184509277345,0.0331766791077827,0.08598227500915527,0.001546994925399798,True,100,auto,4,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6975806451612903,0.7573770491803279,0.5540983606557377,0.6754098360655738,0.959016393442623,0.7286964569011106,0.1327870494097822,1
113,1.5492281913757324,0.03672569737593723,0.08555169105529785,0.0011231178253666815,True,,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6975806451612903,0.7573770491803279,0.5540983606557377,0.6754098360655738,0.959016393442623,0.7286964569011106,0.1327870494097822,1
139,0.9331369400024414,0.018166993306314,0.05322198867797852,0.0005385185394190476,True,60,auto,2,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 750)])",0.6975806451612903,0.7573770491803279,0.5540983606557377,0.6754098360655738,0.959016393442623,0.7286964569011106,0.1327870494097822,1
119,1.2412740230560302,0.027308819566257272,0.06943955421447753,0.0002163920753219491,True,60,auto,2,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 1000)])",0.6975806451612903,0.7573770491803279,0.5540983606557377,0.6754098360655738,0.959016393442623,0.7286964569011106,0.1327870494097822,1
140,1.5495600700378418,0.030121275191533774,0.08496804237365722,0.0004605942226384678,True,60,auto,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6975806451612903,0.7573770491803279,0.5540983606557377,0.6754098360655738,0.959016393442623,0.7286964569011106,0.1327870494097822,1
141,0.9399262428283691,0.018347527962103847,0.05340366363525391,0.00023922247779311208,True,80,auto,2,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 750)])",0.6975806451612903,0.7573770491803279,0.5540983606557377,0.6754098360655738,0.9590163934426229,0.7286964569011106,0.13278704940978217,1
101,1.2396083354949952,0.02656745226849209,0.06854286193847656,0.0008808378660882729,True,60,auto,2,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 1000)])",0.6975806451612903,0.7573770491803279,0.5540983606557377,0.6754098360655738,0.959016393442623,0.7286964569011106,0.1327870494097822,1
9,0.9128334522247314,0.018395724998768362,0.054013538360595706,0.0009670772646930939,True,120,sqrt,4,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 750)])",0.6975806451612903,0.7573770491803279,0.5540983606557377,0.6754098360655738,0.9590163934426229,0.7286964569011106,0.13278704940978217,1
66,1.8683650970458985,0.04133403532874998,0.10032534599304199,0.0017123119241865602,True,80,auto,6,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6975806451612903,0.7573770491803279,0.5540983606557377,0.6754098360655738,0.959016393442623,0.7286964569011106,0.1327870494097822,1
105,1.5574150085449219,0.031984205127794145,0.08474345207214355,0.0009480940326136462,True,,auto,4,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6975806451612903,0.7573770491803279,0.5540983606557377,0.6754098360655738,0.959016393442623,0.7286964569011106,0.1327870494097822,1
67,1.8813710689544678,0.03182409805539611,0.10281343460083008,0.001808310124019194,True,60,auto,6,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6975806451612903,0.7573770491803279,0.5540983606557377,0.6754098360655738,0.959016393442623,0.7286964569011106,0.1327870494097822,1
59,0.9362478256225586,0.020584253212942463,0.05306673049926758,0.0009004712508016617,True,40,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.6975806451612903,0.7573770491803279,0.5540983606557377,0.6754098360655738,0.959016393442623,0.7286964569011106,0.1327870494097822,1
128,1.5466986656188966,0.0258797381319968,0.08481988906860352,0.00034495342611945076,True,,auto,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6975806451612903,0.7573770491803279,0.5540983606557377,0.6754098360655738,0.959016393442623,0.7286964569011106,0.1327870494097822,1
