,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
37,1.70936017036438,0.251513883764619,0.11050143241882324,0.01663993844515231,True,60,sqrt,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6532258064516129,0.7508196721311475,0.5409836065573771,0.5901639344262295,0.9508196721311476,0.6972025383395029,0.1449082591925737,1
109,0.877449369430542,0.15577446630238967,0.05432548522949219,0.0002430675999097052,True,60,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.657258064516129,0.7508196721311475,0.5475409836065575,0.5901639344262295,0.9385245901639344,0.6968614489687995,0.13896902727212415,2
95,1.4724299907684326,0.3589423103662077,0.1099203109741211,0.028481814867911518,True,60,sqrt,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.657258064516129,0.7573770491803278,0.5344262295081967,0.580327868852459,0.9467213114754098,0.6952221047065045,0.14670538871410546,3
119,0.9483789443969727,0.23500628254313438,0.07100005149841308,0.02153516269998426,True,60,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.6693548387096774,0.7475409836065573,0.521311475409836,0.5934426229508197,0.9426229508196722,0.6948545742993126,0.14506333354286205,4
42,0.8504246234893799,0.153143730762652,0.05544934272766113,0.0015437460062845498,True,80,sqrt,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.6612903225806451,0.7442622950819672,0.5213114754098361,0.6000000000000001,0.9467213114754098,0.6947170809095716,0.14568393053292417,5
14,1.50954327583313,0.21566075573647162,0.0869840145111084,0.0007209256130598418,True,120,auto,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6491935483870968,0.7540983606557377,0.5377049180327869,0.5836065573770493,0.9467213114754098,0.6942649391856162,0.14567223907863974,6
107,0.9601682662963867,0.19662040349034615,0.06869096755981445,0.018082733371340528,True,100,auto,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.6451612903225806,0.7540983606557377,0.5377049180327869,0.5868852459016394,0.9467213114754098,0.6941142252776309,0.14544191400413664,7
88,1.4329430103302,0.23362780156024712,0.09779210090637207,0.023374691231118176,True,80,sqrt,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6532258064516129,0.7475409836065573,0.5442622950819672,0.5868852459016394,0.9385245901639344,0.6940877842411421,0.14015445713157054,8
33,0.8534015655517578,0.15142866555535087,0.0552098274230957,0.00098261687989997,True,120,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.6653225806451614,0.7475409836065574,0.5245901639344263,0.5901639344262295,0.9426229508196722,0.6940481226864094,0.14490273459899386,9
32,0.7220139026641845,0.006258728742771501,0.05466938018798828,0.0005210463797606233,True,120,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.6370967741935484,0.7442622950819673,0.5737704918032787,0.5737704918032787,0.9385245901639344,0.6934849286092015,0.13745216869783447,10
100,1.4408478260040283,0.19630505869618872,0.10891332626342773,0.02867750398924436,True,60,sqrt,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6491935483870968,0.740983606557377,0.5409836065573771,0.5770491803278688,0.9590163934426229,0.6934452670544685,0.14935778414637757,11
130,0.7500775814056396,0.005685790939543915,0.05962977409362793,0.005865981592761145,True,60,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.6411290322580645,0.7475409836065574,0.5409836065573771,0.5901639344262295,0.9467213114754098,0.6933077736647277,0.14403026537426727,12
101,1.1524821758270263,0.20468213694625217,0.07031097412109374,0.00038361279988691427,True,,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.6532258064516129,0.7508196721311475,0.5278688524590164,0.5836065573770493,0.9508196721311476,0.6932681121099947,0.14874874523986795,13
104,1.243588924407959,0.006171283318587133,0.0873903751373291,0.0011548472994296348,True,60,auto,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6411290322580645,0.7573770491803278,0.5344262295081967,0.5901639344262295,0.9426229508196722,0.6931438392384981,0.14482224480625827,14
110,0.9414917469024658,0.21346950279211324,0.06827306747436523,0.016977960058406398,True,20,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.6491935483870968,0.7377049180327868,0.5377049180327869,0.5901639344262295,0.9508196721311476,0.6931173982020096,0.14496914719432638,15
23,1.4684886455535888,0.25889855688480484,0.08772826194763184,0.0008566979719818009,True,20,auto,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6491935483870968,0.7540983606557377,0.5311475409836066,0.580327868852459,0.9508196721311476,0.6931173982020096,0.14900614546443208,15
10,1.1720471858978272,0.15991358041153528,0.07345304489135743,0.0032306312949685455,True,120,sqrt,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.657258064516129,0.7540983606557377,0.5344262295081967,0.580327868852459,0.9385245901639344,0.6929270227392913,0.14361994513230578,17
60,0.7265910625457763,0.007198323980480465,0.0556330680847168,0.0005436108193499112,True,40,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.6491935483870968,0.7475409836065574,0.5442622950819672,0.580327868852459,0.9426229508196722,0.6927895293495505,0.14284469481485396,18
69,0.8986300945281982,0.2143955368242047,0.06843180656433105,0.018241336045702036,True,60,sqrt,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.6411290322580645,0.7475409836065573,0.5409836065573771,0.5868852459016394,0.9467213114754098,0.6926520359598097,0.14450504461910604,19
