,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
72,2.1758766174316406,0.3326328093342266,0.10208282470703126,0.0009001511132489803,True,100,auto,2,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,1
85,2.154777193069458,0.33046038526836163,0.10059289932250977,0.001852869740678606,True,120,auto,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,1
98,0.7155364990234375,0.1174589374540251,0.04488739967346191,0.010792654726224198,True,120,sqrt,2,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,1
104,2.148736333847046,0.3422715040269672,0.09994974136352539,0.0022197958989146013,True,20,auto,2,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 1500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,1
25,1.7734873294830322,0.2921260893705017,0.09823246002197265,0.01614618677062237,True,40,sqrt,2,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 1250)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,1
13,1.1015084266662598,0.17517131958816207,0.05183243751525879,0.00017266114815459767,True,80,auto,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,1
27,1.7604495525360107,0.2676045170135211,0.08581972122192383,0.0019083504191771997,True,60,auto,2,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 1250)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,1
116,1.380854606628418,0.2095318570121054,0.06883888244628907,0.0008891704529541378,True,100,sqrt,2,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 1000)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,1
21,1.0528152465820313,0.16343107440824178,0.052394676208496097,0.0009153476106531379,True,60,sqrt,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,1
55,0.7476901531219482,0.1263272283799058,0.05537714958190918,0.009442962967746561,True,20,sqrt,2,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,1
52,0.7506203651428223,0.11744149618941675,0.04376993179321289,0.009846725231263918,True,100,auto,2,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,1
49,2.161400318145752,0.32480513532068406,0.10166535377502442,0.0016949053510485065,True,100,auto,2,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,1
67,0.7340528488159179,0.11667170519252493,0.035927867889404295,0.0006936086743553019,True,20,auto,2,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2459016393442623,0.37187863564251716,0.19866965326205777,1
147,2.1198949813842773,0.3177252907897203,0.10175948143005371,0.0021158733020356945,True,120,auto,2,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 1500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.059016393442622946,0.2254098360655738,0.3717147012162877,0.19505619705808117,14
65,2.2340909004211427,0.36879073526119655,0.10741291046142579,0.007588725807256608,True,20,auto,2,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2254098360655738,0.36778027498677945,0.20141850882636836,15
81,2.1756513118743896,0.34295342365731835,0.10201563835144042,0.0017650790197585502,True,100,auto,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2254098360655738,0.36778027498677945,0.20141850882636836,15
64,1.4138614177703857,0.2184033591993931,0.06948537826538086,0.0012461913152207284,True,20,sqrt,2,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1000)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2254098360655738,0.36778027498677945,0.20141850882636836,15
148,1.7496387481689453,0.28119886045255826,0.08348522186279297,0.001151850484499774,True,,sqrt,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2254098360655738,0.36778027498677945,0.20141850882636836,15
62,0.7473354816436768,0.1156591243127041,0.04005675315856934,0.005629605242080081,True,120,auto,2,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2254098360655738,0.36778027498677945,0.20141850882636836,15
78,2.1022531509399416,0.3124323637260925,0.10061330795288086,0.0014133976158970068,True,20,sqrt,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2254098360655738,0.36778027498677945,0.20141850882636836,15
80,2.153676223754883,0.3512274444871833,0.1090095043182373,0.008248375502339426,True,20,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2254098360655738,0.36778027498677945,0.20141850882636836,15
74,2.0908140182495116,0.3203147962517865,0.1012263298034668,0.0023072681539904943,True,100,sqrt,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2254098360655738,0.36778027498677945,0.20141850882636836,15
90,2.1747286796569822,0.3434424412522238,0.10166854858398437,0.0023525062991911114,True,20,auto,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2254098360655738,0.36778027498677945,0.20141850882636836,15
48,0.715216588973999,0.11769619850954872,0.036353349685668945,0.0013325127916845542,True,100,sqrt,2,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2254098360655738,0.36778027498677945,0.20141850882636836,15
96,2.147693634033203,0.35411329317821066,0.1012110710144043,0.002728851594578186,True,80,sqrt,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.5020161290322581,0.5311475409836066,0.540983606557377,0.03934426229508197,0.2254098360655738,0.36778027498677945,0.20141850882636836,15
