,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
146,5.816753482818603,0.7800633422411888,0.1730226993560791,0.007306441738579913,True,20,auto,6,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 1500)])",0.5631080389144906,0.6680747567844342,0.6826676907322068,0.6365847414234511,0.8156785243741764,0.6732227504457517,0.08231275680236831,1
38,3.1723466873168946,0.5452374642891116,0.07814507484436035,0.00454779743639525,True,120,sqrt,6,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 750)])",0.5640040962621607,0.6697388632872503,0.6825396825396826,0.6344086021505376,0.8146245059288538,0.673063150033697,0.08188836830121742,2
77,3.214243221282959,0.28238750364197746,0.08813409805297852,0.004311001117778252,True,100,sqrt,6,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 750)])",0.5637480798771122,0.6676907322068613,0.6895801331285203,0.6342805939580132,0.8092226613965745,0.6729044401134163,0.08036769427244632,3
41,2.964055395126343,0.507523064882415,0.08485465049743653,0.002818260222625412,True,120,sqrt,6,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 750)])",0.5640040962621609,0.669226830517153,0.6817716333845367,0.634152585765489,0.8140974967061922,0.6726505285271063,0.0817169503955172,4
117,3.9477031230926514,0.5840465785660661,0.11061244010925293,0.003992074985449956,True,20,sqrt,6,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1000)])",0.5660522273425499,0.6749871991807476,0.6783154121863799,0.6272401433691757,0.816600790513834,0.6726391545185374,0.08268558412619324,5
109,4.139554166793824,0.5524326671811259,0.12973856925964355,0.039593147009958134,True,,sqrt,6,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 1000)])",0.5636200716845878,0.6719150025601639,0.6840757808499744,0.6190476190476191,0.8216073781291173,0.6720531704542925,0.0861142829884381,6
95,4.063024187088013,0.31693000976755664,0.14389853477478026,0.013742616294191413,True,40,sqrt,6,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1250)])",0.5586277521761392,0.6747311827956989,0.6829237071172555,0.630568356374808,0.813175230566535,0.6720052458060873,0.0832190843433029,7
81,5.390623950958252,0.43829977035800577,0.1338655471801758,0.005465788567354855,True,40,auto,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.5609318996415771,0.6730670762928828,0.6816436251920124,0.6323604710701484,0.810935441370224,0.671787702713369,0.08161419588247805,8
110,2.1226040840148928,0.39235405248776384,0.06553349494934083,0.0015364303449474073,True,,auto,6,2,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 500)])",0.5565796210957501,0.6670506912442397,0.681899641577061,0.6356886840757809,0.8176548089591569,0.6717746893903976,0.08482681608976925,9
5,3.4762062549591066,0.38847039680724565,0.09217591285705566,0.004749262446246726,True,,auto,4,4,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 750)])",0.5650281618023554,0.6769073220686123,0.6673067076292882,0.6249359959037378,0.8241106719367589,0.6716577718681505,0.08583842306181919,10
45,4.601320505142212,0.5587143069822198,0.13598132133483887,0.002349677283433274,True,120,sqrt,6,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1250)])",0.5622119815668203,0.6653865847414234,0.6810035842293907,0.6335125448028674,0.8160737812911727,0.671637695326335,0.08296516512554827,11
142,4.717226171493531,0.7264707006163362,0.17245941162109374,0.048256678597050205,True,40,sqrt,6,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1250)])",0.5605478750640042,0.6578341013824884,0.687532002048131,0.6359447004608295,0.816205533596838,0.6716128425104582,0.08361574374986223,12
67,6.051952075958252,0.79447468707276,0.15599436759948732,0.008830805862830447,True,40,sqrt,6,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1500)])",0.565284178187404,0.6678187403993856,0.6830517153097799,0.6272401433691754,0.8130434782608696,0.6712876511053228,0.0817582537595704,13
27,2.5799147605896,0.38991569349994604,0.08529343605041503,0.0024264145265919536,True,120,sqrt,6,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 750)])",0.5560675883256528,0.6653865847414234,0.6835637480798772,0.633384536610343,0.8179183135704875,0.6712641542655569,0.08532102028339336,14
106,4.8735981464385985,0.6091473658185498,0.13545122146606445,0.004679749915195627,True,40,sqrt,6,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1250)])",0.5578597030209933,0.6705069124423962,0.6820276497695853,0.63300051203277,0.8129117259552041,0.6712613006441898,0.08307242220436488,15
144,4.559647083282471,0.6095276609707518,0.12684473991394044,0.006542028023984381,True,40,sqrt,6,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1250)])",0.5646441372247823,0.6643625192012288,0.6788274449564772,0.6391449052739375,0.8092226613965744,0.6712403336106001,0.07941896118043627,16
29,2.8579726696014403,0.4184042933261707,0.08935389518737794,0.004293451187389529,True,120,sqrt,6,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 750)])",0.5606758832565284,0.6625704045058883,0.6834357398873528,0.6374807987711213,0.8114624505928854,0.6711250554027552,0.08154786953106676,17
23,4.588422584533691,0.7042726016575246,0.13637824058532716,0.002077158430408684,True,100,auto,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.554915514592934,0.6689708141321045,0.6849718381976446,0.6372247823860727,0.8093544137022398,0.6710874726021991,0.08241068919576991,18
60,4.458907794952393,0.5683389653257741,0.13081669807434082,0.005080755214220221,True,120,sqrt,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.5637480798771121,0.6611623143881207,0.6820276497695853,0.6324884792626728,0.8158102766798417,0.6710473599954666,0.08267346095868151,19
100,4.661471939086914,0.3583384092327061,0.12709875106811525,0.0022546247356560575,True,40,sqrt,6,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1250)])",0.5601638504864311,0.6628264208909371,0.6874039938556068,0.6332565284178188,0.8114624505928855,0.6710226488487359,0.08218858504396223,20
120,5.171509742736816,0.5295607932353533,0.13305883407592772,0.004843543646010374,True,,sqrt,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.5576036866359447,0.6693548387096774,0.6790834613415259,0.6281362007168458,0.8202898550724639,0.6708936084952916,0.0860830788346613,21
