,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
99,2.6463960647583007,0.3589110674080745,0.0652491569519043,0.002041768238716309,True,100,sqrt,6,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 500)])",0.6368407578084997,0.7264464925755248,0.7090373783922171,0.673195084485407,0.8089591567852438,0.7108957740093784,0.05790888176909405,1
30,4.536645936965942,0.42212739422357626,0.0970151424407959,0.0023921855564845423,True,60,sqrt,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.6368407578084997,0.7164618535586278,0.7264464925755248,0.6551459293394777,0.8089591567852438,0.7087708380134747,0.06075993247398319,2
93,9.038961505889892,0.7700365578912587,0.178618860244751,0.011927651321328765,True,60,auto,6,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6368407578084997,0.7295186891961085,0.7090373783922171,0.6551459293394777,0.8089591567852438,0.7079003823043093,0.06085067360952448,3
62,4.9083973407745365,0.625747236975074,0.10090079307556152,0.005001923374666108,True,80,auto,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.6368407578084997,0.7090373783922171,0.7264464925755248,0.6551459293394777,0.8089591567852438,0.7072859429801925,0.06064444200184114,4
85,4.847262525558472,0.6218732398514255,0.09110660552978515,0.006400875979651156,True,60,auto,6,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 750)])",0.6368407578084997,0.7264464925755248,0.7090373783922171,0.6551459293394777,0.8089591567852438,0.7072859429801925,0.06064444200184114,4
133,8.991380167007446,1.0579262703178625,0.17537097930908202,0.003982910004345657,True,100,auto,6,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6368407578084997,0.7254224270353303,0.7090373783922171,0.6551459293394777,0.8089591567852438,0.7070811298721537,0.06058108183189588,6
76,9.451112365722656,1.187648091042673,0.20518178939819337,0.04396411934495569,True,40,auto,6,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6368407578084997,0.7254224270353303,0.7090373783922171,0.6551459293394777,0.8089591567852438,0.7070811298721537,0.06058108183189588,6
82,4.754672813415527,0.6299304215336116,0.09625554084777832,0.004644765001899753,True,60,auto,6,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 750)])",0.6368407578084997,0.7254224270353303,0.7090373783922171,0.6551459293394777,0.8089591567852438,0.7070811298721537,0.06058108183189588,6
57,6.2305333614349365,0.7223159920107651,0.12830581665039062,0.004110045631866956,True,20,auto,6,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1000)])",0.6368407578084997,0.7090373783922171,0.7090373783922171,0.6689708141321045,0.8089591567852438,0.7065690971020564,0.05791645937021243,9
104,9.181795215606689,1.2036963735556157,0.21380763053894042,0.035218067622316725,True,100,sqrt,6,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6368407578084997,0.7090373783922171,0.7090373783922171,0.6689708141321045,0.8089591567852438,0.7065690971020564,0.05791645937021243,9
125,3.159871959686279,0.3377622860015749,0.0638087272644043,0.001694234239229578,True,60,sqrt,6,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 500)])",0.6323604710701485,0.7100614439324117,0.7090373783922171,0.6689708141321045,0.8089591567852438,0.7058778528624251,0.05902571505314535,11
78,4.490679454803467,0.43674018830412753,0.09304180145263671,0.023309905461559827,True,20,auto,6,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 750)])",0.6368407578084997,0.7100614439324117,0.7090373783922171,0.6593701996927802,0.8089591567852438,0.7048537873222305,0.05929094197248418,12
40,2.553881549835205,0.2720078651359211,0.05922684669494629,0.0027297289170335483,True,20,auto,6,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 500)])",0.6368407578084997,0.7100614439324117,0.7090373783922171,0.6593701996927802,0.8089591567852438,0.7048537873222305,0.05929094197248418,12
70,6.437912034988403,0.6400061089988193,0.14651098251342773,0.002860384613987596,True,60,auto,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6368407578084997,0.7090373783922171,0.7090373783922171,0.6593701996927802,0.8089591567852438,0.7046489742141915,0.05927436546222594,14
136,4.782970380783081,0.5357663578993332,0.08660821914672852,0.007265490447452308,True,100,auto,6,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 750)])",0.6368407578084997,0.7090373783922171,0.7090373783922171,0.6593701996927802,0.8089591567852438,0.7046489742141915,0.05927436546222594,14
129,4.809081935882569,0.504932112388004,0.0837857723236084,0.005349876118925824,True,80,sqrt,6,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 750)])",0.6368407578084997,0.7121095750128008,0.7090373783922171,0.6551459293394777,0.8089591567852438,0.7044185594676479,0.06000628809170605,16
19,4.459911775588989,0.6128512793499656,0.09021987915039062,0.0004587051673509632,True,100,auto,6,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 750)])",0.6368407578084997,0.7115975422427036,0.7090373783922171,0.6551459293394777,0.8089591567852438,0.7043161529136284,0.05999351080038798,17
138,7.8933333396911625,0.9999065259649899,0.17345190048217773,0.035884755389368875,True,40,auto,6,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6368407578084997,0.710573476702509,0.7090373783922171,0.6551459293394777,0.8089591567852438,0.7041113398055894,0.05997004655521379,18
49,4.728727006912232,0.4729391179755359,0.08938231468200683,0.0024076200489628924,True,100,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.6368407578084997,0.69905273937532,0.7023809523809523,0.673195084485407,0.8089591567852438,0.7040857381670845,0.057450485067372534,19
43,3.231279230117798,0.27034222103182726,0.06640949249267578,0.0008812773576312408,True,60,auto,6,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 500)])",0.6368407578084997,0.7100614439324117,0.7090373783922171,0.6593701996927802,0.8050065876152833,0.7040632734882384,0.057907874930484875,20
118,7.69592695236206,0.3410369879531256,0.1717822551727295,0.008072930345205037,True,100,sqrt,6,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6368407578084997,0.7100614439324117,0.7090373783922171,0.6551459293394777,0.8089591567852438,0.70400893325157,0.05995936041938159,21
