,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
134,3.576880359649658,0.5122228137299952,0.1737504482269287,0.005770196642377532,True,,sqrt,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.4919994879672299,0.3075396825396825,0.39221710189452125,0.36789554531490015,0.5930171277997365,0.43053378910321405,0.1006957157417386,1
114,2.8950860023498537,0.38115712009576175,0.13145594596862792,0.0038365847706552632,True,80,sqrt,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.49007936507936506,0.3140681003584229,0.3864567332309268,0.3776241679467486,0.5801054018445322,0.429666753691999,0.09404260281854912,2
12,1.3732124328613282,0.013555035227790686,0.08652706146240234,0.005853630641451609,True,40,sqrt,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.4881592421915002,0.31547619047619047,0.365463389656938,0.3818484383000512,0.597364953886693,0.42966244290227457,0.10098733131871078,3
95,2.928381824493408,0.40844090611267736,0.1407083511352539,0.001781828913567226,True,40,sqrt,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.48291090629800304,0.3159882232462877,0.37980030721966207,0.37147977470558113,0.5942028985507246,0.4288764220040518,0.09869058204556187,4
91,2.89770245552063,0.38129318405740203,0.12813906669616698,0.002032087028014195,True,40,sqrt,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.4798387096774193,0.3257168458781362,0.3996415770609319,0.3710957501280082,0.5679841897233202,0.4288554144935632,0.08577097871184328,5
124,3.649323558807373,0.48923631260485295,0.1628274917602539,0.018558481239452074,True,100,auto,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.4808627752176139,0.3140681003584229,0.39260112647209416,0.3669994879672299,0.5880105401844531,0.42850840603996276,0.09628205862107882,6
81,4.182411241531372,0.5538687534432899,0.18741288185119628,0.005016535925499159,True,40,sqrt,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.4776625704045058,0.3229006656426011,0.38850486431131587,0.36315924219150025,0.5889328063241107,0.42823202977480673,0.09505317412908489,7
82,4.082270765304566,0.4970191292043366,0.18457021713256835,0.00890933983182623,True,40,sqrt,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.47407834101382484,0.31432411674347155,0.39298515104966714,0.3717357910906298,0.5868247694334651,0.4279896338662117,0.09451182745483211,8
28,1.9740865230560303,0.12034445842045437,0.105564546585083,0.0037327821118062856,True,20,sqrt,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.45321300563236044,0.3134280593958013,0.4065540194572453,0.369431643625192,0.5936758893280631,0.4272605234877325,0.09497196834203221,9
10,1.379247522354126,0.02115345059511309,0.087054443359375,0.00652644812338484,True,40,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.4950716845878136,0.33032514080901176,0.38069636456733236,0.3617511520737327,0.5682476943346508,0.4272184072745082,0.0898130214371768,10
29,2.124439239501953,0.3292577340056781,0.09449739456176758,0.0013100805782572363,True,60,sqrt,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.48060675883256526,0.3112519201228878,0.394137224782386,0.36431131592421917,0.5856389986824769,0.4271892436689071,0.09638183286395362,11
70,2.9553136825561523,0.24035076883068784,0.12647366523742676,0.004545340671765131,True,40,auto,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.4930235535074245,0.30689964157706096,0.3757040450588838,0.37327188940092165,0.5852437417654809,0.4268285742619543,0.09933994709778728,12
24,1.5679885387420653,0.12038934591791865,0.08217597007751465,0.0067619047253930226,True,40,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.4647337429595494,0.3163722478238607,0.3937532002048131,0.3691756272401434,0.5894598155467721,0.42669892675502774,0.09434413721368354,13
99,2.9078055381774903,0.4097747813800131,0.13126654624938966,0.014727368306621195,True,40,sqrt,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.4690860215053763,0.3225166410650282,0.366231438812084,0.37980030721966207,0.5951251646903821,0.4265519146585065,0.09682324269274886,14
141,2.9597673416137695,0.3736537019648729,0.13239526748657227,0.0018141030887682016,True,,sqrt,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.4896953405017921,0.31368407578084995,0.3746799795186892,0.37378392217101897,0.5794466403162055,0.42625799165771117,0.09547540536362144,15
123,3.6007546901702883,0.46020066660543496,0.15828323364257812,0.012144007031152489,True,,auto,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.4808627752176139,0.3067716333845366,0.38760880696364564,0.3796722990271377,0.5740447957839262,0.425792062075372,0.09247974097969486,16
