,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
149,0.6679932594299316,0.01120575049901245,0.018660354614257812,0.00033961343335401625,0.8,0.03,20,6,50,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.4)])",0.7620967741935484,0.7508196721311475,0.5688524590163935,0.6704918032786885,0.959016393442623,0.7422554204124803,0.12858534047192058,1
116,0.22295012474060058,0.014449441089946623,0.019505119323730467,0.0006569353115187062,0.8,0.03,8,6,50,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.4)])",0.7620967741935484,0.7508196721311475,0.5688524590163935,0.6704918032786885,0.959016393442623,0.7422554204124803,0.12858534047192058,1
115,0.6586882591247558,0.008521981652443734,0.018554544448852538,0.00045941216453543164,0.8,0.03,20,6,50,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.4)])",0.7620967741935484,0.7508196721311475,0.5688524590163935,0.6704918032786885,0.959016393442623,0.7422554204124803,0.12858534047192058,1
114,0.22024993896484374,0.0050549344500742536,0.01956639289855957,0.0005096243746583323,0.8,0.03,12,6,50,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.4)])",0.7620967741935484,0.7508196721311475,0.5688524590163935,0.6704918032786885,0.959016393442623,0.7422554204124803,0.12858534047192058,1
113,0.2109300136566162,0.006514130001778373,0.018593263626098634,0.0005261893049859124,0.8,0.03,8,6,50,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.4)])",0.7620967741935484,0.7508196721311475,0.5688524590163935,0.6704918032786885,0.959016393442623,0.7422554204124803,0.12858534047192058,1
111,0.8353842258453369,0.022351566424177783,0.02019839286804199,0.0003342399031509168,0.8,0.03,20,6,50,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.4)])",0.7620967741935484,0.7508196721311475,0.5688524590163935,0.6704918032786885,0.959016393442623,0.7422554204124803,0.12858534047192058,1
110,0.20615525245666505,0.0026959793039379757,0.01852898597717285,0.0005994159520186415,0.8,0.03,12,6,50,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.4)])",0.7620967741935484,0.7508196721311475,0.5688524590163935,0.6704918032786885,0.959016393442623,0.7422554204124803,0.12858534047192058,1
109,0.20773005485534668,0.005106447029986063,0.019041156768798827,0.0004384431609968101,0.8,0.03,8,6,50,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.4)])",0.7620967741935484,0.7508196721311475,0.5688524590163935,0.6704918032786885,0.959016393442623,0.7422554204124803,0.12858534047192058,1
108,0.20540618896484375,0.006457057216737877,0.018869400024414062,0.0004560235097988594,0.8,0.03,6,6,50,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.4)])",0.7620967741935484,0.7508196721311475,0.5688524590163935,0.6704918032786885,0.959016393442623,0.7422554204124803,0.12858534047192058,1
107,0.6715184211730957,0.006516943333423532,0.019223117828369142,0.0004501602046175351,0.8,0.03,20,6,50,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.4)])",0.7620967741935484,0.7508196721311475,0.5688524590163935,0.6704918032786885,0.959016393442623,0.7422554204124803,0.12858534047192058,1
