,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
149,1.310387945175171,0.01804981403399295,0.01869993209838867,0.0004940169748599612,0.8,0.03,20,4,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7258064516129032,0.8213114754098361,0.5590163934426229,0.6409836065573771,0.9631147540983607,0.74204653622422,0.14080594931026724,1
98,1.4759997844696044,0.15901598372809606,0.019681262969970702,0.000856890680939829,0.8,0.03,20,4,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7258064516129032,0.8213114754098361,0.5590163934426229,0.6409836065573771,0.9631147540983607,0.74204653622422,0.14080594931026724,1
131,1.5614652156829834,0.14634141428084826,0.019647836685180664,0.0006626654041662572,0.8,0.03,20,4,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7258064516129032,0.8213114754098361,0.5590163934426229,0.6409836065573771,0.9631147540983607,0.74204653622422,0.14080594931026724,1
95,0.37825927734375,0.005600923921104158,0.018443584442138672,0.00040488071540124897,0.8,0.03,12,4,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7258064516129032,0.8213114754098361,0.5590163934426229,0.6409836065573771,0.9631147540983607,0.74204653622422,0.14080594931026724,1
94,0.37758626937866213,0.0073647616118649615,0.018583202362060548,0.00047168276638453685,0.8,0.03,6,4,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7258064516129032,0.8213114754098361,0.5590163934426229,0.6409836065573771,0.9631147540983607,0.74204653622422,0.14080594931026724,1
93,0.37632250785827637,0.0026061355134607434,0.01832447052001953,0.0004642956724785957,0.8,0.03,8,4,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7258064516129032,0.8213114754098361,0.5590163934426229,0.6409836065573771,0.9631147540983607,0.74204653622422,0.14080594931026724,1
92,0.37910914421081543,0.004182080904162836,0.018831539154052734,0.00026069025418114315,0.8,0.03,12,4,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7258064516129032,0.8213114754098361,0.5590163934426229,0.6409836065573771,0.9631147540983607,0.74204653622422,0.14080594931026724,1
90,1.648758840560913,0.011961307127751512,0.020143699645996094,0.0005176446633695221,0.8,0.03,20,4,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7258064516129032,0.8213114754098361,0.5590163934426229,0.6409836065573771,0.9631147540983607,0.74204653622422,0.14080594931026724,1
89,0.3754974365234375,0.00695771310083058,0.01857619285583496,0.00040212908782167564,0.8,0.03,6,4,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7258064516129032,0.8213114754098361,0.5590163934426229,0.6409836065573771,0.9631147540983607,0.74204653622422,0.14080594931026724,1
88,0.43505215644836426,0.007424374326472574,0.020029878616333006,0.0001770076822718428,0.8,0.03,8,4,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7258064516129032,0.8213114754098361,0.5590163934426229,0.6409836065573771,0.9631147540983607,0.74204653622422,0.14080594931026724,1
87,1.3199408531188965,0.06776402677474655,0.01877274513244629,0.0006776297371682632,0.8,0.03,20,4,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7258064516129032,0.8213114754098361,0.5590163934426229,0.6409836065573771,0.9631147540983607,0.74204653622422,0.14080594931026724,1
