,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
116,1.023657464981079,0.019452628384215954,0.01849784851074219,0.0005581431508784203,0.8,0.05,12,4,400,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 400), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
122,0.5642249107360839,0.016732537338661847,0.018571233749389647,0.0004013323560017602,0.8,0.05,6,4,200,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
120,4.806123828887939,0.3247975657214773,0.017409753799438477,0.000360375637600849,0.8,0.05,20,4,400,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 400), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
119,0.29511160850524903,0.005223838589961006,0.017308568954467772,0.0003526075404407468,0.8,0.05,8,4,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
118,0.4940940380096436,0.00652333768268993,0.01745305061340332,0.00033924062112878,1.0,0.05,8,4,200,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
77,0.5436879158020019,0.03598315456916638,0.01818060874938965,0.0004481594055124101,1.0,0.05,12,4,200,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
114,0.30205669403076174,0.008207236416035827,0.01738138198852539,0.0003263058864597881,1.0,0.05,6,4,100,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
113,2.377323865890503,0.007608318429868314,0.01717848777770996,0.0004229770136208855,0.8,0.05,20,4,200,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
112,5.333567667007446,0.8541361662955975,0.017961406707763673,0.0007298009545905928,1.0,0.05,20,4,400,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 400), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
111,0.380191707611084,0.009223859084015082,0.01956033706665039,0.0008184239123628156,0.8,0.05,8,4,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
109,0.3017303466796875,0.004994364702513257,0.018003082275390624,0.0021993419672442483,0.8,0.05,12,4,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
108,0.4922391414642334,0.006390182610013118,0.017159795761108397,0.0002512866947704704,1.0,0.05,6,4,200,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
106,0.8651865005493165,0.006030098097074333,0.01724853515625,0.0002664507245402926,1.0,0.05,8,4,400,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 400), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
123,0.8829645633697509,0.010053771068851991,0.017547750473022462,0.0007669676239183375,1.0,0.05,12,4,400,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 400), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
105,0.9921144962310791,0.016259212289015328,0.01882624626159668,0.0011470727818056043,0.8,0.05,6,4,400,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 400), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
103,0.5112709999084473,0.020539988500445375,0.017607641220092774,0.0006618155929473325,0.8,0.05,12,4,200,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
102,0.30681557655334474,0.005618577409777654,0.017353057861328125,0.0002322408932796776,1.0,0.05,12,4,100,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
101,1.213364315032959,0.021307370080301598,0.01684861183166504,0.0003169319398766305,0.8,0.05,20,4,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
99,2.5426669120788574,0.29967203084899474,0.017464065551757814,0.000778496669833875,1.0,0.05,20,4,200,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
94,0.4787741184234619,0.004099662166706415,0.01742730140686035,0.0005303225568960424,0.8,0.05,6,4,200,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.4)])",0.7056451612903226,0.8032786885245902,0.5770491803278688,0.7016393442622951,0.959016393442623,0.74932575356954,0.12707658250285225,1
