,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
149,0.26750898361206055,0.005023294197852141,0.02054295539855957,0.000749705189604938,0.8,0.075,12,6,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.6)])",0.5640040962621609,0.7415514592933947,0.6826676907322069,0.6381848438300052,0.8015151515151514,0.6855846483265837,0.08198688461889542,1
126,0.5185865879058837,0.008122050049144918,0.023003625869750976,0.0009824689719757224,0.8,0.075,20,6,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.6)])",0.5640040962621609,0.7415514592933947,0.6826676907322069,0.6381848438300052,0.8015151515151514,0.6855846483265837,0.08198688461889542,1
129,0.26680312156677244,0.005107738278447092,0.020981454849243165,0.0008881191547527944,0.8,0.075,8,6,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.6)])",0.5640040962621609,0.7415514592933947,0.6826676907322069,0.6381848438300052,0.8015151515151514,0.6855846483265837,0.08198688461889542,1
134,0.2634103298187256,0.006105546013808751,0.020838403701782228,0.0007875386927577871,0.8,0.075,12,6,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.6)])",0.5640040962621609,0.7415514592933947,0.6826676907322069,0.6381848438300052,0.8015151515151514,0.6855846483265837,0.08198688461889542,1
137,0.47798452377319334,0.015437652679569612,0.021622610092163087,0.0010038711868213081,0.8,0.075,20,6,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.6)])",0.5640040962621609,0.7415514592933947,0.6826676907322069,0.6381848438300052,0.8015151515151514,0.6855846483265837,0.08198688461889542,1
148,0.4669194221496582,0.007543086877506129,0.020883703231811525,0.0008420145298223339,0.8,0.075,20,6,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.6)])",0.5640040962621609,0.7415514592933947,0.6826676907322069,0.6381848438300052,0.8015151515151514,0.6855846483265837,0.08198688461889542,1
141,0.26933917999267576,0.0038580129955535433,0.020945119857788085,0.0002898564950037743,0.8,0.075,8,6,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.6)])",0.5640040962621609,0.7415514592933947,0.6826676907322069,0.6381848438300052,0.8015151515151514,0.6855846483265837,0.08198688461889542,1
142,0.4776179313659668,0.006159557423910116,0.020763063430786134,0.00029071336933111426,0.8,0.075,20,6,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.6)])",0.5640040962621609,0.7415514592933947,0.6826676907322069,0.6381848438300052,0.8015151515151514,0.6855846483265837,0.08198688461889542,1
144,0.2667085647583008,0.01072072109240211,0.02042527198791504,0.0005206463372427067,0.8,0.075,12,6,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.6)])",0.5640040962621609,0.7415514592933947,0.6826676907322069,0.6381848438300052,0.8015151515151514,0.6855846483265837,0.08198688461889542,1
145,0.2661725044250488,0.005418184713567141,0.021176528930664063,0.0006530933671708547,0.8,0.075,8,6,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.6)])",0.5640040962621609,0.7415514592933947,0.6826676907322069,0.6381848438300052,0.8015151515151514,0.6855846483265837,0.08198688461889542,1
139,0.26561460494995115,0.005745385141272903,0.020660781860351564,0.0005888150930776216,0.8,0.075,12,6,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.6)])",0.5640040962621609,0.7415514592933947,0.6826676907322069,0.6381848438300052,0.8015151515151514,0.6855846483265837,0.08198688461889542,1
132,0.2619142532348633,0.005746049113006366,0.020912981033325194,0.0007132582684061347,0.8,0.075,6,6,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.6)])",0.5640040962621609,0.7416794674859191,0.6826676907322069,0.6381848438300052,0.8001976284584981,0.6853467453537581,0.08163278962564716,12
84,0.24006104469299316,0.006150083599625943,0.0229494571685791,0.001523716116505567,0.8,0.1,6,6,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.4)])",0.5928059395801332,0.708973374295955,0.7067972350230415,0.6475294418842806,0.7683794466403162,0.6848970874847453,0.05984264165142709,13
111,0.2545140743255615,0.009744756458422814,0.02357769012451172,0.0016836465557085512,0.8,0.1,8,6,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.4)])",0.5928059395801332,0.708973374295955,0.7067972350230415,0.6475294418842806,0.7683794466403162,0.6848970874847453,0.05984264165142709,13
