,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
74,0.11735148429870605,0.001393687760908133,0.006946039199829101,0.000249644012725651,0.8,0.1,6,6,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.564516129032258,0.5721311475409836,0.5442622950819672,0.5,0.5,0.5361819143310418,0.030915140282764434,1
97,0.3698431015014648,0.0017222193652714657,0.007945489883422852,0.00015599663316132647,0.8,0.1,8,6,400,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 400), ('subsample', 0.4)])",0.564516129032258,0.5721311475409836,0.5442622950819672,0.5,0.5,0.5361819143310418,0.030915140282764434,1
98,0.06244096755981445,0.0015674863351887865,0.007914972305297852,0.0005742707579368257,1.0,0.1,6,6,20,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.4)])",0.564516129032258,0.5721311475409836,0.5442622950819672,0.5,0.5,0.5361819143310418,0.030915140282764434,1
99,0.2532217502593994,0.0029427624824158944,0.006920480728149414,0.00018819274800043403,0.6,0.1,20,6,20,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.4)])",0.564516129032258,0.5721311475409836,0.5442622950819672,0.5,0.5,0.5361819143310418,0.030915140282764434,1
100,0.33548822402954104,0.0015322706906657172,0.007094430923461914,0.00030088358182274406,0.6,0.1,12,6,400,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 400), ('subsample', 0.4)])",0.564516129032258,0.5721311475409836,0.5442622950819672,0.5,0.5,0.5361819143310418,0.030915140282764434,1
101,0.20717768669128417,0.0013352574862241662,0.008060646057128907,0.00016498651118415566,0.8,0.1,12,6,200,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('subsample', 0.4)])",0.564516129032258,0.5721311475409836,0.5442622950819672,0.5,0.5,0.5361819143310418,0.030915140282764434,1
102,0.06322741508483887,0.0005534883899059142,0.008122968673706054,0.000135599141061015,0.8,0.1,6,6,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.4)])",0.564516129032258,0.5721311475409836,0.5442622950819672,0.5,0.5,0.5361819143310418,0.030915140282764434,1
96,0.12400579452514648,0.0007846679046202956,0.007894802093505859,0.0001175318380211076,0.6,0.1,8,6,100,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.564516129032258,0.5721311475409836,0.5442622950819672,0.5,0.5,0.5361819143310418,0.030915140282764434,1
103,0.12538557052612304,0.011213077752212069,0.006985521316528321,0.00024281864699921362,1.0,0.1,12,6,100,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.564516129032258,0.5721311475409836,0.5442622950819672,0.5,0.5,0.5361819143310418,0.030915140282764434,1
105,0.12170557975769043,0.0007138563517560733,0.007833909988403321,0.00016327021277534452,0.6,0.1,6,6,100,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.564516129032258,0.5721311475409836,0.5442622950819672,0.5,0.5,0.5361819143310418,0.030915140282764434,1
