,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
64,2.6258440017700195,0.17181032607862357,0.22962803840637208,0.0039848028556766606,relu,0.6,0.003,4,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 4), ('n_neurons', 1500)])",0.8875,0.4852941176470588,0.588235294117647,0.7692307692307693,0.96875,0.739802036199095,0.18046864928748016,1
2,2.4872971057891844,0.16073647414736777,0.22528486251831054,0.0010630526306650478,relu,0.4,0.003,3,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 500)])",0.65,0.6764705882352942,0.6176470588235294,0.7307692307692308,0.953125,0.7256023755656109,0.11964718396395757,2
65,2.96851487159729,0.8285420219035705,0.1802950382232666,0.004315520053386454,elu,0.6,0.0003,1,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 200)])",0.65,0.5588235294117647,0.5,0.8557692307692308,0.984375,0.7097935520361991,0.18280285633422694,3
61,2.057162809371948,0.2650060763856155,0.1781559944152832,0.003031999978638898,elu,0.6,0.0003,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 1500)])",0.6,0.6617647058823529,0.5441176470588236,0.798076923076923,0.890625,0.6989168552036199,0.12783767295029075,4
95,2.7011881828308106,0.23977300401119847,0.2212526798248291,0.002308606360306444,elu,0.6,0.0003,4,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 1500)])",0.6375000000000001,0.5294117647058824,0.4558823529411765,0.8846153846153846,0.96875,0.6952319004524887,0.19939696612361435,5
49,4.012125873565674,0.5570090214283757,0.18971195220947265,0.004262728821567889,elu,0.4,3e-05,1,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 3e-05), ('n_hidden', 1), ('n_neurons', 1000)])",0.7749999999999999,0.6617647058823529,0.5735294117647058,0.6057692307692308,0.859375,0.6950876696832579,0.10699618773952915,6
19,3.6924837112426756,0.47088706936227176,0.19526176452636718,0.004941277746188782,elu,0.2,0.0003,1,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 25)])",0.6749999999999999,0.6470588235294117,0.4852941176470588,0.7596153846153846,0.90625,0.694643665158371,0.1381853748058795,7
81,1.9775129318237306,0.11893887795315025,0.17841758728027343,0.0029382405423465994,elu,0.6,0.0003,1,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 1000)])",0.6625,0.5735294117647058,0.44117647058823534,0.7884615384615385,1.0,0.6931334841628959,0.19077755510228145,8
28,3.3946124076843263,1.5465192211930388,0.20841641426086427,0.004038162822390373,relu,0.4,3e-05,2,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 500)])",0.8250000000000001,0.6176470588235294,0.3823529411764706,0.6346153846153846,1.0,0.691923076923077,0.20844933456199635,9
18,3.3335049629211424,1.313237278982516,0.19119062423706054,0.004815802361200975,relu,0.4,0.0003,1,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 50)])",0.75,0.5441176470588236,0.6176470588235294,0.6442307692307693,0.890625,0.6893240950226245,0.12038233912751044,10
