,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17,7.154899168014526,1.6051324228118968,0.2262868881225586,0.0027351019769163805,elu,0.2,3e-05,3,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 3e-05), ('n_hidden', 3), ('n_neurons', 1000)])",0.6838095238095238,0.8275862068965517,0.6437246963562754,0.6622222222222223,0.5622222222222222,0.6759129743013591,0.08627425342231879,1
93,2.566165018081665,0.2415276985901864,0.19799656867980958,0.001976760271736512,elu,0.6,0.0003,2,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 500)])",0.6342857142857143,0.7262931034482758,0.6963562753036437,0.6288888888888888,0.6644444444444444,0.6700536852741934,0.03704065385918299,2
97,2.5377340793609617,0.1583135815221915,0.20319323539733886,0.00983224155198702,elu,0.4,0.0003,2,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 500)])",0.6419047619047619,0.8081896551724138,0.7125506072874493,0.6466666666666666,0.54,0.6698623382062583,0.0884766941871436,3
16,7.397481632232666,1.7086792933477737,0.2279209613800049,0.003258882885585204,elu,0.4,3e-05,3,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 3e-05), ('n_hidden', 3), ('n_neurons', 1000)])",0.6285714285714286,0.7952586206896552,0.5627530364372471,0.671111111111111,0.6799999999999999,0.6675388393618883,0.07613003059317121,4
85,3.727484035491943,0.779216059944592,0.1986748218536377,0.002309990603448673,relu,0.4,0.0003,2,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 500)])",0.6171428571428571,0.7801724137931034,0.6862348178137653,0.5444444444444445,0.7,0.6655989066388341,0.0797028946004611,5
78,4.245875597000122,0.25072331800820546,0.2058922290802002,0.0034273015463380826,relu,0.6,0.0003,2,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1500)])",0.6476190476190475,0.7413793103448276,0.6740890688259109,0.5866666666666666,0.6688888888888889,0.6637285964690683,0.04972255013522838,6
98,2.8000005722045898,0.47904944688407236,0.2061854362487793,0.00527383522484742,elu,0.4,0.0003,2,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 500)])",0.6495238095238095,0.6788793103448276,0.7064777327935223,0.6088888888888888,0.6511111111111111,0.6589761705324318,0.03259593674804841,7
40,8.251190280914306,1.7273100707119196,0.2282580852508545,0.0037126635127042906,elu,0.4,3e-05,3,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 3e-05), ('n_hidden', 3), ('n_neurons', 1000)])",0.6438095238095238,0.709051724137931,0.6619433198380567,0.6066666666666667,0.6644444444444444,0.6571831357793245,0.03315570407289411,8
77,5.800127840042114,1.6184910281209486,1.194440984725952,1.8716099742146046,relu,0.6,0.0003,2,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1500)])",0.6533333333333333,0.7650862068965518,0.6578947368421052,0.5,0.7,0.6552628554143981,0.0873839627885905,9
41,2.666228437423706,0.12694977740996616,0.22124814987182617,0.003387875469291639,relu,0.6,0.003,3,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 500)])",0.6933333333333332,0.8146551724137931,0.6700404858299595,0.5733333333333333,0.5177777777777778,0.6538280205376394,0.102643021948569,10
