,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
93,1.7426203727722167,0.1655435579568006,0.17777199745178224,0.0019578659027354116,relu,0.4,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5217391304347826,0.6061507936507936,0.5383022774327122,0.6712643678160919,0.6361607142857143,0.5947234567240189,0.05694945613575677,1
61,1.7766777992248535,0.19627255747932423,0.1932988166809082,0.007452389219871147,elu,0.4,0.003,1,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1000)])",0.5691699604743082,0.632936507936508,0.4616977225672878,0.6689655172413793,0.6227678571428571,0.5911075130724681,0.07216933019468752,2
43,2.0298361778259277,0.14484825396333964,0.21096644401550294,0.005642119715260177,elu,0.6,0.003,2,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1000)])",0.5158102766798419,0.6428571428571429,0.5134575569358178,0.5839080459770115,0.6584821428571428,0.5829030330613915,0.06104395020485058,3
85,1.871648120880127,0.10678583366986569,0.19183707237243652,0.0030467808417731102,relu,0.4,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5909090909090909,0.5515873015873016,0.47826086956521746,0.6528735632183907,0.6328125,0.5812886650560002,0.06223914112749543,4
97,1.7094149112701416,0.13469382241881575,0.17749981880187987,0.0010836941139573373,relu,0.2,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5523715415019763,0.5912698412698413,0.4720496894409938,0.6367816091954023,0.640625,0.5786195362816426,0.06234360265246341,5
96,2.0394836902618407,0.8766338738567944,0.17618346214294434,0.001321593311899827,relu,0.2,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5434782608695652,0.5595238095238095,0.4968944099378882,0.639080459770115,0.6450892857142857,0.5768132451631327,0.05715940817502076,6
79,1.7642860889434815,0.11123740834225196,0.19627556800842286,0.006209526255671245,elu,0.4,0.003,1,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1000)])",0.5217391304347826,0.5456349206349207,0.525879917184265,0.6413793103448276,0.6227678571428571,0.5714802271483306,0.050473453739612026,7
77,2.0272186279296873,0.286303912886704,0.1912385940551758,0.0035971944627107215,elu,0.4,0.0003,1,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 1000)])",0.5711462450592886,0.6448412698412699,0.5113871635610766,0.5471264367816091,0.5736607142857143,0.5696323659057917,0.043758242866589005,8
74,2.918498134613037,0.1774631980168905,0.25559558868408205,0.007728660742553214,elu,0.4,0.0003,4,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 1500)])",0.4841897233201581,0.5873015873015872,0.4409937888198758,0.664367816091954,0.6629464285714286,0.5679598688210007,0.09146459823569685,9
6,2.2170841693878174,0.23648049426982684,0.21807460784912108,0.0052183416660380785,relu,0.4,0.03,2,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 2), ('n_neurons', 500)])",0.4782608695652174,0.6150793650793651,0.4937888198757764,0.5666666666666667,0.6629464285714286,0.5633484299516909,0.07026420704679241,10
10,2.4665571212768556,0.2592188760938961,0.19732513427734374,0.006808060805006142,relu,0.4,0.0003,1,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 500)])",0.5533596837944663,0.621031746031746,0.45134575569358176,0.5494252873563218,0.6383928571428572,0.5627110660037946,0.06602306844266476,11
