,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4,2.0195157051086428,0.25130449665946913,0.19400639533996583,0.004378246370857939,elu,0.6,0.0003,1,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 1000)])",0.5780000000000001,0.634,0.6474358974358975,0.5641025641025641,0.5879917184265011,0.6023060359929925,0.032546582265740434,1
87,1.9261463165283204,0.039570612781548484,0.2023146152496338,0.0024070195788526037,elu,0.4,0.003,2,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 200)])",0.564,0.742,0.5876068376068376,0.5,0.5093167701863355,0.5805847215586347,0.0871232155728454,2
1,2.999020576477051,1.053769786510417,0.2127734661102295,0.005074754255469018,relu,0.2,3e-05,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 1000)])",0.496,0.54,0.6175213675213675,0.6901709401709402,0.5590062111801243,0.5805397037744864,0.06729156239383208,3
64,1.9985089302062988,0.07372363078037403,0.2509297847747803,0.08533911032484653,elu,0.4,0.003,2,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1500)])",0.5,0.552,0.5641025641025641,0.717948717948718,0.5486542443064182,0.57654110527154,0.07401258526507083,4
16,2.954542303085327,0.43544523629323434,0.24325928688049317,0.0032581404163717752,relu,0.6,0.003,4,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 4), ('n_neurons', 200)])",0.472,0.6,0.5747863247863247,0.6752136752136753,0.5445134575569359,0.5733026915113871,0.06662109477715612,5
75,2.117000150680542,0.04104262652053831,0.27698116302490233,0.1112264433212079,elu,0.4,0.003,2,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1500)])",0.502,0.472,0.6153846153846154,0.7222222222222223,0.5548654244306419,0.5732944524074959,0.08903275413713702,6
46,1.8180685997009278,0.1008080558166809,0.2473057270050049,0.09407293897146356,elu,0.8,0.03,1,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 200)])",0.532,0.528,0.5341880341880343,0.6196581196581197,0.6418219461697723,0.5711336200031851,0.04921055216791026,7
93,2.112620782852173,0.8386947970733236,0.18758854866027833,0.0028759079264644985,elu,0.4,0.03,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.49600000000000005,0.59,0.5363247863247863,0.6923076923076923,0.5403726708074534,0.5710010298879865,0.06758988081747849,8
49,1.9505988597869872,0.0727886734812784,0.20718965530395508,0.001157087418235892,elu,0.4,0.003,2,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1500)])",0.46,0.5439999999999999,0.5918803418803419,0.7350427350427351,0.5238095238095237,0.5709465201465201,0.09232868930072734,9
34,2.1680254459381105,0.0764057509975289,0.2239217758178711,0.0020955458108542248,relu,0.6,0.03,3,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 200)])",0.584,0.524,0.5918803418803419,0.6538461538461539,0.4886128364389234,0.5684678664330838,0.05732898063244561,10
39,1.8605733394622803,0.15991403733230303,0.19937920570373535,0.003974035694108272,elu,0.2,0.03,1,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 500)])",0.482,0.5800000000000001,0.5277777777777778,0.7136752136752137,0.5383022774327122,0.5683510537771408,0.07907013794312537,11
21,2.608872890472412,0.3421796622532352,0.23816828727722167,0.0025615083764635263,relu,0.2,0.003,4,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 4), ('n_neurons', 200)])",0.45999999999999996,0.592,0.5982905982905983,0.6217948717948718,0.5672877846790891,0.5678746509529119,0.056660104597458,12
