,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
86,3.9601892948150637,0.5018677207801461,0.2845762252807617,0.0029170450012519075,relu,0.2,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.5918367346938775,0.8404255319148937,0.8529411764705882,0.87,0.74,0.7790406886158718,0.10399276239346174,1
45,3.5255252838134767,0.23869463412087633,0.2649389743804932,0.0017207789724841451,relu,0.6,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.6428571428571428,0.7340425531914894,0.8431372549019608,0.93,0.5900000000000001,0.7480073901901185,0.1252109641579217,2
53,3.50829815864563,1.0054265947209204,0.2667995452880859,0.002876034947863574,relu,0.4,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.510204081632653,0.7907801418439716,0.7843137254901961,0.9500000000000001,0.6799999999999999,0.7430595897933641,0.14491493209623948,3
88,3.5908721446990968,0.24920415193273868,0.2872476577758789,0.008118401036263776,relu,0.2,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.6377551020408163,0.9219858156028369,0.7941176470588236,0.7799999999999999,0.5700000000000001,0.7407717129404953,0.12409560689902312,4
87,4.207799959182739,1.5326280746241792,0.28141303062438966,0.0019587300872987144,relu,0.2,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.5051020408163266,0.7411347517730497,0.8725490196078431,0.8500000000000001,0.72,0.737757162439444,0.13055453258131355,5
52,3.2864511966705323,0.24117897112476766,0.2641500949859619,0.003132174566895631,relu,0.4,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.4744897959183674,0.6808510638297872,0.8529411764705883,0.98,0.6799999999999999,0.7336564072437486,0.1719004180441763,6
55,3.3985013008117675,0.3817066087407304,0.26338987350463866,0.002341939236279874,relu,0.4,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.6326530612244898,0.7624113475177304,0.7352941176470589,0.89,0.62,0.7280717052778558,0.09822052536599636,7
42,3.1790321826934815,0.1071148156964342,0.27008371353149413,0.0075567616957274725,relu,0.4,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.6122448979591837,0.74822695035461,0.7156862745098039,0.86,0.7,0.7272316245647195,0.08020604590743499,8
85,3.8687803745269775,0.580439052894059,0.2844113349914551,0.003064157688242248,relu,0.2,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.46428571428571425,0.7943262411347518,0.803921568627451,0.9299999999999999,0.64,0.7265067048095835,0.16015325765221594,9
91,3.7583126068115233,0.8850246658171077,0.28376259803771975,0.002514940584558883,relu,0.2,0.0003,3,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1500)])",0.6785714285714286,0.7411347517730497,0.8039215686274509,0.86,0.54,0.7247255497943857,0.11053884370637908,10
59,2.4922110080718993,0.09957808695974357,0.2675189018249512,0.0033340689914161865,relu,0.4,0.003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1000)])",0.6632653061224489,0.7801418439716312,0.7941176470588235,0.96,0.42,0.7235049594305807,0.17881155935127557,11
90,3.487789535522461,0.2552579545016216,0.28179326057434084,0.0011688522096080923,relu,0.2,0.0003,3,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1500)])",0.5459183673469388,0.6950354609929078,0.8921568627450981,0.9600000000000001,0.5,0.718622138216989,0.18251363560554107,12
54,2.9404881477355955,0.13943309733602333,0.2663425922393799,0.0028648653390970762,relu,0.4,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.5561224489795918,0.7907801418439717,0.7156862745098038,0.9400000000000001,0.59,0.7185177730666734,0.13940825187347744,13
4,4.492344045639038,1.1821292321653725,0.26171035766601564,0.0012671130406117074,relu,0.4,3e-05,2,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 50)])",0.5510204081632653,0.6205673758865248,0.8725490196078431,0.8200000000000001,0.6699999999999999,0.7068273607315266,0.12111528429742352,14
83,3.6511210918426515,0.2326207767065164,0.2821805477142334,0.002143413110676778,relu,0.2,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.5510204081632654,0.7553191489361702,0.7156862745098039,0.89,0.61,0.7044051663218479,0.11798657447289793,15
96,2.311961126327515,0.12378992354266405,0.24220728874206543,0.0013557786908761714,relu,0.2,0.0003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 1000)])",0.7142857142857144,0.5602836879432624,0.8039215686274509,0.6200000000000001,0.81,0.7016981941712855,0.09900505299848263,16
14,2.2547651290893556,0.07521564911211204,0.26448211669921873,0.00268121361212405,relu,0.4,0.03,2,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 2), ('n_neurons', 50)])",0.6377551020408163,0.5177304964539007,0.8137254901960784,0.9500000000000001,0.55,0.6938422177381591,0.1642196668814718,17
69,3.110734701156616,0.3820068029192474,0.2622707366943359,0.0017341053573846925,relu,0.4,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.5051020408163265,0.7588652482269505,0.8137254901960784,0.9400000000000001,0.45,0.6935385558478712,0.18669497462999068,18
77,4.695808792114258,0.7966207230530102,0.2829868316650391,0.0018341396242701497,relu,0.4,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.5510204081632653,0.7907801418439716,0.7745098039215685,0.89,0.46,0.6932620707857611,0.16091032618635873,19
58,2.4218234062194823,0.16561279308148075,0.2637778282165527,0.0048981215409979505,relu,0.4,0.003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1000)])",0.6326530612244898,0.6737588652482269,0.696078431372549,0.97,0.49,0.6924980715690532,0.15617822598882186,20
76,4.266180181503296,0.5682765574094366,0.30332274436950685,0.04201179591753382,relu,0.4,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.49489795918367346,0.7624113475177305,0.6568627450980393,0.8700000000000001,0.6699999999999999,0.6908344103598887,0.12426005475551924,21
75,4.771696090698242,0.6221727594854788,0.3214574337005615,0.08141225634719242,relu,0.4,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.5255102040816326,0.75177304964539,0.8431372549019608,0.93,0.39999999999999997,0.6900841017257967,0.19800191216105195,22
79,5.210183763504029,0.6773265100040076,0.28275437355041505,0.0032815013124015903,relu,0.4,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.5816326530612245,0.8191489361702129,0.7352941176470589,0.71,0.6,0.6892151413756993,0.08828522716125453,23
44,3.219392013549805,0.3514360486265236,0.26703758239746095,0.002086824406951641,relu,0.4,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.5,0.7056737588652482,0.7647058823529412,0.74,0.71,0.6840759282436378,0.09449990734834061,24
89,4.123448228836059,1.0687564348359913,0.2813289165496826,0.0014239367313822538,relu,0.2,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.4744897959183673,0.74822695035461,0.8137254901960784,0.74,0.64,0.6832884472938112,0.11825210191495568,25
3,2.7186135768890383,0.07332281669251983,0.33350238800048826,0.10237661285071181,relu,0.6,0.003,3,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 500)])",0.6938775510204082,0.6276595744680851,0.6764705882352942,0.92,0.49,0.6816015427447575,0.13901923508549052,26
84,3.469529867172241,0.1996877261250195,0.2836557388305664,0.0014107306389766806,relu,0.2,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.5357142857142858,0.7872340425531915,0.7941176470588236,0.79,0.5,0.6814131950652602,0.13403757607329245,27
72,3.2016834735870363,0.259610663578152,0.2617225646972656,0.0014038920458706563,relu,0.4,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.6785714285714286,0.7624113475177307,0.7058823529411764,0.79,0.45999999999999996,0.6793730258060672,0.11658610699957954,28
