,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
32,12.464304065704345,1.4026481682521919,0.23007826805114745,0.011270811529667595,elu,0.8,0.03,4,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 4), ('n_neurons', 500)])",0.7578571428571429,0.7485216308745721,0.7590128032345014,0.7249381188118812,0.7131538461538461,0.7406967083863887,0.018428953627348373,1
5,9.825284242630005,0.765305624316893,0.20927305221557618,0.014894791313839948,relu,0.6,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.7570634920634921,0.7693744164332399,0.7507580862533693,0.7198329207920792,0.699076923076923,0.7392211677238207,0.025877140228733615,2
42,9.986549568176269,1.4406685946430946,0.18989849090576172,0.008366398038533578,elu,0.8,0.03,2,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 2), ('n_neurons', 200)])",0.7616666666666666,0.7427637721755369,0.7470518867924528,0.7383972772277229,0.6883076923076923,0.7356374590340143,0.024925154221620203,3
76,14.720697498321533,3.3645751944862385,1.0765980243682862,1.8268792420734348,elu,0.6,0.0003,1,50,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 50)])",0.7513492063492063,0.7737317149081855,0.737449460916442,0.7348391089108911,0.680076923076923,0.7354892828323296,0.030947747649707195,4
54,9.51405954360962,0.9286856231063917,0.18073077201843263,0.009250324867445465,elu,0.8,0.003,2,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 200)])",0.7567460317460317,0.7545907251789604,0.7485680592991913,0.7336014851485149,0.6839230769230769,0.735485875659155,0.027020015477043302,5
63,9.96482253074646,1.7329419258200545,0.21242198944091797,0.014743886856262326,elu,0.6,0.003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 500)])",0.7386507936507937,0.7528789293495176,0.7542958221024259,0.729579207920792,0.6973846153846154,0.7345578736816288,0.020729871816760084,6
55,9.315026998519897,1.5276459549367147,0.19552249908447267,0.018350525241810987,elu,0.8,0.003,2,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 500)])",0.7488095238095238,0.7687519452225334,0.7492419137466307,0.7151918316831684,0.6907692307692307,0.7345528890462175,0.027858405550589976,7
23,8.659263706207275,0.9021879336644346,0.1837238311767578,0.010267988915388597,elu,0.8,0.03,2,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 2), ('n_neurons', 25)])",0.7605555555555555,0.7555244319950203,0.7460411051212938,0.7127165841584159,0.693923076923077,0.7337521507506726,0.02597045753567671,8
20,8.72559380531311,2.2036631667610456,0.15146899223327637,0.010063905810927812,elu,0.6,0.003,1,50,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 50)])",0.7534126984126984,0.7474323062558357,0.7453672506738545,0.7368502475247525,0.6823076923076923,0.7330740390349667,0.02593231831464336,9
68,11.294756317138672,0.5570171241731844,0.23036603927612304,0.018837009013851512,elu,0.6,0.0003,4,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 1000)])",0.7505555555555556,0.7455648926237161,0.7505896226415094,0.7266398514851485,0.692,0.7330699844611861,0.022346793426294295,10
