,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
68,4.608956527709961,0.13060230584451332,0.16559243202209473,0.0025993170758965203,relu,0.2,0.0003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 1000)])",0.7381654381654381,0.7864418099849725,0.8258605072463768,0.7451659684176603,0.7670645852464033,0.7725396618121703,0.03161412686256037,1
84,5.818606042861939,0.39149860127282243,0.18977832794189453,0.00729232980100147,relu,0.2,0.003,2,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 50)])",0.732923832923833,0.7886124561696444,0.8127264492753622,0.764663229133097,0.756351392715029,0.7710554720433931,0.027407337175800732,2
32,5.622232341766358,0.3756761644206464,0.18947720527648926,0.007100360187197433,relu,0.2,0.003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1000)])",0.7512694512694512,0.785606946067791,0.7992904589371981,0.7570899129874316,0.7604836241199878,0.770748078676372,0.018475794186413968,3
67,4.906520128250122,0.36951715333928553,0.17018938064575195,0.004712976054451665,relu,0.2,0.0003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 1000)])",0.7242424242424242,0.7837702454499916,0.8181612318840581,0.7477441185949082,0.7707376798285889,0.7689311399999942,0.03191562556398439,4
75,4.676386547088623,0.1390639473600473,0.16689739227294922,0.0035113855508978687,relu,0.2,0.0003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 1000)])",0.7414414414414414,0.7730839873100684,0.8199728260869565,0.7543506284241058,0.7511478420569331,0.767999345063901,0.027938071446513797,5
46,4.578614139556885,0.26222194779261937,0.39065823554992674,0.44349971771981506,relu,0.2,0.003,1,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 50)])",0.7488124488124488,0.7725830689597595,0.8048762077294687,0.7243796326135997,0.7887970615243342,0.7678896839279221,0.02858046433830078,6
92,4.89435772895813,0.21964295562538494,0.17498974800109862,0.006950099005602307,relu,0.2,0.0003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 1000)])",0.7301392301392302,0.7742527967941225,0.8201992753623188,0.7493554624556882,0.7647689011325375,0.7677431331767794,0.030182871261224185,7
80,4.790044641494751,0.1688915590932741,0.17184019088745117,0.007399724792108865,relu,0.2,0.0003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 1000)])",0.7406224406224405,0.77842711638003,0.8231431159420289,0.7388817273606187,0.753443526170799,0.7669035852951834,0.031473076923260596,8
70,5.0408618450164795,0.4316381659905276,0.17023229598999023,0.007475778658967551,relu,0.2,0.0003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 1000)])",0.7363636363636363,0.7886124561696444,0.8180857487922706,0.7319529487592653,0.7581879400061218,0.7666405460181877,0.03262128426163651,9
72,4.852496147155762,0.223474762658226,0.1710909366607666,0.006943974572784639,relu,0.2,0.0003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 1000)])",0.7430794430794428,0.7894473200868259,0.8027626811594203,0.7245407669996777,0.7702785430058159,0.7660217508662365,0.028857564140302914,10
