,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
32,8.264125061035156,0.3585926275804823,0.27422318458557127,0.009300427040921997,relu,0.4,0.0003,2,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1500)])",0.6444444444444444,0.6472144413320885,0.6976920485175202,0.6770575495049505,0.6986153846153847,0.6730047736828777,0.023505844260239935,1
47,8.017005729675294,0.29040006272356456,0.26799592971801756,0.009956542190849944,relu,0.2,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.6328571428571428,0.6059757236227824,0.721782345013477,0.6544709158415842,0.7155384615384617,0.6661249177746896,0.04560687158812879,2
51,7.884943199157715,0.32651729176205124,0.2654989719390869,0.0062520533730337224,relu,0.2,0.0003,2,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1500)])",0.6339682539682541,0.6280734516028633,0.683372641509434,0.6959313118811881,0.6873846153846154,0.6657460548692711,0.028702359713472007,3
92,8.017997980117798,0.47407643323468435,0.26786293983459475,0.010705331617148105,relu,0.2,0.0003,2,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1500)])",0.6133333333333334,0.6451914098972923,0.6682109164420484,0.669631806930693,0.7204615384615385,0.6633658010129813,0.03508907956335534,4
97,7.273733997344971,0.3028549501265577,0.47030057907104494,0.42993333094990094,relu,0.2,0.0003,2,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1500)])",0.6247619047619047,0.6475256769374416,0.6687163072776281,0.6953125,0.6793846153846155,0.663140200872318,0.024684966140155508,5
49,8.253587532043458,0.7853845140846724,0.26380109786987305,0.007484593369106678,elu,0.2,0.03,2,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 2), ('n_neurons', 1000)])",0.5695238095238095,0.6917211328976034,0.7108322102425876,0.6660736386138615,0.6680769230769231,0.661245542870957,0.04872464222695391,6
61,11.059763050079345,0.670125396168427,0.3113813877105713,0.01038319864414033,relu,0.2,0.0003,4,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 1000)])",0.6441269841269841,0.6227824463118581,0.6889319407008085,0.6798422029702971,0.6675384615384615,0.6606444071296819,0.024176936309165592,7
25,8.27185616493225,0.6394429353697819,0.26519293785095216,0.009982254206847882,relu,0.6,0.0003,2,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1500)])",0.6253968253968254,0.6297852474323062,0.7057783018867925,0.6820080445544554,0.6601538461538462,0.6606244530848452,0.03062153449602791,8
93,8.12601613998413,0.6927837936417559,0.26830387115478516,0.009367238985225701,relu,0.2,0.0003,2,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1500)])",0.6071428571428572,0.6643323996265174,0.7131907008086253,0.6501392326732673,0.6643846153846154,0.6598379611271765,0.03393589896088913,9
80,6.953539657592773,0.28851982920078295,0.48608670234680174,0.4940164009562396,relu,0.2,0.0003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 1000)])",0.6166666666666667,0.6497043261749144,0.6714117250673854,0.6815439356435643,0.6773846153846154,0.6593422537874292,0.023992536385252027,10
68,7.731589937210083,0.12029578467334018,0.2580472469329834,0.0037775758129964163,relu,0.2,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.5857142857142857,0.6520385932150639,0.6821933962264151,0.679842202970297,0.6964615384615385,0.65925000331752,0.03948326863767666,11
9,6.256908226013183,0.28487669233612495,0.2387105941772461,0.0042302050216229715,relu,0.2,0.003,1,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 500)])",0.6634920634920635,0.6792717086834734,0.6473214285714286,0.6437964108910892,0.6616153846153847,0.6590993992506878,0.012692121929767151,12
29,6.488625717163086,0.6115247516337032,0.24917049407958985,0.008410349881849194,relu,0.2,0.003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1000)])",0.646031746031746,0.6280734516028634,0.6486691374663073,0.6807704207920793,0.6806923076923077,0.6568474127170607,0.020749424097377806,13
90,8.223039245605468,0.6519443714635866,0.2686929225921631,0.013413036823634377,relu,0.2,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.652063492063492,0.6265172735760972,0.660461590296496,0.6646813118811881,0.6747692307692308,0.6556985797173007,0.016320710577714795,14
69,8.00988245010376,0.30507786768471323,0.26965880393981934,0.00854050839095176,relu,0.2,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.5942857142857143,0.6780267662620604,0.6734332884097035,0.6249226485148516,0.706,0.655333683494466,0.040153039548376776,15
