,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
45,2.023236131668091,0.13271787286165357,0.19330315589904784,0.0019412078215511996,elu,0.2,0.003,2,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1500)])",0.9545454545454546,0.761904761904762,0.8166666666666667,0.65,0.9,0.8166233766233766,0.10651914307969126,1
64,1.9395503044128417,0.07169507624568013,0.23895111083984374,0.0821774505433305,relu,0.2,0.003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1000)])",0.9090909090909092,0.6904761904761905,0.7333333333333334,0.7250000000000001,1.0,0.8115800865800867,0.12107455861354327,2
58,1.6769518852233887,0.06188702350279588,0.22265353202819824,0.09327510355693396,elu,0.2,0.0003,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 1500)])",0.8181818181818181,0.6904761904761905,0.7666666666666667,0.775,1.0,0.810064935064935,0.10349457945883805,3
52,1.663044023513794,0.08856536836087638,0.17861037254333495,0.003028258452231068,elu,0.2,0.003,1,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1000)])",1.0,0.5714285714285714,0.8,0.7,0.95,0.8042857142857143,0.1578943071959783,4
41,1.7120718002319335,0.10534062075687116,0.17634010314941406,0.0022383944875364946,relu,0.8,0.003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1000)])",0.9090909090909092,0.8095238095238095,0.6,0.7,1.0,0.8037229437229436,0.14277410678712427,5
66,2.0593955516815186,0.12818672442404372,0.19775934219360353,0.005167551270779656,relu,0.8,0.03,2,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 2), ('n_neurons', 50)])",1.0,0.7142857142857142,0.9,0.65,0.75,0.8028571428571428,0.12830130353895833,6
85,1.964463758468628,0.08778731444628014,0.19372000694274902,0.002012781708709801,relu,0.2,0.003,2,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1500)])",0.8181818181818181,0.7619047619047619,0.8,0.7250000000000001,0.9,0.801017316017316,0.05899432348715278,7
84,1.959890079498291,0.10032554837249075,0.24268665313720703,0.08884745981280855,relu,0.2,0.003,2,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1500)])",0.8181818181818181,0.8095238095238095,0.7333333333333334,0.625,1.0,0.7972077922077923,0.12284278064494683,8
27,4.498684644699097,0.6261281835472955,0.19646863937377929,0.0051209822617366675,relu,0.6,3e-05,2,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 1500)])",0.9545454545454546,0.6190476190476191,0.6333333333333333,0.775,1.0,0.7963852813852814,0.1580920671744516,9
10,2.40893177986145,0.13501069679897268,0.2186216354370117,0.010771363568849125,elu,0.4,0.003,3,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 1000)])",0.9545454545454546,0.7857142857142857,0.6000000000000001,0.675,0.95,0.793051948051948,0.14280896472137178,10
