,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
52,1.8148910999298096,0.1391413977850975,0.19172801971435546,0.0029433253942148956,elu,0.2,0.003,1,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1000)])",1.0,1.0,1.0,0.75,1.0,0.95,0.09999999999999999,1
66,3.620220994949341,0.1870956002128912,0.220843505859375,0.0021986508173461278,relu,0.6,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",1.0,0.8333333333333334,1.0,0.75,1.0,0.9166666666666667,0.10540925533894598,2
63,3.6291568279266357,0.19457937539638573,0.22502527236938477,0.002477686801290452,relu,0.6,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",1.0,1.0,0.8,0.75,1.0,0.9099999999999999,0.11135528725660043,3
76,4.0576495170593265,0.31497557590399866,0.22455735206604005,0.005752389409789168,relu,0.6,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",1.0,1.0,0.8,0.75,1.0,0.9099999999999999,0.11135528725660043,3
82,3.4588210105896,0.6346690986682262,0.2264252185821533,0.0026517182127408947,relu,0.6,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",1.0,1.0,0.8,0.75,1.0,0.9099999999999999,0.11135528725660043,3
2,3.4966612815856934,0.3450177363899806,0.22720913887023925,0.002906781690743092,relu,0.6,0.0003,3,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1500)])",1.0,1.0,0.9,0.625,1.0,0.905,0.1452583904633395,6
79,3.7265938758850097,0.05995128159032263,0.22342782020568847,0.0026255235698460686,relu,0.6,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",1.0,1.0,0.9,0.625,1.0,0.905,0.1452583904633395,6
94,2.7234400272369386,0.15868175872803109,0.24379801750183105,0.006645706030543573,elu,0.2,0.003,4,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 4), ('n_neurons', 1500)])",1.0,1.0,1.0,0.625,0.875,0.9,0.1457737973711325,8
95,2.6864175319671633,0.16025670445178217,0.24507441520690917,0.005789232726313456,elu,0.2,0.003,4,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 4), ('n_neurons', 1500)])",0.8,1.0,0.9,0.75,1.0,0.89,0.10198039027185568,9
32,3.957553434371948,0.5055592470280039,0.2277371883392334,0.0033827732327904813,relu,0.6,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",1.0,1.0,0.8,0.625,1.0,0.885,0.15132745950421556,10
