,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
79,1.6689769744873046,0.1228305010060317,0.17438759803771972,0.0013923943905039284,elu,0.8,0.03,1,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 500)])",0.65,0.42500000000000004,0.8518518518518519,0.6875,0.5833333333333334,0.6395370370370371,0.13904855020505946,1
45,1.7151750564575194,0.12951037331254714,0.17871150970458985,0.002889209709203442,relu,0.6,0.03,1,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 500)])",0.675,0.575,0.7777777777777779,0.625,0.5,0.6305555555555555,0.09360740183880949,2
25,2.077266502380371,0.203129257894988,0.19649605751037597,0.0060670161510150014,elu,0.6,0.03,2,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 2), ('n_neurons', 25)])",0.675,0.475,0.888888888888889,0.59375,0.5,0.6265277777777778,0.1491490782099045,3
33,4.710722732543945,0.9517593860475392,0.3608861923217773,0.15448421051076258,elu,0.4,3e-05,4,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 3e-05), ('n_hidden', 4), ('n_neurons', 1500)])",0.6,0.42500000000000004,0.7777777777777778,0.71875,0.6111111111111112,0.6265277777777778,0.1207777650005104,3
84,1.764303207397461,0.17640891893561456,0.18080453872680663,0.001971798526275383,elu,0.8,0.03,1,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 500)])",0.5,0.5499999999999999,0.7037037037037037,0.65625,0.7222222222222223,0.6264351851851852,0.08702033921782734,5
61,3.232908916473389,0.5875100724407876,0.23005132675170897,0.004138145906058197,relu,0.8,3e-05,4,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 3e-05), ('n_hidden', 4), ('n_neurons', 200)])",0.875,0.575,0.8148148148148149,0.53125,0.3333333333333333,0.6258796296296297,0.19742558199291213,6
9,2.087210750579834,0.15399133266928292,0.1990054130554199,0.005162402873996785,relu,0.2,0.003,2,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 50)])",0.7,0.5249999999999999,0.7777777777777778,0.78125,0.33333333333333337,0.6234722222222222,0.17230083331340515,7
76,2.5165098190307615,0.7221692892578381,0.197021484375,0.0038895672116137986,relu,0.8,0.003,2,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 50)])",0.725,0.45,0.7777777777777778,0.625,0.5277777777777777,0.6211111111111112,0.12111365950427938,8
81,1.7278567790985107,0.09335650403495015,0.1812290668487549,0.0028047638107968637,elu,0.8,0.03,1,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 500)])",0.6499999999999999,0.675,0.5185185185185186,0.5625,0.6666666666666667,0.6145370370370371,0.06254326348981241,9
71,1.6681848526000977,0.019109048990235706,0.23339996337890626,0.11249266872127449,elu,0.6,0.03,1,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 500)])",0.7,0.5499999999999999,0.7037037037037037,0.5,0.5833333333333334,0.6074074074074074,0.08155720387206365,10
29,3.6444862365722654,1.0551017549921353,0.23133926391601561,0.005523991408145177,elu,0.6,3e-05,4,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 3e-05), ('n_hidden', 4), ('n_neurons', 200)])",0.7,0.7000000000000001,0.37037037037037035,0.6875,0.5555555555555556,0.6026851851851852,0.12831622995429887,11
56,1.7786454200744628,0.14124486297037564,0.25952677726745604,0.1484072982390873,elu,0.4,0.03,1,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 500)])",0.65,0.6000000000000001,0.6296296296296298,0.59375,0.5277777777777778,0.6002314814814815,0.041551796390345716,12
96,2.099788951873779,0.16162785571057497,0.19823918342590333,0.0026750537316415535,elu,0.8,0.03,2,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 2), ('n_neurons', 500)])",0.7,0.525,0.6296296296296297,0.65625,0.4722222222222222,0.5966203703703704,0.08477856859330526,13
