,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
71,2.7452174186706544,0.45265361937168347,0.22409586906433104,0.020516081579050816,elu,0.4,0.0003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 500)])",0.6944444444444444,0.6,0.96875,0.638888888888889,0.71875,0.7241666666666666,0.12916920547086796,1
77,2.600672388076782,0.19468776936589108,0.2153761386871338,0.002991236648924756,elu,0.4,0.0003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 500)])",0.6944444444444444,0.675,0.625,0.6944444444444444,0.8125,0.7002777777777778,0.061591545836409384,2
23,1.6796760082244873,0.06811851655230075,0.17758989334106445,0.0023525675736223548,elu,0.8,0.03,1,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.75,0.4875,0.96875,0.6111111111111112,0.625,0.6884722222222222,0.16293839250798572,3
68,2.71197624206543,0.36651259072229403,0.22608118057250975,0.008028211773975702,elu,0.4,0.0003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 500)])",0.6944444444444444,0.525,0.5625,0.5833333333333334,1.0,0.6730555555555556,0.17294115176934793,4
58,3.4009018421173094,1.217340871398599,0.1956014633178711,0.0015415713982369088,elu,0.8,3e-05,2,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 1000)])",0.7777777777777777,0.5,0.75,0.638888888888889,0.6875,0.6708333333333333,0.09816998359484605,5
90,2.3804595470428467,0.2223170547855512,0.2389235496520996,0.07824846907458517,relu,0.8,0.003,2,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 500)])",0.7222222222222221,0.6500000000000001,0.46875,0.6111111111111112,0.875,0.6654166666666667,0.13342907442246074,6
78,2.72686562538147,0.45494667330093236,0.2178027629852295,0.0107747662993387,elu,0.4,0.0003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 500)])",0.6944444444444444,0.825,0.4375,0.5833333333333334,0.75,0.6580555555555556,0.13555555555555554,7
94,2.303784465789795,0.3330778834349699,0.19854331016540527,0.0025693448281044274,elu,0.4,0.0003,2,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 500)])",0.6666666666666666,0.775,0.5625,0.5555555555555556,0.71875,0.6556944444444444,0.08607346847495251,8
92,2.4434086322784423,0.17158330553029627,0.19839377403259278,0.0047781099949798745,elu,0.4,0.0003,2,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 500)])",0.6666666666666667,0.725,0.4375,0.6111111111111112,0.8125,0.6505555555555556,0.12567901992529507,9
41,2.469021368026733,0.2711633977967229,0.210333251953125,0.002153036243249427,elu,0.2,0.0003,3,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.6944444444444444,0.575,0.6875,0.6388888888888888,0.65625,0.6504166666666666,0.04282104593898475,10
46,1.7702964305877686,0.09312839129708422,0.17872061729431152,0.0018148144643688132,relu,0.6,0.03,1,25,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 25)])",0.6944444444444444,0.55,0.625,0.5555555555555556,0.8125,0.6475,0.09787242893521653,11
28,2.6380324363708496,0.22292449620525204,0.20981912612915038,0.0037409486468480703,elu,0.4,0.0003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 500)])",0.6666666666666667,0.6749999999999999,0.625,0.5833333333333335,0.65625,0.6412500000000001,0.03355137023199561,12
50,2.043842315673828,0.13678858034230257,0.19466357231140136,0.004398628451285482,relu,0.2,0.003,2,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1500)])",0.7222222222222222,0.65,0.6875,0.5833333333333334,0.5625,0.6411111111111112,0.06054408657955858,13
86,3.0302108764648437,0.6401944804093727,0.21591429710388182,0.005446291597117594,elu,0.4,0.0003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 500)])",0.6666666666666667,0.625,0.5,0.6944444444444444,0.71875,0.6409722222222223,0.0770676911055838,14
17,2.6312461376190184,0.14828208980338375,0.2143165111541748,0.00406898706132673,elu,0.4,0.0003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 500)])",0.6388888888888888,0.625,0.71875,0.5833333333333334,0.625,0.6381944444444445,0.044379292524084596,15
73,2.267163610458374,0.12782398044352833,0.21481356620788575,0.005721330299135803,elu,0.6,0.03,3,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 200)])",0.75,0.7,0.46875,0.6111111111111112,0.65625,0.6372222222222221,0.09600688793448206,16
15,2.030898094177246,0.1036530357168113,0.1927186965942383,0.0026880955269361967,elu,0.4,0.003,2,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 500)])",0.6944444444444444,0.65,0.5625,0.5833333333333334,0.6875,0.6355555555555557,0.05373833493862,17
1,2.2734426498413085,0.15762629605255923,0.21173248291015626,0.004492906039390733,elu,0.4,0.003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 500)])",0.5555555555555556,0.675,0.5625,0.5555555555555556,0.8125,0.6322222222222222,0.10094231942972111,18
5,2.324484920501709,0.13672923028244133,0.21159954071044923,0.0015118425368025727,elu,0.2,0.0003,3,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.7222222222222222,0.625,0.5,0.5833333333333334,0.71875,0.6298611111111112,0.08424272324511528,19
3,1.6643927574157715,0.08902944980977497,0.32811756134033204,0.20965515029238205,elu,0.6,0.03,1,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 25)])",0.7777777777777777,0.6,0.4375,0.638888888888889,0.6875,0.6283333333333333,0.11239741550563194,20
81,2.709241819381714,0.2614627317856219,0.21411046981811524,0.005629489193823634,elu,0.4,0.0003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 500)])",0.7777777777777778,0.875,0.4375,0.6111111111111112,0.4375,0.6277777777777778,0.17680942869110255,21
45,1.9906760215759278,0.3167615161096908,0.17729387283325196,0.001845961514532936,relu,0.8,0.0003,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 1500)])",0.7222222222222222,0.6,0.65625,0.5555555555555556,0.59375,0.6255555555555555,0.058053894181438234,22
31,2.2262214183807374,0.22785222935317564,0.17988815307617187,0.00711234770012108,elu,0.4,0.0003,1,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 500)])",0.6111111111111112,0.5,0.5625,0.7222222222222223,0.71875,0.6229166666666667,0.08711334322537069,23
2,2.0745640277862547,0.07678202074265954,0.1942960262298584,0.004674036859724806,elu,0.8,0.003,2,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 500)])",0.6944444444444444,0.7250000000000001,0.46875,0.6944444444444444,0.53125,0.6227777777777778,0.10278472198762847,24
75,2.709696817398071,0.36403187078803106,0.21447148323059081,0.0022335860655551577,elu,0.4,0.0003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 500)])",0.6944444444444444,0.6749999999999999,0.5,0.5555555555555556,0.6875,0.6224999999999999,0.07955509000484513,25
74,2.888963747024536,0.2289258281697472,0.21470961570739747,0.00393655946635687,relu,0.6,0.003,3,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 200)])",0.7222222222222222,0.65,0.25,0.75,0.6875,0.6119444444444444,0.18405497702561927,26
38,2.1488919258117676,0.21418271386101348,0.1970430850982666,0.0038959454091738797,relu,0.6,0.003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1000)])",0.75,0.7,0.15625,0.6666666666666666,0.78125,0.6108333333333333,0.23070468737712674,27
27,3.474983739852905,0.9587204756582708,0.19779009819030763,0.00294739387785303,relu,0.6,0.0003,2,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 500)])",0.7777777777777778,0.55,0.375,0.6944444444444445,0.65625,0.6106944444444445,0.13873852972274728,28
99,2.2771222591400146,0.13159972114606733,0.19528412818908691,0.004292024168574251,elu,0.2,0.0003,2,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 500)])",0.5,0.525,0.75,0.6388888888888888,0.625,0.6077777777777778,0.08939784845644762,29
62,2.2731947898864746,0.100145190474467,0.21391940116882324,0.0030599528637598244,elu,0.4,0.003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 500)])",0.6111111111111112,0.75,0.375,0.5833333333333333,0.71875,0.607638888888889,0.1321635607500171,30
83,2.5224246978759766,0.21609991965163466,0.21247663497924804,0.001385199023135614,elu,0.6,0.003,3,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 200)])",0.6388888888888888,0.625,0.40625,0.638888888888889,0.71875,0.6055555555555555,0.10501047125917526,31
93,1.7982828617095947,0.11012902854580386,0.1808168411254883,0.003263278681693245,relu,0.8,0.003,1,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 500)])",0.6944444444444444,0.7,0.53125,0.4444444444444445,0.65625,0.6052777777777778,0.10086489405066486,32
64,3.907917833328247,1.1808887135380022,0.23935937881469727,0.07992884426904677,elu,0.8,3e-05,2,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 1000)])",0.6666666666666666,0.675,0.4375,0.5555555555555556,0.6875,0.6044444444444445,0.09592547904943816,33
18,2.2333251953125,0.1021499373621811,0.2138803482055664,0.00349573344729273,elu,0.4,0.03,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 500)])",0.611111111111111,0.6875,0.65625,0.5972222222222223,0.46875,0.6041666666666667,0.07495497619764897,34
60,3.6894264221191406,1.401673186235099,0.20128750801086426,0.007780169592571017,relu,0.8,3e-05,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 1000)])",0.5,0.7749999999999999,0.5625,0.6111111111111112,0.5625,0.6022222222222222,0.09331266305502028,35
84,2.704843044281006,0.13533745332034217,0.21178078651428223,0.0025633422400912448,elu,0.4,0.0003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 500)])",0.7777777777777777,0.525,0.40625,0.6666666666666667,0.625,0.6001388888888888,0.1263632452617707,36
11,2.390213060379028,0.1143785390251456,0.2117852210998535,0.003338390787036705,elu,0.8,0.003,3,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 1000)])",0.75,0.625,0.25,0.5555555555555556,0.8125,0.5986111111111111,0.19633996718969213,37
56,2.215260410308838,0.23898468948881413,0.20385775566101075,0.010462274023282163,relu,0.8,0.03,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 2), ('n_neurons', 1000)])",0.5,0.5,0.5,0.8055555555555556,0.6875,0.5986111111111111,0.12641178058869726,37
26,3.278058671951294,1.2135893168298941,0.30190486907958985,0.17400916910324368,relu,0.8,0.003,3,25,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 25)])",0.7222222222222222,0.44999999999999996,0.3125,0.6944444444444444,0.8125,0.5983333333333333,0.18663152777731268,39
36,1.9434869766235352,0.10063152094852608,0.23643507957458496,0.08814626706236904,elu,0.4,0.003,2,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 500)])",0.6111111111111112,0.65,0.40625,0.6666666666666666,0.65625,0.5980555555555556,0.09772627273520693,40
80,1.7681719303131103,0.11685239428336779,0.1858029842376709,0.002521051445967465,relu,0.8,0.03,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.6944444444444444,0.6749999999999999,0.25,0.5555555555555556,0.8125,0.5974999999999999,0.1919088646875881,41
89,2.6948806285858153,0.2919825694995699,0.21958417892456056,0.007883664659093037,elu,0.4,0.0003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 500)])",0.6388888888888888,0.55,0.5,0.6111111111111112,0.6875,0.5974999999999999,0.06597090641962682,41
22,2.003099822998047,0.08930107031089296,0.19522790908813475,0.0033034665522441993,elu,0.4,0.003,2,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1500)])",0.6944444444444444,0.55,0.34375,0.6111111111111112,0.75,0.5898611111111112,0.1408497689291942,43
72,2.3962475776672365,0.11876586806367215,0.31700639724731444,0.19511756165218125,relu,0.4,0.03,3,50,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 50)])",0.7222222222222222,0.5750000000000001,0.4375,0.5555555555555556,0.65625,0.5893055555555555,0.0964749055838222,44
24,1.806943988800049,0.19646367299953285,0.28515100479125977,0.21123437400173664,elu,0.8,0.03,1,50,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 50)])",0.3611111111111111,0.65,0.53125,0.5277777777777778,0.875,0.5890277777777777,0.17001974286230104,45
69,3.795831251144409,1.2571683114645156,0.22536277770996094,0.01041377956045885,elu,0.2,0.0003,3,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 25)])",0.5555555555555556,0.65,0.59375,0.5555555555555556,0.5625,0.5834722222222222,0.03613887821333859,46
65,2.320651483535767,0.2669458225868484,0.21738510131835936,0.012614301751494906,relu,0.2,0.003,2,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 1500)])",0.75,0.525,0.3125,0.6111111111111112,0.71875,0.5834722222222222,0.1572516658727439,46
8,1.780425214767456,0.14035327070137832,0.17934808731079102,0.0025852125268204353,relu,0.2,0.003,1,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 500)])",0.7222222222222222,0.7,0.3125,0.5555555555555556,0.625,0.5830555555555555,0.1474850902696671,48
76,2.9289417266845703,0.4558627163569158,0.2110152244567871,0.0023980238015991326,elu,0.4,0.0003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 500)])",0.6944444444444444,0.30000000000000004,0.59375,0.6666666666666667,0.65625,0.5822222222222223,0.144904848516041,49
13,2.844605493545532,1.1466287441604495,0.1781386375427246,0.00252499655889485,relu,0.4,3e-05,1,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 3e-05), ('n_hidden', 1), ('n_neurons', 200)])",0.6944444444444444,0.44999999999999996,0.3125,0.6388888888888888,0.8125,0.5816666666666667,0.1783614550343636,50
21,2.659233045578003,0.19141830935980425,0.21151041984558105,0.003458929064847736,elu,0.6,0.0003,3,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1500)])",0.6666666666666667,0.65,0.375,0.5277777777777778,0.6875,0.581388888888889,0.11722617160276957,51
51,2.3799417495727537,0.12684220250270897,0.21023378372192383,0.0012795076729482185,elu,0.2,0.0003,3,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.4722222222222222,0.6,0.53125,0.6111111111111112,0.6875,0.5804166666666667,0.0733701506904932,52
