,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.1573107719421385,0.48109724128254566,0.209609317779541,0.016037006063267717,elu,0.6,0.003,1,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1000)])",0.7532894736842106,0.7965811965811966,0.7189542483660131,0.7761437908496731,0.6114551083591331,0.7312847635680453,0.06522476773868281,1
92,1.7251620769500733,0.10239328653670758,0.1950218677520752,0.001964067133413845,elu,0.6,0.003,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1500)])",0.7960526315789473,0.8256410256410256,0.6650326797385621,0.696078431372549,0.6222910216718266,0.7210191580005821,0.07756226897361496,2
84,1.6857739448547364,0.10172481821795305,0.1958714485168457,0.0030406493974761417,relu,0.6,0.003,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1000)])",0.8009868421052633,0.8239316239316239,0.6584967320261438,0.7696078431372549,0.5325077399380804,0.7171061562276733,0.10836578523101754,3
66,2.6122274875640867,0.109710725911506,0.25029830932617186,0.000747036449574173,elu,0.2,0.0003,4,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 1500)])",0.7730263157894738,0.8393162393162393,0.6748366013071896,0.7303921568627452,0.5541795665634675,0.714350175967823,0.09647040812977567,4
34,3.4764867782592774,0.36477518240711526,0.24897150993347167,0.0017357292759703027,relu,0.2,0.0003,4,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 1500)])",0.7582236842105263,0.8495726495726496,0.6584967320261438,0.6552287581699346,0.6455108359133127,0.7134065319785133,0.07944728284234401,5
90,1.7189849376678468,0.11203061313354513,0.19416565895080568,0.0012455495565450395,elu,0.6,0.003,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1500)])",0.7993421052631579,0.7487179487179487,0.7352941176470589,0.6862745098039216,0.5944272445820433,0.712811185202826,0.06928395280588752,6
89,1.6801525115966798,0.08224356862061735,0.19462037086486816,0.0025226752028893566,elu,0.6,0.003,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1500)])",0.761513157894737,0.7948717948717949,0.6813725490196079,0.7156862745098039,0.5959752321981424,0.7098838016988174,0.0688625759473537,7
59,3.899859619140625,0.8210808927873539,0.25925960540771487,0.008447959044524072,relu,0.2,0.0003,4,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 1000)])",0.7713815789473685,0.8051282051282052,0.6993464052287581,0.7516339869281046,0.5201238390092879,0.7095228030483447,0.10071323599406662,8
22,1.695207691192627,0.10296780488311187,0.1976794719696045,0.0038684681543955397,elu,0.6,0.003,1,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 500)])",0.7351973684210525,0.8085470085470086,0.673202614379085,0.7450980392156863,0.5789473684210525,0.708198479796777,0.07757693611220391,9
18,1.6663021087646483,0.0824326891732968,0.1949986457824707,0.00430991462759528,elu,0.6,0.003,1,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1000)])",0.7828947368421052,0.8034188034188035,0.6372549019607843,0.7026143790849674,0.6068111455108358,0.7065987933634992,0.07743024064844627,10
