,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
95,3.7210208415985107,0.9868048506672993,0.3751667499542236,0.34866442968881955,relu,0.2,0.0003,2,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 500)])",0.7480519480519481,0.6413170163170163,0.6696329254727476,0.6711309523809524,0.7853016688061617,0.7030869022057652,0.05428994987338871,1
67,3.810154438018799,0.5784243127554052,0.26375656127929686,0.09372452823425761,relu,0.4,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.7864357864357865,0.6011072261072261,0.7007786429365962,0.6244047619047619,0.7381258023106546,0.6901704439390051,0.06919053136452784,2
73,4.68754301071167,0.8583209703000092,0.2184572696685791,0.004847514728788393,relu,0.6,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.8103896103896104,0.6287878787878788,0.6978123841305154,0.5675595238095237,0.7397304236200257,0.6888559641475108,0.08456932844935125,3
90,3.9121789932250977,0.3717779985675485,0.23787164688110352,0.004227915826703327,relu,0.2,0.0003,4,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 1500)])",0.7428571428571428,0.6509324009324009,0.6981831664812755,0.625,0.7240051347881901,0.6881955690118018,0.04416375979826551,4
27,3.1104522228240965,0.9474208464250937,0.18137483596801757,0.0009677530526659579,relu,0.8,0.03,1,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 500)])",0.7535353535353535,0.6028554778554778,0.7282165368928438,0.6577380952380952,0.6840500641848524,0.6852791055413245,0.053021147843784755,5
17,3.0235995292663573,1.102454340242604,0.18321948051452636,0.0026780839412187635,relu,0.8,0.03,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.7301587301587301,0.6507867132867133,0.7363737486095662,0.6549107142857143,0.6460205391527599,0.6836500890986967,0.04065654714557942,6
60,4.179949235916138,0.07738415433780467,0.1806765079498291,0.0018611096761061855,relu,0.4,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.7015873015873016,0.6596736596736598,0.6698183166481276,0.6837797619047619,0.6962451861360719,0.6822208451899845,0.015724950127895734,7
9,4.768661022186279,0.11999173304466987,0.19930777549743653,0.0027163263769580076,relu,0.8,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.767965367965368,0.6264568764568764,0.71412680756396,0.6172619047619048,0.6848523748395379,0.6821326663175294,0.05604691577976865,8
68,4.010039806365967,0.6155690767792511,0.21783957481384278,0.0007971925074401017,relu,0.4,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.7688311688311688,0.585955710955711,0.696329254727475,0.6169642857142857,0.733632862644416,0.6803426565746113,0.06906713774439552,9
64,3.592432451248169,0.9692427731397907,0.21747732162475586,0.0038194021417338156,relu,0.4,0.0003,3,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1500)])",0.7486291486291485,0.6416083916083917,0.6763070077864294,0.5925595238095238,0.741976893453145,0.6802161930573277,0.05947142562487535,10
58,3.1123363971710205,0.5198725488911838,0.21790966987609864,0.002134505487624515,relu,0.2,0.0003,3,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1500)])",0.765079365079365,0.645104895104895,0.6874304783092324,0.5824404761904761,0.7201540436456996,0.6800418516659336,0.06267627599831427,11
63,3.0157917022705076,0.608568150473277,0.18267979621887206,0.0020122862853750143,elu,0.4,0.03,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.7223665223665223,0.673076923076923,0.7043010752688171,0.6373511904761905,0.6524390243902438,0.6779069471157394,0.031591193232338645,12
85,2.9598615646362303,0.6735862635663554,0.20048060417175292,0.0007221089520326242,relu,0.2,0.0003,2,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1500)])",0.726118326118326,0.6191724941724942,0.6852057842046719,0.6,0.7493581514762516,0.6759709511943488,0.05828099632495692,13
86,3.1200207710266112,1.0607653080318658,0.20249686241149903,0.005949462268497666,relu,0.4,0.0003,2,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1500)])",0.767965367965368,0.5617715617715618,0.7233963663329626,0.5654761904761905,0.7593068035943518,0.6755832580280868,0.0926356822980103,14
5,2.1937942504882812,0.3680121207600239,0.1821493148803711,0.005663997762675304,elu,0.8,0.03,1,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.7601731601731602,0.6305361305361304,0.7232109751575824,0.5944940476190477,0.6646341463414634,0.6746096919654767,0.06023902159938049,15
91,4.049451541900635,0.4400454540012321,0.23655529022216798,0.004183160106772437,relu,0.4,0.0003,4,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 1500)])",0.75007215007215,0.5710955710955711,0.7263626251390435,0.6181547619047619,0.6964056482670089,0.6724181512957071,0.06741858865589037,16
36,4.069054126739502,0.13289485046519486,0.18208117485046388,0.0027991349488054587,elu,0.2,0.0003,1,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 25)])",0.7544011544011544,0.6413170163170163,0.6388579903596588,0.6208333333333333,0.6951219512195121,0.6701062891261351,0.04891729804259409,17
80,4.1539692878723145,0.08247830979374797,0.1846104621887207,0.002526237378292322,elu,0.4,3e-05,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 3e-05), ('n_hidden', 1), ('n_neurons', 1500)])",0.7341991341991342,0.5877039627039627,0.7185761957730812,0.6074404761904761,0.6954428754813864,0.668672528869608,0.05967585175991961,18
30,2.7245684623718263,1.0927154981134766,0.18184328079223633,0.0018146641281049452,relu,0.8,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.7226551226551227,0.5884324009324009,0.7332220986281054,0.5922619047619048,0.7031450577663672,0.6679433169487801,0.06409918173290138,19
69,3.479509449005127,0.3119468482590852,0.2174086570739746,0.0016170515109126611,relu,0.2,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.7272727272727273,0.5909090909090909,0.6800148312940304,0.6020833333333333,0.7390885750962772,0.6678737115810918,0.06164273411144848,20
93,2.7201395988464356,1.2307679239731844,0.18213939666748047,0.002551258637871883,relu,0.4,0.0003,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 1500)])",0.6776334776334777,0.6322843822843823,0.7204301075268819,0.5568452380952381,0.7342747111681643,0.6642935833416289,0.06449241230982744,21
81,4.4920511722564695,0.1690528436600559,0.19034461975097655,0.004204623299282294,relu,0.4,3e-05,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 3e-05), ('n_hidden', 1), ('n_neurons', 1500)])",0.744011544011544,0.6398601398601399,0.6648127549128662,0.5898809523809524,0.6822849807445442,0.6641700743820093,0.05062226724977371,22
96,3.406598997116089,1.1903982287376904,0.2052687644958496,0.006647290942589961,relu,0.4,0.0003,2,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 500)])",0.6585858585858586,0.6462703962703963,0.7322951427512051,0.5419642857142857,0.7317073170731707,0.6621646000789833,0.06995431535107696,23
99,3.7345059394836424,0.8986704124528871,0.2344484806060791,0.0018062426736013245,relu,0.2,0.0003,4,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 500)])",0.758152958152958,0.6063519813519813,0.6696329254727476,0.5541666666666667,0.722400513478819,0.6621410090246346,0.07439960387104876,24
78,2.1681072235107424,0.32979358548618315,0.2207059383392334,0.07751510630371708,elu,0.4,0.003,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1500)])",0.7356421356421355,0.6421911421911423,0.6722284019280683,0.6122023809523809,0.6421694480102697,0.6608867017447994,0.0419214305233788,25
66,2.9206562519073485,0.9740631630870805,0.18356099128723144,0.0017686802168695869,relu,0.2,0.03,1,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 500)])",0.736940836940837,0.5520104895104895,0.6664812754912867,0.6529761904761905,0.6879011553273428,0.6592619895492293,0.06074326097373198,26
18,2.8342313289642336,1.2234405078292017,0.18480944633483887,0.004248383737076262,relu,0.6,0.03,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.7402597402597402,0.664044289044289,0.628476084538376,0.5580357142857143,0.7042682926829268,0.6590168241622092,0.06293378035858328,27
50,2.1875417709350584,0.26213598838657437,0.18363447189331056,0.0030082658005005777,elu,0.2,0.003,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1500)])",0.7483405483405483,0.6165501165501166,0.6588802373007046,0.6169642857142857,0.6511553273427471,0.6583781030496805,0.04818785513244648,28
19,3.1924897193908692,1.2333304518157806,0.18161396980285643,0.0027873404078217353,relu,0.2,0.03,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.6779220779220779,0.6576340326340326,0.6807563959955506,0.5797619047619048,0.6858151476251604,0.6563779117877453,0.039488233215999036,29
76,2.604101037979126,0.5819417842459245,0.18115673065185547,0.003366487004560322,elu,0.8,0.03,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.7303030303030302,0.5405011655011656,0.7126436781609196,0.6166666666666667,0.6773106546854942,0.6554850390634552,0.06938206763826611,30
49,2.813925266265869,0.6504960013269703,0.18380661010742189,0.0014128967862318314,elu,0.2,0.03,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.7331890331890332,0.6226689976689976,0.6802002224694104,0.6361607142857142,0.6039794608472401,0.6552396856920792,0.04637153586151455,31
79,2.023887586593628,0.33128727716683126,0.18133282661437988,0.0018820058661111396,elu,0.8,0.003,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1500)])",0.6784992784992784,0.6287878787878788,0.6878012606599926,0.6020833333333334,0.6771501925545571,0.654864388767008,0.033484106016415764,32
28,2.5863461971282957,0.7772973918638704,0.18192849159240723,0.0018570065730607256,elu,0.8,0.03,1,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 500)])",0.7119769119769119,0.6641899766899767,0.6505376344086021,0.569047619047619,0.6689666238767651,0.652943753199975,0.04671717991498108,33
20,4.105928516387939,0.13909130146318666,0.18477287292480468,0.002228329725990129,elu,0.2,0.0003,1,50,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 50)])",0.7186147186147186,0.5949883449883449,0.6900259547645532,0.6255952380952381,0.6335044929396662,0.6525457498805041,0.04510350052279232,34
13,2.9931483268737793,0.5450511051250414,0.18345308303833008,0.0033061718436280044,elu,0.4,0.03,1,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.7085137085137085,0.6381118881118881,0.6193919169447534,0.6313988095238096,0.6593388960205391,0.6513510438229397,0.03138830580189007,35
83,4.185059642791748,0.08322349591066595,0.18498587608337402,0.0024134738963125717,elu,0.6,3e-05,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 3e-05), ('n_hidden', 1), ('n_neurons', 1500)])",0.7483405483405484,0.6124708624708626,0.6243974786800148,0.6327380952380952,0.6357509627727856,0.6507395895004613,0.049463243250532196,36
14,2.802850341796875,0.9544349406458046,0.20052070617675782,0.00426185973956633,relu,0.6,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.7362193362193362,0.5909090909090909,0.6040044493882091,0.5782738095238095,0.7410141206675225,0.6500841613415936,0.07275889127361254,37
32,2.3044485569000246,0.8229925982100538,0.18159704208374022,0.0016187304680572064,relu,0.8,0.03,1,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 200)])",0.7558441558441559,0.5789627039627039,0.621431219873934,0.5861607142857143,0.7076379974326058,0.6500073582798228,0.06994719555546709,38
48,4.049258184432984,0.08862777290335735,0.18239102363586426,0.002451738173816048,relu,0.2,0.0003,1,25,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 25)])",0.7064935064935064,0.6264568764568764,0.6629588431590656,0.6282738095238095,0.608793324775353,0.6465952720817223,0.03471536585666249,39
61,2.79525408744812,1.2298613015708528,0.18677401542663574,0.0030301373060582742,relu,0.6,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.7301587301587301,0.5734265734265734,0.5836114200964034,0.6723214285714286,0.6681643132220796,0.6455364930950431,0.059033768638497915,40
51,1.985308837890625,0.4289313366350517,0.18431859016418456,0.0032681198580157694,elu,0.2,0.003,1,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 500)])",0.7246753246753246,0.6349067599067599,0.6169818316648127,0.5928571428571427,0.6562901155327342,0.6451422349273549,0.04490276543921805,41
34,3.0755577087402344,1.1477103430414144,0.22440056800842284,0.08228677955400736,relu,0.4,0.03,1,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 500)])",0.7088023088023088,0.6526806526806526,0.6649981460882463,0.5340773809523809,0.6643132220795892,0.6449743421206355,0.05866255629090454,42
