,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
74,4.508457899093628,0.7920849410154223,0.20483684539794922,0.00559182444753089,relu,0.4,0.0003,2,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 200)])",0.643691938867246,0.6867321867321867,0.6490131578947369,0.6914970930232558,0.7727272727272727,0.6887323298489395,0.046201827577582566,1
67,3.8756107330322265,0.8879850067667553,0.18871212005615234,0.0024120308252586786,relu,0.8,0.03,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.6528318849265807,0.7246621621621622,0.6131578947368421,0.6800508720930234,0.7693026151930261,0.6880010858223269,0.05450789858039887,2
94,4.634709358215332,0.15349361056759908,0.20004281997680665,0.004800214812256138,relu,0.4,0.0003,2,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 200)])",0.6014384177404855,0.7328009828009828,0.6177631578947369,0.6816860465116279,0.7858032378580324,0.683898368561173,0.06921628712086866,3
43,4.259904384613037,0.29446053951291085,0.1823634147644043,0.008893002168224374,relu,0.2,0.03,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.616571771051843,0.7374078624078625,0.5932565789473685,0.7007630813953489,0.7489103362391034,0.6793819260083053,0.06327883358908275,4
76,5.087826824188232,0.2534048017992234,0.2664909362792969,0.10712427817261057,relu,0.4,0.0003,2,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 200)])",0.6293077614623914,0.6808968058968059,0.6121710526315789,0.6922238372093024,0.7761519302615193,0.6781502774923196,0.05753048223722254,5
86,4.787062168121338,0.21374400273341873,0.204313325881958,0.00429112481811602,relu,0.4,0.0003,2,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 200)])",0.5912496254120467,0.7334152334152334,0.612171052631579,0.6656976744186046,0.7801992528019925,0.6765465677358913,0.07143584262611287,6
66,4.5588500022888185,0.17148958195799244,0.19192371368408204,0.002496500104896749,relu,0.4,0.03,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.5997902307461792,0.7355651105651105,0.6041118421052631,0.6715116279069768,0.761519302615193,0.6744996227877446,0.06610034722570249,7
0,5.024344825744629,0.5668855210617817,0.20649275779724122,0.009341775191687437,relu,0.4,0.0003,2,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 200)])",0.6403955648786335,0.7192874692874693,0.6335526315789474,0.6359011627906976,0.7400373599003736,0.6738348376872242,0.04610535858843862,8
41,4.403204393386841,0.12743285834722326,0.1850897789001465,0.0034795453886478206,relu,0.4,0.03,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.6041354510038957,0.7329545454545455,0.5837171052631579,0.6729651162790697,0.7635429638854296,0.6714630363772196,0.06999218122309304,9
57,5.559616994857788,1.00765844714609,0.25133652687072755,0.007532889422699921,elu,0.4,3e-05,4,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 3e-05), ('n_hidden', 4), ('n_neurons', 1000)])",0.6149235840575367,0.7208230958230958,0.58125,0.6813226744186046,0.7540473225404732,0.6704733353679421,0.06431795443337752,10
