,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
59,3.701052188873291,1.1772271030271972,0.1998349666595459,0.0014470291947236138,relu,0.6,0.0003,2,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 500)])",0.7361793611793612,0.6934889434889434,0.6841474378183997,0.6306547619047619,0.6171428571428571,0.6723226723068646,0.043466169805324736,1
1,3.515527582168579,0.9630924126517133,0.2018810272216797,0.003125470780841741,relu,0.6,0.0003,2,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 500)])",0.7291154791154791,0.6851965601965602,0.6769553491159723,0.599404761904762,0.6555555555555556,0.6692455411776659,0.04234013644438189,2
25,3.5416367053985596,0.889895467395817,0.19995427131652832,0.0033331032269815946,relu,0.8,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.750921375921376,0.6910319410319411,0.645789631405454,0.5782738095238095,0.6580952380952381,0.6648223991955637,0.05656524232582485,3
50,4.228879594802857,0.07532416896134116,0.18246474266052246,0.0025910006265670604,elu,0.6,3e-05,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 3e-05), ('n_hidden', 1), ('n_neurons', 1500)])",0.7303439803439803,0.6796683046683046,0.6730596344021578,0.6142857142857143,0.6104761904761905,0.6615667648352695,0.04480134305520379,4
97,4.167265892028809,0.026607552499298068,0.22717537879943847,0.0875283303358927,elu,0.6,3e-05,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 3e-05), ('n_hidden', 1), ('n_neurons', 1500)])",0.7481572481572482,0.6415847665847666,0.637398861252622,0.6285714285714286,0.6406349206349207,0.6592694450401972,0.04468047794100812,5
46,2.1077788352966307,0.1125355567101394,0.2036381721496582,0.0026868912015359805,elu,0.6,0.0003,2,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.7125307125307125,0.6557125307125308,0.676056338028169,0.5735119047619047,0.6765079365079366,0.6588638845082507,0.04643686668232713,6
41,6.080969524383545,0.1723974354879538,0.21566572189331054,0.006385001252332901,elu,0.8,3e-05,3,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 3e-05), ('n_hidden', 3), ('n_neurons', 1500)])",0.7285012285012286,0.6836609336609336,0.6838477674557987,0.5946428571428571,0.5926984126984126,0.6566702398918461,0.053975174597926744,7
61,2.8021453857421874,0.5493411745356601,0.20129623413085937,0.001566076399917535,elu,0.2,3e-05,2,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 1500)])",0.703931203931204,0.668918918918919,0.6305064429127959,0.5791666666666667,0.6873015873015873,0.6539649639462345,0.04466914785239623,8
94,3.685105037689209,0.9860896723971239,0.184334135055542,0.003212134025049978,relu,0.4,0.03,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.7415540540540541,0.6268427518427518,0.6598741384477076,0.5063988095238096,0.7153968253968254,0.6500133158530297,0.08235769224260209,9
4,5.9598993301391605,0.126863392000212,0.28344173431396485,0.09192418234974016,elu,0.6,3e-05,4,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 3e-05), ('n_hidden', 4), ('n_neurons', 1000)])",0.7321867321867321,0.6314496314496314,0.6439916092298472,0.5931547619047619,0.6450793650793651,0.6491724199700675,0.0455786028288094,10
56,2.299768590927124,0.1287074631712025,0.20364294052124024,0.0024676904468779043,relu,0.6,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.7205159705159705,0.7005528255528255,0.6275097392867846,0.5598214285714286,0.6323809523809524,0.6481561832615922,0.05737509804646628,11
71,3.8804471492767334,1.0909526815631512,0.21862521171569824,0.0018221480630303882,relu,0.4,0.03,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 1000)])",0.7412469287469288,0.6087223587223588,0.654480071920887,0.6946428571428572,0.5415873015873016,0.6481359036240667,0.06896207699035095,12
63,2.3515533924102785,0.12269905546200903,0.21745853424072265,0.002478547705746264,relu,0.2,0.003,3,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 500)])",0.6495700245700246,0.6704545454545454,0.6586754569973029,0.6014880952380952,0.66,0.6480376244519936,0.0241991205518116,13
51,3.7805519104003906,1.009960085566568,0.18355636596679686,0.003028523562134672,relu,0.2,3e-05,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 3e-05), ('n_hidden', 1), ('n_neurons', 1500)])",0.7177518427518427,0.6222358722358722,0.6772550194785737,0.5547619047619048,0.6641269841269841,0.6472263246710355,0.055381215523862756,14
40,3.8881539344787597,0.6350084174734433,0.18616957664489747,0.004505278407964006,elu,0.4,3e-05,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 3e-05), ('n_hidden', 1), ('n_neurons', 1500)])",0.7561425061425061,0.6707616707616708,0.5861552292478275,0.5413690476190476,0.6771428571428572,0.6463142621827819,0.07515707355693058,15
10,2.364069414138794,0.08140267262826802,0.22143979072570802,0.0057136816352350035,elu,0.2,0.0003,3,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.7073095823095823,0.7103808353808353,0.6293077614623913,0.5482142857142858,0.6361904761904763,0.6462805882115142,0.059733184582308745,16
73,4.117313528060913,0.10530122498285958,0.18451423645019532,0.001737615661619124,elu,0.6,3e-05,1,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 3e-05), ('n_hidden', 1), ('n_neurons', 500)])",0.6738329238329238,0.6698402948402948,0.6490860053940666,0.6062500000000001,0.6314285714285715,0.6460875590991714,0.025079495346145765,17
54,2.9888018131256104,0.22952503116150466,0.2201320171356201,0.003314347479267461,relu,0.6,0.0003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1000)])",0.7343366093366093,0.6498771498771498,0.609229847168115,0.5925595238095238,0.6352380952380953,0.6442482450858986,0.0492479295863543,18
7,2.779971170425415,0.350304220586216,0.2178053379058838,0.0016137832458395034,relu,0.2,0.003,3,25,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 25)])",0.6535626535626535,0.6744471744471745,0.6347018279892118,0.6300595238095238,0.6247619047619047,0.6435066169140937,0.0182655677611082,19
92,2.1803295612335205,0.18017301371626115,0.2034433364868164,0.0029894191949521487,relu,0.2,0.0003,2,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.7245085995085996,0.6704545454545455,0.5792628109080012,0.5916666666666667,0.6473015873015873,0.6426388419678801,0.05312776246393529,20
98,4.233985090255738,0.11252397284945458,0.18505969047546386,0.0018816904569454757,elu,0.6,3e-05,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 3e-05), ('n_hidden', 1), ('n_neurons', 1500)])",0.6901105651105651,0.6581695331695331,0.6143242433323344,0.6273809523809524,0.6123809523809524,0.6404732492748674,0.029736770105612764,21
67,4.183427810668945,0.11779373013756489,0.1834864616394043,0.0026482372967568386,elu,0.6,3e-05,1,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 3e-05), ('n_hidden', 1), ('n_neurons', 1000)])",0.7211302211302212,0.6471130221130221,0.6029367695534912,0.6455357142857143,0.575873015873016,0.638517748591093,0.04927132999022745,22
38,1.6843554019927978,0.0747865905460621,0.18093886375427246,0.0022715283977879077,elu,0.6,0.03,1,50,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 50)])",0.733108108108108,0.6808968058968058,0.591848966137249,0.5537202380952381,0.6288888888888888,0.6376926014252579,0.06356292040747685,23
68,1.7830139636993407,0.1836177612415913,0.1835620403289795,0.001784253023413585,elu,0.2,0.003,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1500)])",0.6643120393120393,0.6643120393120392,0.619718309859155,0.6318452380952381,0.6015873015873017,0.6363549856331546,0.024775400535148817,24
53,3.7218136310577394,0.9187819218402156,0.18181777000427246,0.002302667980486202,elu,0.8,3e-05,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 3e-05), ('n_hidden', 1), ('n_neurons', 1500)])",0.6867321867321867,0.645884520884521,0.6113275397063231,0.5684523809523809,0.6603174603174604,0.6345428177185746,0.041045320403125335,25
