,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
24,2.5364521503448487,0.946576882002229,0.21217641830444336,0.0026821535214935363,relu,0.2,0.003,2,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 500)])",0.696620583717358,0.5604575163398693,0.5354938271604939,0.4944444444444444,0.562111801242236,0.5698256345808803,0.06794883489481172,1
44,2.509243106842041,0.5222931367831073,0.22977619171142577,0.0027763318904081855,elu,0.6,0.0003,3,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 500)])",0.5291858678955452,0.5784313725490197,0.5709876543209876,0.6436507936507936,0.46273291925465837,0.556997721534201,0.05970465086417726,2
68,2.0638427257537844,0.1728138172142774,0.2561771869659424,0.08755185052345829,relu,0.2,0.003,2,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 500)])",0.5983102918586789,0.5866013071895425,0.45370370370370366,0.5182539682539682,0.6164596273291926,0.5546657796670171,0.060435687742736166,3
22,2.8009374141693115,0.9126580277944221,0.2285548686981201,0.0012153192776300432,elu,0.8,0.0003,3,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 200)])",0.5522273425499231,0.5898692810457516,0.5015432098765432,0.5373015873015873,0.5838509316770186,0.5529584704901647,0.03226748721937945,4
83,2.8968199253082276,0.5610979389606219,0.24818716049194336,0.004109291412388426,elu,0.6,0.0003,4,500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 500)])",0.5844854070660522,0.5310457516339869,0.4228395061728395,0.5515873015873015,0.6614906832298137,0.5502897299379987,0.07765380902208728,5
16,2.1434864044189452,0.009069892724223365,0.30345664024353025,0.09818508783342932,elu,0.6,0.03,3,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 200)])",0.575268817204301,0.5392156862745099,0.6080246913580247,0.5373015873015874,0.48602484472049695,0.549167125371784,0.040920120063343675,6
74,2.6162514209747316,0.16302261351262878,0.24602808952331542,0.001867069283428748,relu,0.2,0.0003,4,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 1000)])",0.6136712749615976,0.5555555555555556,0.5725308641975309,0.39285714285714285,0.6024844720496895,0.5474198619243034,0.0800096832754143,7
77,2.546275091171265,0.1524744605934898,0.24679784774780272,0.0017429104071852157,elu,0.2,0.0003,4,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 4), ('n_neurons', 1000)])",0.5061443932411674,0.5130718954248367,0.5848765432098765,0.5166666666666666,0.6149068322981366,0.5471332661681367,0.044240907752318405,8
1,2.2446659564971925,0.17558384354855905,0.22996807098388672,0.002348413283429626,relu,0.6,0.003,3,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 200)])",0.5061443932411676,0.6699346405228758,0.4598765432098766,0.5373015873015873,0.5512422360248448,0.5448998800600704,0.06994656020667538,9
92,2.2861169815063476,0.25822759560743086,0.22636208534240723,0.010701124584265125,elu,0.8,0.003,2,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 200)])",0.5798771121351767,0.565359477124183,0.4182098765432099,0.5404761904761906,0.611801242236025,0.5431447797029569,0.06659176866697397,10
