,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
78,3.132277822494507,0.8646156272347223,0.21235356330871583,0.0668210137686624,elu,0.6,3e-05,1,50,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 3e-05), ('n_hidden', 1), ('n_neurons', 50)])",0.6938115763546797,0.5889504462911666,0.536876731301939,0.48407944514501894,0.6037318153067679,0.5814900028799144,0.0702077674661209,1
88,2.6423852920532225,1.143372850879052,0.180397891998291,0.002145771310590432,relu,0.2,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5965209359605911,0.6305016928285627,0.5462257617728532,0.5950504413619168,0.5235610373181531,0.5783719738484153,0.038373640482572684,2
56,4.39944167137146,0.3346469376346568,0.20254745483398437,0.0024374219748861414,relu,0.6,3e-05,2,25,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 25)])",0.6639470443349753,0.60803324099723,0.44027008310249305,0.539249684741488,0.5895003162555345,0.5682000738863441,0.07538179017608414,3
46,3.4427859783172607,1.1487720558156838,0.22233572006225585,0.004584195238392456,relu,0.4,0.03,3,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 1500)])",0.5922105911330049,0.6775931055709449,0.5084833795013851,0.48155737704918034,0.5752688172043011,0.5670226540917632,0.06878868565151587,4
25,2.4852333545684813,0.20850175373957777,0.2162616729736328,0.002748769397422473,relu,0.6,0.0003,3,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 3), ('n_neurons', 1500)])",0.6673337438423645,0.5738688827331487,0.5469182825484764,0.5241172761664565,0.5208728652751423,0.5666222101131176,0.05382052399326075,5
69,1.7354673385620116,0.061277138108164764,0.18469748497009278,0.0020596097956379197,relu,0.6,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5909790640394089,0.6345029239766082,0.5311634349030472,0.5671500630517023,0.5075901328273245,0.5662771237596183,0.044593366640445206,6
58,1.940077829360962,0.17492307968354512,0.18311877250671388,0.002361962434937509,relu,0.2,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5977524630541872,0.6141889812249923,0.5365304709141274,0.5493379571248423,0.5256166982922201,0.5646853141220738,0.03492461224082624,7
95,1.7381278038024903,0.09363818290804866,0.18051500320434571,0.0035146109959624835,relu,0.2,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.6100677339901478,0.5754078177900892,0.5541897506925207,0.5301071878940732,0.5404807084123973,0.5620506397558456,0.028395405176248792,8
49,3.405975914001465,1.2465821840152431,0.22077565193176268,0.0025720680710155843,relu,0.4,0.03,3,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 1500)])",0.5992918719211823,0.5670975684826101,0.5330678670360112,0.5969419924337958,0.5,0.5592798599747197,0.038161981762283984,9
8,4.298240709304809,1.3838591715680875,0.21622190475463868,0.0016522876972283691,relu,0.4,0.03,3,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 1500)])",0.5897475369458128,0.626192674669129,0.5517659279778394,0.49558638083228246,0.5183428209993675,0.5563270682848863,0.04722535089529102,10
1,2.449857711791992,0.1955902938261548,0.2167745590209961,0.003017542674163727,relu,0.2,0.003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 1000)])",0.5540332512315271,0.6538935056940597,0.5566135734072022,0.5490226986128626,0.4617330803289058,0.5550592218549115,0.060857033433201965,11
33,1.8558761119842528,0.16546092352517683,0.19560365676879882,0.006362354760036298,relu,0.8,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5398706896551724,0.6181902123730378,0.5881232686980608,0.4932219419924338,0.5335230866540164,0.5545858398745442,0.04380862589836203,12
70,1.7679976940155029,0.14494500864727405,0.1874478816986084,0.010287906909372951,relu,0.6,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.572814039408867,0.6068020929516774,0.5441481994459834,0.5509142496847415,0.4981024667931689,0.5545562096568876,0.035697608605666946,13
59,1.850623321533203,0.10758096167867047,0.18505234718322755,0.0011628087957219924,relu,0.2,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5706588669950738,0.5892582333025547,0.5386080332409973,0.557219419924338,0.5123339658444023,0.5536157038614732,0.0264698249151044,14
64,1.7970464706420899,0.0769743245703419,0.18687825202941893,0.0021541054915020993,relu,0.6,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5740455665024631,0.6071098799630655,0.5365304709141274,0.5468158890290038,0.5003162555344718,0.5529636123886263,0.035932864919059046,15
66,1.766387939453125,0.07485166500046939,0.18493990898132323,0.0036950551776326755,relu,0.2,0.03,1,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 200)])",0.5343288177339902,0.6375807940904893,0.5618074792243767,0.5187578814627996,0.5082226438962683,0.5521395232815848,0.04637656232865379,16
94,1.640051794052124,0.07050392357710747,0.1788813591003418,0.0011420523833333245,elu,0.6,0.003,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 1500)])",0.5589593596059113,0.5686365035395506,0.5469182825484764,0.5007881462799496,0.5825426944971538,0.5515689972942084,0.02794856389989045,17
62,1.8850616455078124,0.1574399661455803,0.18584775924682617,0.002582006140988751,relu,0.2,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5854371921182266,0.5886426592797784,0.5306440443213296,0.5635245901639344,0.4873497786211259,0.5511196529008789,0.03801420625635605,18
92,1.8642817974090575,0.1657030906499504,0.1800405502319336,0.0022968498490637704,relu,0.2,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.6000615763546798,0.543705755617113,0.5289127423822714,0.551860025220681,0.5278304870335231,0.5504741173216536,0.026398009152670186,19
54,1.9420538425445557,0.2622212600801978,0.18501343727111816,0.0013729493192914453,relu,0.2,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5869766009852218,0.5664819944598337,0.5500346260387812,0.5521752837326608,0.4955724225173941,0.5502481855467783,0.030350325963229306,20
99,2.2265469074249267,0.9419730944604282,0.17719111442565919,0.0013817574584771577,relu,0.2,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5919027093596059,0.6117266851338874,0.5285664819944598,0.5165510718789408,0.5012650221378874,0.5500023941009562,0.043633347876130914,21
87,1.857059860229492,0.14763066084954055,0.1814424514770508,0.0017199168176620678,relu,0.2,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5611145320197044,0.6252693136349645,0.5500346260387812,0.5313682219419924,0.4816571790006325,0.549888774527215,0.04649048521210273,22
93,1.7435113430023192,0.18883627265048653,0.18057332038879395,0.001363644883963917,relu,0.2,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5922105911330049,0.6418898122499231,0.46381578947368424,0.5171815889029004,0.5295698924731183,0.5489335348465263,0.06187396933129224,23
73,1.8097255229949951,0.09591166306755187,0.18818812370300292,0.005970793303222489,relu,0.6,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.6029864532019705,0.5781779008925824,0.5230263157894737,0.5272698612862547,0.5088551549652119,0.5480631372270987,0.03611076917874659,24
43,1.8193409442901611,0.12420806424854432,0.18332409858703613,0.0019192937825730067,relu,0.4,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5832820197044335,0.6092643890427825,0.5133310249307479,0.5474464060529635,0.47912713472485774,0.546490194891157,0.04675994993943965,25
81,1.843078088760376,0.16066141700456363,0.18089165687561035,0.0008867472644930256,relu,0.2,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.6128386699507389,0.5163127116035704,0.5514196675900276,0.5367276166456494,0.5145477545857052,0.5463692840751383,0.03592396044684743,26
10,3.279798650741577,1.1906096338510548,0.21649389266967772,0.0018049790421765346,relu,0.6,0.03,3,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 1500)])",0.5249384236453203,0.5861803631886735,0.5268351800554016,0.5,0.5828589500316255,0.5441625833842043,0.03430173058713055,27
21,2.326021337509155,0.9299917308321044,0.18502774238586425,0.00386608261231005,relu,0.4,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5974445812807881,0.6286549707602339,0.4558518005540166,0.5045712484237075,0.5341555977229602,0.5441356397483412,0.06236078755855193,28
65,2.041187858581543,0.16223114292618604,0.1846651554107666,0.002453531586683111,relu,0.2,0.03,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.5863608374384236,0.5581717451523546,0.5202562326869806,0.5345208070617906,0.5167615433270083,0.5432142331333114,0.026029778593775865,29
85,1.7367174625396729,0.10155346847947327,0.18237743377685547,0.002228242869793634,relu,0.6,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5715825123152709,0.608341028008618,0.5431094182825484,0.48250315258511983,0.5075901328273245,0.5426252488037763,0.04472012292439866,30
11,3.557700777053833,1.5180206721672147,0.21962189674377441,0.0035920651959028766,relu,0.2,0.03,3,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 1500)])",0.6036022167487686,0.5570944906124962,0.5,0.5556431273644388,0.4894054395951929,0.5411490548641793,0.04179803566089994,31
74,1.7404457092285157,0.07545710888349973,0.17907867431640626,0.0007186441523963033,relu,0.6,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5551108374384237,0.63419513696522,0.5058864265927978,0.503625472887768,0.5050600885515496,0.5407755924871518,0.05060769317550251,32
80,2.758708620071411,0.8194096438486974,0.18278489112854004,0.004959698931898251,elu,0.6,3e-05,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 3e-05), ('n_hidden', 1), ('n_neurons', 1500)])",0.6011391625615763,0.5055401662049861,0.5524584487534625,0.5367276166456494,0.5056925996204933,0.5403115987572334,0.03540596287052097,33
68,1.7852679252624513,0.10914881496016873,0.1859220027923584,0.002107139882198932,relu,0.6,0.03,1,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.5762007389162561,0.5815635580178516,0.5302977839335181,0.526954602774275,0.48545224541429477,0.5400937858112391,0.035433746034011955,34
84,1.8198547840118409,0.17807260968865948,0.18280606269836425,0.002851725533179655,elu,0.6,0.03,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.5592672413793103,0.5252385349338258,0.5368767313019391,0.5483921815889029,0.5294117647058824,0.5398372907819721,0.012500314521205761,35
91,2.6572240829467773,1.023529078361944,0.17995810508728027,0.002534945495171642,elu,0.6,0.0003,1,50,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 50)])",0.5786637931034483,0.5920283164050477,0.5008656509695291,0.5329445145018916,0.49177735610373186,0.5392559262167297,0.04026354904902023,36
12,2.2360010147094727,0.11433899477413104,0.21745600700378417,0.003095440507130304,relu,0.4,0.003,3,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 500)])",0.5186268472906403,0.5329332102185288,0.5680401662049861,0.5178121059268601,0.558191018342821,0.5391206695967672,0.020554083668779,37
6,2.060960817337036,0.15424801980442213,0.20191893577575684,0.005433905157812214,elu,0.6,0.0003,2,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.5626539408866995,0.5578639581409665,0.5590373961218837,0.4973203026481715,0.5186590765338394,0.5391069348663121,0.02633533080494319,38
