,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
148,1.6190229892730712,0.32350796058954445,0.08361921310424805,0.016744768680332138,True,,sqrt,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.42857142857142855,0.06666666666666665,0.7916666666666666,0.375,0.7833333333333333,0.489047619047619,0.27322235178465765,1
61,1.6000087261199951,0.2737666570320816,0.09590811729431152,0.013035114650350305,True,100,auto,2,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 750)])",0.4476190476190476,0.07499999999999998,0.7833333333333333,0.35,0.7833333333333334,0.4878571428571428,0.27043929996578975,2
101,2.7149248123168945,0.31204953150153814,0.11624703407287598,0.0013200128946988456,True,20,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.4095238095238095,0.05833333333333331,0.7833333333333333,0.4166666666666667,0.7583333333333333,0.4852380952380953,0.266879804278954,3
103,2.623991107940674,0.14377460882756973,0.12749166488647462,0.01525644632430124,True,20,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.3999999999999999,0.07499999999999998,0.7666666666666667,0.4166666666666667,0.7666666666666667,0.48500000000000004,0.2602562839459085,4
109,2.02620325088501,0.28788114114569263,0.10112495422363281,0.01790636216057729,True,80,auto,2,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 1000)])",0.4380952380952381,0.09166666666666665,0.7666666666666667,0.35,0.7666666666666667,0.4826190476190476,0.2583718426421401,5
69,1.0571520805358887,0.18025241553770208,0.06845464706420898,0.001234098292538581,True,120,sqrt,2,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 500)])",0.43809523809523804,0.07499999999999998,0.75,0.39166666666666666,0.7333333333333334,0.4776190476190476,0.24925216948088882,6
57,1.5852058410644532,0.2694298479412334,0.09635400772094727,0.013452100032809474,True,20,sqrt,2,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 750)])",0.36190476190476184,0.07499999999999998,0.775,0.4,0.775,0.47738095238095235,0.2677264231295136,7
27,1.0128683567047119,0.17972511720029197,0.06639080047607422,0.000851031388024661,True,60,sqrt,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.5428571428571429,0.3041666666666667,0.65,0.4083333333333333,0.475,0.4760714285714286,0.11734762397512662,8
40,1.572642183303833,0.27189557430208544,0.09238438606262207,0.010958660582977687,True,60,sqrt,2,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 750)])",0.3904761904761904,0.06666666666666667,0.7999999999999999,0.33333333333333337,0.7833333333333334,0.47476190476190483,0.28094269555541224,9
143,1.5840911865234375,0.28204493713441836,0.09109468460083008,0.00932479500163832,True,,sqrt,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.3904761904761904,0.06666666666666665,0.7999999999999999,0.3833333333333333,0.7333333333333334,0.4747619047619048,0.26632461055250045,10
35,1.0539842128753663,0.1833254173335776,0.06713676452636719,0.0007088648267334137,True,,sqrt,2,6,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 500)])",0.419047619047619,0.05833333333333331,0.7583333333333334,0.35833333333333334,0.775,0.4738095238095238,0.26856045232552017,11
17,1.015564203262329,0.17720631775781093,0.06629066467285157,0.0008666096995985357,True,,sqrt,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.5380952380952381,0.2708333333333333,0.6833333333333335,0.3833333333333333,0.4916666666666666,0.473452380952381,0.13981158361010235,12
105,2.3977909088134766,0.2853627483794813,0.10390605926513671,0.00819652084887643,True,40,sqrt,2,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1250)])",0.39999999999999997,0.06666666666666665,0.7666666666666667,0.39166666666666666,0.7416666666666668,0.47333333333333333,0.25902595322562655,13
99,2.732653760910034,0.33291347431892193,0.11620402336120605,0.0028043931505960275,True,20,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.3904761904761904,0.06666666666666665,0.75,0.4083333333333333,0.75,0.4730952380952381,0.25673203514263804,14
128,2.7345251083374023,0.33439985021821506,0.1206883430480957,0.013068185124191046,True,20,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.3904761904761904,0.05833333333333331,0.7833333333333333,0.3833333333333333,0.75,0.4730952380952381,0.26826645974485197,14
52,1.5827999114990234,0.2706072682249937,0.09488883018493652,0.012712907011787419,True,,sqrt,2,6,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 750)])",0.42857142857142855,0.06666666666666665,0.7166666666666667,0.39166666666666666,0.7583333333333333,0.4723809523809523,0.2507917168902733,16
72,2.7713943004608153,0.34874495087657026,0.12047758102416992,0.0032176904856347816,True,20,auto,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.419047619047619,0.04166666666666666,0.725,0.39999999999999997,0.775,0.4721428571428571,0.2641941068175018,17
