,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
45,0.8040691375732422,0.11971968619662696,0.052071332931518555,0.0007983060252585014,True,,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.630246913580247,0.6049382716049383,0.5578817733990148,0.5695812807881774,0.6602809706257982,0.6045858419996352,0.03786066952243441,1
132,0.7146789073944092,0.007368590295258436,0.05330381393432617,0.001428129506626859,True,120,auto,6,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 500)])",0.6376543209876544,0.6160493827160495,0.5480295566502463,0.5658866995073891,0.648786717752235,0.6032813355227149,0.0396645505257522,2
90,0.6870388984680176,0.0070875916311785424,0.052792596817016604,0.0015573450223904605,True,,sqrt,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.6228395061728396,0.6160493827160494,0.5578817733990148,0.5597290640394088,0.6590038314176245,0.6031007115489875,0.0390084582734276,3
87,0.7380447387695312,0.06417370910560542,0.05292816162109375,0.0006316342633362585,True,120,sqrt,6,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 500)])",0.6290123456790123,0.6160493827160494,0.5443349753694582,0.5609605911330048,0.6628352490421455,0.602638508787934,0.043898585804639324,4
7,0.7123777866363525,0.008258802435121514,0.057911014556884764,0.007877661975930166,True,,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.6450617283950617,0.6222222222222222,0.5431034482758621,0.5523399014778324,0.6462324393358877,0.6017919479413731,0.04506544613228174,5
41,0.7130590915679932,0.0038260826603617295,0.05241513252258301,0.001289453879203139,True,,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6339506172839505,0.5987654320987654,0.5517241379310345,0.583128078817734,0.6385696040868455,0.6012275740436659,0.03240206420584656,6
43,0.7099499702453613,0.008796378273131315,0.052460098266601564,0.0019104508182501646,True,,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6598765432098765,0.6037037037037036,0.5566502463054188,0.5572660098522167,0.6283524904214559,0.6011697986985343,0.040252538989097364,7
16,0.6862784385681152,0.0034075646392190627,0.05215578079223633,0.0008649379351730745,True,,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6314814814814815,0.6123456790123456,0.5492610837438423,0.5560344827586208,0.6538952745849297,0.600603600316244,0.04136129289945432,8
57,0.841437578201294,0.16745083081339407,0.0513615608215332,0.0005780442200069672,True,20,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6191358024691358,0.6135802469135803,0.5369458128078817,0.5806650246305418,0.6513409961685824,0.6003335765979444,0.03882168300889789,9
111,2.125435304641724,0.01705086363566806,0.15115656852722167,0.003149665777381556,True,80,auto,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6351851851851852,0.608641975308642,0.5443349753694582,0.5646551724137931,0.6475095785440612,0.6000653773642279,0.03979364642855445,10
11,2.1292266845703125,0.02128352850890029,0.15185317993164063,0.0035163363103817413,True,,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6277777777777779,0.6160493827160494,0.5467980295566504,0.5695812807881774,0.6398467432950191,0.6000106428267349,0.035700695080771006,11
49,2.0484530925750732,0.022569575910945456,0.15869731903076173,0.01350842006305095,True,20,sqrt,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6228395061728396,0.6197530864197531,0.5431034482758621,0.5461822660098523,0.6679438058748404,0.5999644225506295,0.048294405438395624,12
109,0.718201732635498,0.015542222508139301,0.05317034721374512,0.0006337351972086556,True,60,auto,6,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 500)])",0.6327160493827161,0.6123456790123456,0.5431034482758621,0.5597290640394088,0.6500638569604087,0.5995916195341483,0.04144219458343281,13
38,0.7145500659942627,0.0030396369995521907,0.05197606086730957,0.0007137942578179715,True,,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6487654320987655,0.6086419753086421,0.5357142857142857,0.5732758620689655,0.6296296296296297,0.5992054369640577,0.040433505943201435,14
89,0.7026988983154296,0.020279043062346548,0.057075881958007814,0.00915766416021589,True,,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6265432098765432,0.6098765432098765,0.5504926108374384,0.5634236453201971,0.6449553001277138,0.5990582618743537,0.03635228756424881,15
118,2.114427423477173,0.01525985401475484,0.15318684577941893,0.004602423515046734,True,80,auto,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6179012345679012,0.6123456790123457,0.5369458128078818,0.5609605911330049,0.665389527458493,0.5987085689959254,0.04525533623237724,16
17,0.7287073135375977,0.020115234919449235,0.05296535491943359,0.0010689368813019404,True,40,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.6290123456790123,0.6123456790123456,0.5258620689655172,0.5683497536945814,0.6564495530012772,0.5984038800705467,0.04618683132937303,17
95,1.0680091381072998,0.010593363747743957,0.07761530876159668,0.002364659561192944,True,,auto,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.6179012345679012,0.6111111111111112,0.5431034482758621,0.5671182266009852,0.6513409961685824,0.5981150033448885,0.038419972500702344,18
105,1.738207721710205,0.021030096214184765,0.13387575149536132,0.008845062140777486,True,60,sqrt,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6339506172839507,0.608641975308642,0.5431034482758621,0.5560344827586207,0.6487867177522351,0.5981034482758621,0.04185611482787334,19
139,0.6933955192565918,0.007461812751720103,0.05262546539306641,0.0010598802981746677,True,20,sqrt,6,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 500)])",0.6228395061728396,0.6012345679012345,0.5369458128078817,0.562192118226601,0.6666666666666666,0.5979757343550447,0.045502505061171435,20
