,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
133,2.255625820159912,0.3806039980554406,0.10941276550292969,0.0012990501366884673,True,80,sqrt,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.46718146718146725,0.7695945945945946,0.6013513513513513,0.5567567567567568,0.6613756613756614,0.6112519662519663,0.10139904486637391,1
107,1.4814527988433839,0.2776861312285832,0.08186559677124024,0.011941706007626327,True,60,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.47747747747747754,0.7871621621621621,0.5891891891891892,0.5594594594594595,0.6296296296296297,0.6085835835835836,0.10228526574684256,2
147,1.4306418418884277,0.2641531165341419,0.0792473316192627,0.012497912445304071,True,60,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.4774774774774775,0.7587837837837836,0.5959459459459459,0.5486486486486487,0.6613756613756614,0.6084463034463033,0.096216138726957,3
92,2.6570253372192383,0.43010842791093656,0.13083019256591796,0.009744774462091418,True,,auto,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.48391248391248387,0.7729729729729728,0.5986486486486485,0.5567567567567568,0.6296296296296297,0.6083840983840983,0.09570184369233962,4
117,1.5208743572235108,0.2724131692153573,0.0835951805114746,0.013466882295831482,True,60,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.46460746460746466,0.7777027027027026,0.6040540540540541,0.5567567567567568,0.6296296296296297,0.6065501215501217,0.10242968038485106,5
114,1.521702814102173,0.02212269258194304,0.09929838180541992,0.0027703029479779714,True,60,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.48005148005148,0.7810810810810811,0.5878378378378377,0.5527027027027027,0.6309523809523809,0.6065250965250966,0.10030765010380155,6
123,1.4541743755340577,0.26556031756264614,0.08030529022216797,0.013288402784089626,True,60,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.4787644787644787,0.8047297297297298,0.5932432432432432,0.5486486486486487,0.6071428571428572,0.6065057915057915,0.10875138866655062,7
58,1.8396379470825195,0.3139826914091659,0.09308533668518067,0.010245603654145898,True,100,sqrt,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.4723294723294723,0.7763513513513514,0.5918918918918918,0.5567567567567568,0.6322751322751323,0.6059209209209209,0.10020147693824089,8
138,2.2243462562561036,0.36115605257305294,0.11678023338317871,0.0169299716091527,True,60,sqrt,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.4620334620334621,0.7885135135135135,0.5891891891891892,0.5567567567567568,0.6322751322751323,0.6057536107536107,0.10717754062500238,9
88,1.7962426662445068,0.31357864752726117,0.09762763977050781,0.012221664537979212,True,,sqrt,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.4658944658944659,0.7932432432432432,0.5891891891891892,0.5466216216216216,0.6296296296296297,0.60491562991563,0.10867425464224925,10
67,1.8369342803955078,0.31668411355050774,0.09492931365966797,0.011282602876929724,True,100,sqrt,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.48262548262548266,0.7547297297297297,0.5986486486486485,0.5567567567567568,0.6296296296296297,0.6044780494780495,0.08985268069919217,11
33,1.4918964862823487,0.2719680702753793,0.07913756370544434,0.006969708755781189,True,120,sqrt,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.4671814671814672,0.770945945945946,0.5986486486486485,0.5567567567567568,0.6283068783068784,0.6043679393679394,0.09943939684044903,12
101,2.70192608833313,0.4585941852220241,0.1479741096496582,0.03363662590989872,True,,auto,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.47361647361647363,0.7722972972972972,0.5918918918918918,0.5567567567567568,0.626984126984127,0.6043093093093093,0.09821422124708294,13
121,1.5966516017913819,0.16888730311640018,0.0813706398010254,0.010851539604906233,True,60,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.47232947232947237,0.775,0.5891891891891892,0.5540540540540542,0.6309523809523809,0.6043050193050192,0.10001804951653903,14
105,1.5481739044189453,0.2814729995969924,0.07809844017028808,0.007299087717992184,True,60,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.47361647361647363,0.8,0.5986486486486485,0.5554054054054055,0.5886243386243386,0.6032589732589733,0.10774005837838288,15
14,1.7623257637023926,0.29950709280978377,0.09357519149780273,0.01188121250129645,True,60,sqrt,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.46718146718146725,0.7763513513513514,0.5905405405405405,0.5472972972972974,0.6309523809523809,0.6024646074646075,0.10250394769548964,16
