,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
66,1.092457389831543,0.007045450567433163,0.0801513671875,0.001585328283809884,True,40,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.5018518518518519,0.5592592592592593,0.5357142857142858,0.4895320197044335,0.6513409961685824,0.5475396825396827,0.057452881599128175,1
7,0.7326764583587646,0.006708107469394363,0.05747666358947754,0.004406539347805739,True,,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.48209876543209873,0.5728395061728395,0.5221674876847291,0.5092364532019704,0.6436781609195402,0.5460040746822357,0.05703384420664751,2
144,1.4730196475982666,0.01842549574057543,0.10801224708557129,0.004267944209708728,True,,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.49444444444444446,0.591358024691358,0.5184729064039408,0.48583743842364524,0.6334610472541506,0.5447147722435078,0.057851147170442825,3
18,1.4573195457458497,0.019232127826533458,0.10441246032714843,0.0007659718124670889,True,20,auto,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.4969135802469136,0.5753086419753086,0.5246305418719212,0.4956896551724137,0.6257982120051087,0.5436681262543331,0.05019327464781508,4
99,1.8293473243713378,0.07343043098022624,0.13357324600219728,0.00545727002905551,True,,sqrt,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.4993827160493827,0.5703703703703704,0.5049261083743843,0.4883004926108374,0.6526181353767561,0.5431195645563462,0.06182123598026386,5
10,2.168214797973633,0.047545558574483254,0.15862207412719725,0.004839274130028447,True,,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.4907407407407407,0.5617283950617284,0.5110837438423645,0.4907635467980296,0.656449553001277,0.542153195888828,0.06276351344584237,6
67,1.103064775466919,0.021599190993940618,0.08226613998413086,0.0017323079683058081,True,40,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.4759259259259259,0.5753086419753087,0.5123152709359606,0.48583743842364535,0.6590038314176245,0.541678221735693,0.0681176103772817,7
88,1.0621485233306884,0.01071147947548805,0.08048906326293945,0.001487745242181575,True,20,sqrt,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.47716049382716047,0.562962962962963,0.5147783251231527,0.5030788177339902,0.6487867177522351,0.5413534634799003,0.06049925359861127,8
137,1.073329210281372,0.010817685524838559,0.08261528015136718,0.00264695083515634,True,,sqrt,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.4833333333333334,0.5728395061728395,0.5258620689655173,0.48583743842364535,0.6385696040868456,0.5412883901964362,0.058533196650416064,9
90,1.061136245727539,0.008412517521125587,0.08041892051696778,0.0023943100764821793,True,20,sqrt,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.4882716049382716,0.5777777777777778,0.520935960591133,0.4833743842364532,0.6334610472541508,0.5407641549595573,0.05727989699450342,10
149,1.4848176479339599,0.028893059268484244,0.10691652297973633,0.0031634642767174597,True,,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.48703703703703705,0.5790123456790124,0.5024630541871922,0.49076354679802947,0.6436781609195402,0.5405908289241623,0.0614942352479131,11
57,1.7970441341400147,0.03921905067352766,0.13372673988342285,0.006150344790382869,True,,sqrt,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.47592592592592586,0.5703703703703704,0.5221674876847291,0.4759852216748768,0.6577266922094508,0.5404351395730707,0.06826765563678143,12
106,2.124410104751587,0.024015426847537266,0.15662789344787598,0.004637245185575896,True,120,sqrt,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.478395061728395,0.5839506172839507,0.5061576354679802,0.48706896551724144,0.6424010217113665,0.5395946603417868,0.0634964140309684,13
24,1.0752849578857422,0.02184847909425433,0.08233203887939453,0.003578778888949004,True,20,sqrt,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.49444444444444446,0.5740740740740741,0.5160098522167489,0.4870689655172414,0.6257982120051085,0.5394791096515235,0.052865015497124135,14
52,1.8218005657196046,0.011780165294373094,0.1432882785797119,0.017317190867432764,True,20,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.48456790123456783,0.562962962962963,0.518472906403941,0.4759852216748768,0.6551724137931034,0.5394322812138904,0.06545898902384076,15
