,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
91,0.7180740356445312,0.01248233776285877,0.05721778869628906,0.0006597968964557814,True,80,sqrt,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.48434782608695653,0.6182608695652174,0.5252173913043477,0.4713043478260869,0.5009057971014492,0.5200072463768116,0.052324663452114284,1
94,0.7255991458892822,0.009138372760679844,0.05781874656677246,0.0007949499924950541,True,80,sqrt,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.4721739130434783,0.6147826086956522,0.4982608695652174,0.49217391304347824,0.5181159420289855,0.5191014492753623,0.050034930037949885,2
68,0.7840544700622558,0.09081474552073601,0.058005666732788085,0.0014455794973508049,True,60,sqrt,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.4747826086956522,0.6243478260869565,0.4765217391304348,0.49130434782608695,0.5280797101449275,0.5190072463768116,0.05604861251559519,3
70,0.7301940441131591,0.03327461182971507,0.0570472240447998,0.0005898845232376401,True,60,sqrt,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.4547826086956522,0.6060869565217392,0.5234782608695652,0.4843478260869564,0.5226449275362319,0.518268115942029,0.05087130142790438,4
42,1.2555295467376708,0.08938043119677547,0.10505242347717285,0.01643906276372643,True,80,sqrt,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.4965217391304348,0.62,0.4886956521739131,0.47391304347826085,0.5117753623188406,0.5181811594202899,0.05235704775372081,5
131,0.482634449005127,0.016291765310073123,0.03993191719055176,0.000785114424152884,True,20,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.45304347826086955,0.6495652173913044,0.49478260869565216,0.4730434782608695,0.5144927536231884,0.5169855072463768,0.0694205258535821,6
50,0.7466972351074219,0.04551063470461057,0.05814127922058106,0.0015602634142547662,True,100,auto,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.4547826086956521,0.6365217391304349,0.5060869565217392,0.47565217391304354,0.5117753623188406,0.516963768115942,0.06326527866169555,7
32,0.7103321075439453,0.004156955353567207,0.056984329223632814,0.0005551837701414558,True,80,sqrt,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.4782608695652174,0.6486956521739131,0.4756521739130435,0.4634782608695653,0.5172101449275363,0.516659420289855,0.0684370491739886,8
14,0.7150939464569092,0.009901076346918836,0.05834388732910156,0.0013132481268071595,True,80,sqrt,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.47304347826086957,0.6165217391304348,0.48869565217391303,0.48521739130434777,0.516304347826087,0.5159565217391304,0.05223612233283127,9
112,1.0365204334259033,0.10873082345508943,0.07567896842956542,0.0026945137012237322,True,80,auto,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.47304347826086957,0.6104347826086958,0.5069565217391304,0.47565217391304343,0.5135869565217391,0.5159347826086956,0.04995742989298281,10
20,0.7507644176483155,0.03304116024321521,0.05865731239318848,0.0021859529694556773,True,60,auto,6,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 750)])",0.46260869565217394,0.6373913043478261,0.49913043478260866,0.4852173913043479,0.4936594202898551,0.5156014492753623,0.06215615604000456,11
123,1.4285384654998778,0.011223646195068916,0.11377081871032715,0.008961632817672177,True,60,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.47478260869565214,0.6260869565217391,0.5008695652173913,0.4860869565217391,0.4882246376811594,0.5152101449275361,0.056053693840394644,12
74,1.4065296649932861,0.2687309472189372,0.0928370475769043,0.0015400278629350323,True,60,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.47130434782608693,0.6260869565217392,0.5113043478260869,0.48173913043478267,0.48550724637681153,0.5151884057971015,0.056989841638571875,13
139,1.4019494533538819,0.015648263770010495,0.11033544540405274,0.0030710554544606146,True,60,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.4608695652173913,0.6113043478260869,0.4939130434782608,0.49391304347826076,0.5144927536231885,0.5148985507246376,0.051174518443793976,14
124,1.4564640522003174,0.037354819421284595,0.11017537117004395,0.0015457078770196955,True,40,sqrt,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.46260869565217394,0.6182608695652174,0.4982608695652173,0.4843478260869564,0.5108695652173914,0.5148695652173914,0.05411910131048063,15
118,0.7262902736663819,0.022296815807767385,0.05763697624206543,0.001149738766324074,True,60,sqrt,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.45652173913043476,0.628695652173913,0.5060869565217392,0.49478260869565216,0.4864130434782609,0.5145,0.05941474169926958,16
75,0.5347939014434815,0.04171648117025784,0.04000024795532227,0.0004419586339069552,True,120,sqrt,4,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 500)])",0.4913043478260869,0.6269565217391304,0.4504347826086957,0.4617391304347826,0.5416666666666667,0.5144202898550725,0.06451444025542095,17
19,1.2361891746520997,0.04491565313778554,0.09314565658569336,0.0011283171021988865,True,80,auto,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.46608695652173915,0.6321739130434783,0.497391304347826,0.48173913043478256,0.4945652173913043,0.5143913043478261,0.05992377010054009,18
88,0.49344987869262696,0.015152611321413387,0.04001932144165039,0.000583475829845218,True,20,auto,6,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 500)])",0.47217391304347833,0.6139130434782608,0.46869565217391307,0.4895652173913043,0.5271739130434784,0.5143043478260869,0.05395307069508749,19
48,0.9523379325866699,0.020273970692824397,0.07370944023132324,0.0009811906301941393,True,40,auto,8,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1000)])",0.46608695652173915,0.6391304347826087,0.4939130434782609,0.4739130434782608,0.4963768115942029,0.5138840579710144,0.063677696105516,20
126,0.506427001953125,0.0122207835619774,0.04810876846313476,0.016006553450840236,True,60,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.45565217391304347,0.6278260869565218,0.48347826086956525,0.4721739130434782,0.529891304347826,0.513804347826087,0.06211954144318462,21
76,0.8617521762847901,0.174710142016911,0.0573176383972168,0.001237641059651081,True,60,auto,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.4826086956521739,0.62,0.5026086956521739,0.4756521739130435,0.48641304347826086,0.5134565217391304,0.054002397902371414,22
49,1.4972811698913575,0.11011703305096318,0.10901532173156739,0.0017013988989028242,True,20,auto,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.47913043478260875,0.6217391304347826,0.47826086956521735,0.4834782608695652,0.5045289855072463,0.5134275362318841,0.05499187276455793,23
12,1.1799646377563477,0.011798766938751027,0.09398403167724609,0.001715031070389512,True,80,sqrt,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.4660869565217392,0.6252173913043478,0.48782608695652174,0.4704347826086957,0.516304347826087,0.5131739130434783,0.05873647533663935,24
120,0.7369703769683837,0.03906650560434771,0.056226348876953124,0.000242720867885512,True,60,sqrt,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.48086956521739127,0.6034782608695651,0.49826086956521737,0.4930434782608695,0.4900362318840579,0.5131376811594203,0.04552235740989901,25
119,0.4832812786102295,0.0029888620727437113,0.0453038215637207,0.010032302603040827,True,100,auto,6,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 500)])",0.46260869565217394,0.5904347826086956,0.5069565217391305,0.4930434782608696,0.5117753623188406,0.5129637681159421,0.0423596710909048,26
28,1.2482283592224122,0.08076454654040288,0.09371771812438964,0.001738987947897827,True,80,sqrt,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.4547826086956522,0.6295652173913043,0.48608695652173917,0.49913043478260866,0.4945652173913043,0.5128260869565218,0.06038721931906491,27
110,1.422038459777832,0.019441864278144226,0.11119999885559081,0.0024168298224183293,True,120,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.46608695652173915,0.6260869565217392,0.5026086956521739,0.4756521739130435,0.4936594202898551,0.5128188405797102,0.05807964640570789,28
