,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
58,1.3309354305267334,0.035214944085806825,0.08887257575988769,0.005002475697475119,True,40,auto,6,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 1000)])",0.4484848484848485,0.3333333333333333,0.6787878787878788,0.5333333333333333,0.6333333333333333,0.5254545454545454,0.12493671492581941,1
145,0.6833622455596924,0.03847159824095086,0.04824542999267578,0.0033119989562125705,True,80,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.4545454545454546,0.2848484848484849,0.6787878787878787,0.5266666666666667,0.66,0.520969696969697,0.1445225698166537,2
94,1.9323941707611083,0.021595698813627648,0.12632908821105956,0.0024037171563428346,True,40,auto,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.4181818181818182,0.32727272727272727,0.696969696969697,0.49333333333333335,0.6466666666666666,0.5164848484848485,0.13821924001518923,3
29,1.2897740364074708,0.008650005898346094,0.08881044387817383,0.0018941067525152227,True,40,sqrt,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.39999999999999997,0.3272727272727273,0.6666666666666667,0.52,0.6666666666666666,0.5161212121212121,0.13747057786891828,4
76,1.9321664810180663,0.024211262374102118,0.1377479076385498,0.023777271663295282,True,40,auto,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.41818181818181815,0.30909090909090914,0.6909090909090909,0.47333333333333333,0.6799999999999999,0.5143030303030303,0.14944899102460893,5
6,1.260455560684204,0.013728751476253567,0.08450274467468262,0.000352153632672188,True,120,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.4181818181818182,0.3090909090909091,0.6848484848484848,0.5066666666666667,0.6466666666666667,0.513090909090909,0.14000582435739767,6
27,1.2953134059906006,0.007025975131347294,0.08848185539245605,0.0014279272850106228,True,40,sqrt,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.4303030303030303,0.34545454545454546,0.6484848484848484,0.48000000000000004,0.66,0.5128484848484849,0.12325931812294041,7
147,0.6618494510650634,0.027071796057243844,0.04477801322937012,0.0025864586990657517,True,40,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.4181818181818182,0.38181818181818183,0.6545454545454545,0.5133333333333333,0.5933333333333334,0.5122424242424242,0.10264985014863484,8
72,1.9264244079589843,0.02153666904707186,0.16939201354980468,0.02515886599902886,True,40,auto,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.4303030303030303,0.32727272727272727,0.6727272727272727,0.4666666666666667,0.66,0.5113939393939394,0.1346024449325427,9
132,1.628659963607788,0.017196763549799546,0.14519186019897462,0.02759502996159392,True,40,sqrt,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.4303030303030303,0.3030303030303031,0.7090909090909091,0.48,0.6266666666666667,0.5098181818181817,0.1437610505993243,10
