,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
35,1.3707006454467774,0.2028085576952055,0.08500823974609376,0.025612459201344646,True,20,auto,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.5020424836601307,0.5445261437908496,0.5563725490196079,0.5324074074074074,0.5113636363636364,0.5293424440483263,0.02019450755023369,1
30,3.256469202041626,0.393797781932714,0.16214232444763182,0.043100431670053285,True,80,auto,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.5102124183006537,0.5216503267973855,0.5669934640522877,0.48947811447811446,0.5349326599326599,0.5246533967122203,0.025896738487161834,2
100,2.7566168308258057,0.3262823761957329,0.11994662284851074,0.033805775706753305,True,20,sqrt,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.502859477124183,0.5355392156862745,0.573529411764706,0.48442760942760943,0.5248316498316499,0.5242374727668846,0.03033025422365051,3
144,2.135525131225586,0.3034877241639064,0.11564006805419921,0.035589129773185166,True,60,sqrt,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.5069444444444444,0.511029411764706,0.5866013071895425,0.48190235690235694,0.5324074074074073,0.5237769855416914,0.03527236644390406,4
84,1.4895530223846436,0.3230115867583993,0.0989152431488037,0.003959418098579188,True,60,sqrt,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.5200163398692811,0.514297385620915,0.5718954248366014,0.47769360269360267,0.5307239057239057,0.5229253317488611,0.030290925289719044,5
70,3.3893224239349364,0.390338933446037,0.1676121711730957,0.034724207177506405,True,20,sqrt,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.4995915032679739,0.5151143790849673,0.5710784313725491,0.49368686868686873,0.5315656565656565,0.5222073677956031,0.027753072299975028,6
73,2.0585305213928224,0.2770631449539378,0.11319847106933593,0.03666306233061187,True,60,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.497140522875817,0.545343137254902,0.5571895424836601,0.4785353535353536,0.5315656565656566,0.5219548425430778,0.029603603300434576,7
76,2.1649068355560304,0.2944369879387101,0.1131822109222412,0.03650938866449123,True,20,sqrt,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.49468954248366015,0.5347222222222222,0.5727124183006536,0.47853535353535354,0.5256734006734006,0.521266587443058,0.03280074783548239,8
11,2.0599992752075194,0.261462015036402,0.0956125259399414,0.02983097321958474,True,,sqrt,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.5053104575163399,0.5265522875816994,0.5718954248366014,0.47264309764309764,0.5281986531986532,0.5209199841552783,0.03242687931573758,9
130,1.4330199718475343,0.21917615990256428,0.08506345748901367,0.019415420355977753,True,120,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.49959150326797386,0.5110294117647058,0.5702614379084967,0.5004208754208754,0.5231481481481481,0.52089027530204,0.026124625694001608,10
122,1.4383984565734864,0.19679003625609923,0.08576817512512207,0.022335998294323697,True,80,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.5012254901960784,0.5298202614379085,0.565359477124183,0.4743265993265993,0.5307239057239057,0.5202911467617349,0.03068237203649539,11
69,3.2977431774139405,0.4200647639253813,0.17883701324462892,0.051467674615272796,True,20,sqrt,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.502859477124183,0.5216503267973857,0.5702614379084967,0.4835858585858586,0.5206228956228955,0.5197959992077639,0.028805912087258023,12
104,2.215376853942871,0.2885413131247128,0.11584281921386719,0.03633000198753353,True,,sqrt,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.5053104575163399,0.516748366013072,0.5637254901960784,0.48358585858585856,0.5281986531986531,0.5195137651020003,0.026571788657041004,13
90,1.4942065715789794,0.20442530311387122,0.09377570152282715,0.016849844596400335,True,20,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.5004084967320263,0.4979575163398693,0.5612745098039216,0.4953703703703704,0.5408249158249158,0.5191671618142206,0.026870470495878065,14
16,3.8035869121551515,0.45292478169356243,0.18660445213317872,0.046174856953399825,True,100,sqrt,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.5077614379084967,0.5290032679738562,0.5637254901960784,0.47095959595959597,0.5231481481481481,0.518919588037235,0.030172157179513482,15
6,2.311921787261963,0.3077103427610628,0.11375398635864258,0.03129316386168712,True,120,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.5093954248366013,0.5159313725490196,0.5629084967320261,0.4776936026936027,0.5273569023569024,0.5186571598336304,0.027586551079491616,16
135,3.3334391117095947,0.40218697618641885,0.16299724578857422,0.04235306932222617,True,120,sqrt,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.4955065359477124,0.5053104575163399,0.5702614379084967,0.5029461279461279,0.5189393939393939,0.5185927906516141,0.02692204608414577,17
38,1.3177273750305176,0.20132322594799615,0.07374496459960937,0.019545237067590433,True,20,auto,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.5183823529411764,0.4979575163398693,0.5702614379084968,0.4827441077441078,0.5231481481481481,0.5184987126163596,0.0296693209698088,18
68,3.360771417617798,0.39175629301741727,0.16643571853637695,0.043629193259059194,True,20,sqrt,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.49387254901960786,0.5412581699346405,0.559640522875817,0.470959595959596,0.5265151515151515,0.5184491978609624,0.03206651845433256,19
67,3.4520840644836426,0.4578314931560284,0.17315006256103516,0.03812668902764058,True,20,sqrt,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.5110294117647058,0.5118464052287582,0.5604575163398693,0.4785353535353536,0.529040404040404,0.5181818181818182,0.026714341000307836,20
143,2.1470287799835206,0.2663150617599686,0.11416897773742676,0.03713253422961363,True,60,sqrt,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.5175653594771241,0.5102124183006536,0.5571895424836601,0.476010101010101,0.529040404040404,0.5180035650623885,0.026388246081146302,21
126,1.532244873046875,0.3303931497498581,0.09155812263488769,0.01721825030102313,True,80,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.5118464052287582,0.5273692810457516,0.5522875816993464,0.47264309764309764,0.5256734006734006,0.5179639532580709,0.026143494744132405,22
10,3.70741662979126,0.47317443799195497,0.1892989158630371,0.049132576220225925,True,,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.5036764705882353,0.5281862745098039,0.56781045751634,0.47264309764309764,0.5172558922558923,0.5179144385026738,0.031137665439416522,23
77,2.1766029357910157,0.26148186684895275,0.11251778602600097,0.03501624358640129,True,20,sqrt,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.5175653594771241,0.5151143790849673,0.5686274509803921,0.46338383838383834,0.5239898989898989,0.5177361853832442,0.0334368375360267,24
33,3.2772841930389403,0.41545705189007254,0.16031064987182617,0.02742711686167028,True,80,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.5126633986928104,0.5241013071895425,0.5661764705882353,0.45496632996633,0.5307239057239057,0.5177262824321648,0.03611493959436144,25
95,3.432112455368042,0.42356540794183856,0.1735361099243164,0.0352535789347102,True,20,sqrt,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.49550653594771243,0.5159313725490196,0.5669934640522877,0.476010101010101,0.5340909090909092,0.5177064765300059,0.031407746996121665,26
65,3.488050842285156,0.5056454242506057,0.17256178855895996,0.033453237360583,True,20,sqrt,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.5118464052287581,0.5322712418300654,0.5645424836601307,0.4524410774410774,0.5273569023569024,0.5176916221033867,0.03685861180620402,27
