,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21,1.1560547828674317,0.09104030161229491,0.11123862266540527,0.02757762205520987,True,120,sqrt,2,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 500)])",0.49930747922437674,0.6558171745152355,0.48891966759002764,0.5028490028490028,0.49999999999999994,0.5293786648357285,0.06339531891998772,1
144,1.9305319309234619,0.08253619773876399,0.12553348541259765,0.02242389986199713,True,,sqrt,2,4,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 750)])",0.4965373961218836,0.6655124653739612,0.43490304709141264,0.5128205128205128,0.4985380116959064,0.5216622866207353,0.07676484709599063,2
119,1.9503844261169434,0.17644493745036824,0.12351446151733399,0.03913100808432472,True,40,auto,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.47160664819944603,0.6779778393351801,0.4293628808864265,0.5220797720797721,0.5029239766081871,0.5207902234218024,0.08462481355041436,3
86,1.7718456268310547,0.07592235946009893,0.12427616119384766,0.026835887864063473,True,100,sqrt,2,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 750)])",0.49515235457063717,0.6502770083102494,0.4418282548476453,0.5156695156695157,0.4985380116959064,0.5202930290187908,0.06954030029312379,4
143,1.9557936668395997,0.16031580312650978,0.14164562225341798,0.03950399159759018,True,,sqrt,2,4,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 750)])",0.46191135734072025,0.6779778393351801,0.46260387811634346,0.4971509971509971,0.49999999999999994,0.5199288143886482,0.0806816639993629,5
67,1.8106089591979981,0.22346014126961786,0.12855777740478516,0.027691501906166,True,100,sqrt,2,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 750)])",0.5173130193905817,0.6599722991689752,0.3961218836565097,0.5156695156695157,0.5014619883040935,0.5181077412379352,0.08401161808264007,6
76,1.885319757461548,0.12958850569993044,0.15454540252685547,0.02315231693629571,True,100,sqrt,2,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 750)])",0.49792243767313016,0.6461218836565097,0.4238227146814403,0.51994301994302,0.5,0.51756201119082,0.07213113447904322,7
134,2.13067421913147,0.2699280787739546,0.11846833229064942,0.025769954733655714,True,100,sqrt,2,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 750)])",0.5173130193905817,0.6516620498614959,0.3961218836565097,0.5142450142450142,0.5014619883040935,0.516160791091539,0.0812292842031756,8
130,1.9274032592773438,0.20963708786333696,0.16610026359558105,0.035820763066325555,True,100,sqrt,2,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 750)])",0.4965373961218837,0.6585872576177286,0.40166204986149584,0.517094017094017,0.5,0.514776144139025,0.08250187098980948,9
117,1.8779370307922363,0.16500005592201794,0.11900415420532226,0.01997367725922314,True,100,sqrt,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.5034626038781164,0.6516620498614959,0.43213296398891965,0.5185185185185185,0.4663742690058479,0.5144300810505797,0.07490232398012388,10
