,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
95,1.2430608749389649,0.030516714816399393,0.08313822746276855,0.0011119320797499353,True,40,auto,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.6558171745152355,0.6198060941828254,0.41066481994459836,0.5769230769230769,0.466374269005848,0.5459170869143168,0.09286465599732383,1
21,1.2379183292388916,0.3180793044060213,0.09505109786987305,0.024985310253357294,True,120,sqrt,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.6045706371191135,0.5782548476454293,0.4245152354570637,0.6538461538461539,0.44736842105263164,0.5417110590240783,0.08999605428773637,2
52,1.187669038772583,0.009486002648949707,0.08475375175476074,0.0027819714136285614,True,20,sqrt,2,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 750)])",0.6239612188365651,0.6295013850415513,0.4120498614958448,0.5484330484330485,0.48391812865497075,0.5395727284923961,0.08324253952257654,3
68,1.3588851928710937,0.19493633483190256,0.09145097732543946,0.017700585278914743,True,120,sqrt,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.639196675900277,0.6198060941828255,0.42728531855955676,0.5498575498575499,0.45614035087719296,0.5384571978754804,0.08488969718266226,4
125,2.4453012466430666,0.031545486236042815,0.16931490898132323,0.01306663034254737,True,,auto,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6225761772853186,0.6198060941828254,0.4189750692520776,0.5612535612535613,0.46929824561403505,0.5383818295175635,0.08157478917775371,5
78,1.22702956199646,0.016095227189084273,0.08546147346496583,0.004249387733636785,True,,auto,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.6156509695290858,0.6378116343490305,0.39404432132963985,0.5612535612535613,0.48245614035087725,0.5382433253624389,0.08982296506040102,6
111,1.2085852146148681,0.009048204262783808,0.08166780471801757,0.000554091437918577,True,40,auto,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.6253462603878116,0.5976454293628809,0.39958448753462605,0.584045584045584,0.47953216374269003,0.5372307850147184,0.08471307545699487,7
106,1.286987590789795,0.020518174965260257,0.084830904006958,0.0018559224091649663,True,40,auto,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.6087257617728532,0.6198060941828255,0.4023545706371191,0.5854700854700855,0.46783625730994155,0.536838553874565,0.08632921631538482,8
37,2.797229528427124,0.7339779494206055,0.1887676239013672,0.05306034476068774,True,80,auto,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6211911357340719,0.6198060941828255,0.41481994459833793,0.5641025641025642,0.4590643274853802,0.535796813220636,0.08446803211519799,9
55,1.5742657661437989,0.02723877179964017,0.10996031761169434,0.002978433336933563,True,100,sqrt,2,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1000)])",0.621191135734072,0.6198060941828255,0.41897506925207756,0.5527065527065528,0.46491228070175433,0.5355182265154564,0.0816176912884807,10
58,1.5943472862243653,0.4340879904770324,0.10452446937561036,0.024354839839451102,True,100,auto,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.6128808864265929,0.6253462603878116,0.4245152354570637,0.5612535612535613,0.45321637426900585,0.535442463558807,0.0822333198636169,11
38,2.44055233001709,0.02790529701388435,0.16123857498168945,0.0013877419398409204,True,80,auto,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6308864265927977,0.6142659279778393,0.41897506925207756,0.5626780626780628,0.44883040935672514,0.5351271791715004,0.08617455695333305,12
49,1.2613150119781493,0.04198426124870124,0.08560719490051269,0.0021249818037844307,True,120,auto,2,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 750)])",0.6253462603878115,0.6170360110803325,0.4037396121883656,0.5584045584045584,0.47076023391812866,0.5350573351958394,0.08578595194113992,13
88,1.2571829795837401,0.01844051304862599,0.08431901931762695,0.0029541162334880285,True,,auto,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.5962603878116344,0.603185595567867,0.42313019390581724,0.576923076923077,0.47514619883040937,0.5349290906077611,0.0724664899464079,14
73,1.2193638324737548,0.008252901068760851,0.08465194702148438,0.0026184386982259058,True,80,auto,2,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 750)])",0.6114958448753463,0.6239612188365651,0.41620498614958445,0.5726495726495727,0.44883040935672514,0.5346284063735587,0.08569710184015518,15
134,2.4966039180755617,0.04745614723558164,0.1615656852722168,0.0026303847498155416,True,60,auto,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6211911357340719,0.6378116343490304,0.40789473684210525,0.5569800569800569,0.4473684210526316,0.5342491969915792,0.09199401063868642,16
28,2.1755277633666994,0.07712604916706747,0.13957481384277343,0.0037043176452527704,True,40,auto,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6253462603878117,0.6267313019390581,0.4120498614958448,0.5498575498575499,0.4546783625730994,0.5337326672506728,0.08758778070588197,17
85,1.3777071475982665,0.18628624802083835,0.08374152183532715,0.0022316720921662786,True,,auto,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.6018005540166205,0.6198060941828255,0.43559556786703596,0.5455840455840456,0.46491228070175433,0.5335397084704564,0.0728687545052738,18
86,1.2240060329437257,0.017572429048404347,0.08353586196899414,0.002834241122793125,True,,auto,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.6239612188365651,0.6239612188365651,0.4051246537396122,0.5726495726495726,0.4415204678362573,0.5334434263797145,0.09256306080408196,19
53,1.2887024402618408,0.08033333227200908,0.08443021774291992,0.0023352095279050487,True,,sqrt,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.6267313019390582,0.6170360110803323,0.3926592797783934,0.5683760683760685,0.4619883040935672,0.5333581930534839,0.09147306874894058,20
89,1.237267303466797,0.011729066022463038,0.08393220901489258,0.0028120194402486702,True,,auto,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.639196675900277,0.6170360110803325,0.4051246537396122,0.5626780626780628,0.4415204678362573,0.5331111742469083,0.09374552759724666,21
39,1.8260000228881836,0.006606601631761204,0.13938555717468262,0.015851575020419197,True,60,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.5824099722991689,0.5740997229916897,0.420360110803324,0.6424501424501425,0.445906432748538,0.5330452762585726,0.08530286058518927,22
32,2.3839954853057863,0.17642753924529184,0.1586153030395508,0.0034558669314141617,True,120,sqrt,4,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6004155124653737,0.5990304709141274,0.3871191135734072,0.6310541310541311,0.4473684210526316,0.5329975298119343,0.09709118119995226,23
56,1.1719817161560058,0.014671630178340219,0.08450174331665039,0.0027529617438830432,True,20,sqrt,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.621191135734072,0.6281163434903047,0.4092797783933517,0.537037037037037,0.4692982456140351,0.5329845080537601,0.08509488637434745,24
144,2.427883768081665,0.02842581781490661,0.16825194358825685,0.017282324115173008,True,120,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6101108033240997,0.6156509695290859,0.42313019390581713,0.5584045584045585,0.45614035087719296,0.5326873752081509,0.07924763923836277,25
130,2.932352638244629,0.5709709731422997,0.16324586868286134,0.004163369560419916,True,,auto,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6073407202216066,0.6391966759002771,0.42036011080332414,0.5299145299145299,0.46637426900584794,0.5326372611691171,0.08238916379285734,26
105,1.0371193408966064,0.29057236693064536,0.07288689613342285,0.01957563667912427,True,120,auto,2,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 500)])",0.6045706371191136,0.6156509695290859,0.4009695290858726,0.5740740740740742,0.466374269005848,0.5323278957627988,0.08427264453256383,27
81,1.9830363273620606,0.02097402674437963,0.1377251625061035,0.004330228005892998,True,60,sqrt,2,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1250)])",0.633656509695291,0.6156509695290858,0.42174515235457066,0.5441595441595443,0.44590643274853803,0.532223721697406,0.08607830002406196,28
143,2.392417287826538,0.03150808504383324,0.16383213996887208,0.005021010901257523,True,100,sqrt,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6225761772853186,0.6045706371191136,0.4245152354570637,0.5441595441595442,0.4649122807017544,0.5321467749445589,0.07703508908637977,29
128,2.452222967147827,0.02893538782931907,0.16095247268676757,0.004107983059913263,True,,auto,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6101108033240997,0.6225761772853186,0.42590027700831024,0.5427350427350429,0.45906432748538006,0.5320773255676302,0.07873667033592034,30
23,1.1461767196655273,0.007183590277990621,0.08156051635742187,0.0017519617991176401,True,60,auto,4,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 750)])",0.600415512465374,0.5907202216066482,0.4023545706371191,0.6253561253561254,0.4415204678362573,0.5320733795803048,0.09147520875667206,31
57,1.1907422065734863,0.015011385311180483,0.08397884368896484,0.0017117686865468597,True,80,sqrt,2,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 750)])",0.6488919667590027,0.6295013850415512,0.396814404432133,0.5484330484330484,0.43567251461988304,0.5318626638571237,0.1009894375083121,32
133,2.467841148376465,0.033029560488765417,0.1754669189453125,0.01943251477301622,True,,auto,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6516620498614958,0.6211911357340719,0.4009695290858726,0.5427350427350428,0.44005847953216376,0.5313232473897294,0.09798902340216474,33
