,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
29,0.790991735458374,0.002545294359806736,0.06074910163879395,0.0006851969180977532,True,60,sqrt,2,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 750)])",0.625494071146245,0.6936758893280632,0.6314229249011858,0.5268595041322315,0.625,0.620490477901545,0.05345606387861612,1
70,0.743311595916748,0.007265228481498064,0.05812568664550781,0.0009917007588546142,True,80,sqrt,2,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 750)])",0.6294466403162055,0.6739130434782609,0.6511857707509882,0.5289256198347108,0.6002066115702479,0.6167355371900827,0.05020247987604158,2
118,1.4826228141784668,0.007707531169003266,0.11058135032653808,0.0012834703412900198,True,80,sqrt,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.633399209486166,0.6620553359683794,0.6274703557312253,0.5330578512396694,0.6270661157024794,0.6166097736255839,0.043715890385199345,3
139,1.4610451698303222,0.005771816009629912,0.11320219039916993,0.006749603489049369,True,60,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6353754940711462,0.6739130434782609,0.6393280632411067,0.5165289256198347,0.6146694214876033,0.6159629895795904,0.053234926765541764,4
99,1.4665497303009034,0.005781360437252673,0.11076316833496094,0.0006896250142857747,True,80,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6116600790513834,0.6936758893280632,0.6314229249011858,0.5227272727272727,0.618801652892562,0.6156575637800934,0.05476734411718872,5
95,1.471898889541626,0.0020293914317564125,0.10925931930541992,0.001415754411490819,True,80,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6413043478260869,0.6778656126482214,0.633399209486166,0.5123966942148761,0.6105371900826446,0.615100610851599,0.05573121081689253,6
100,1.490941572189331,0.018290419586980047,0.10970382690429688,0.0008793942181145766,True,80,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6452569169960475,0.6699604743083004,0.6254940711462451,0.5289256198347108,0.6043388429752066,0.614795185052102,0.04810095578188263,7
101,1.4885780811309814,0.026928246114613072,0.11010503768920898,0.0021073467251932127,True,80,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6156126482213439,0.6897233201581028,0.6492094861660078,0.5289256198347108,0.5898760330578512,0.6146694214876034,0.054394310515016836,8
136,1.4810501098632813,0.019079127364209265,0.1104051113128662,0.0016295408416991087,True,60,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6314229249011858,0.6660079051383399,0.6413043478260869,0.518595041322314,0.612603305785124,0.6139867049946102,0.05071087443622688,9
146,1.4801721572875977,0.010641148249859244,0.10957989692687989,0.0014509862601617511,True,60,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6294466403162056,0.6739130434782608,0.6353754940711462,0.53099173553719,0.6002066115702479,0.6139867049946102,0.04767748288739198,9
