,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
82,3.10908899307251,0.20530436226384535,0.16645941734313965,0.03757928390028426,True,40,sqrt,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6750234741784038,0.6327699530516432,0.5952067669172932,0.575563909774436,0.7764761904761905,0.6510080588795935,0.07135436152243246,1
62,1.8445043087005615,0.22861053886312724,0.0939568042755127,0.01642548657948558,True,,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.6769014084507042,0.6353990610328638,0.594078947368421,0.5768796992481202,0.769047619047619,0.6504613470295457,0.06867588674392416,2
49,2.143056058883667,0.47921832629754396,0.11413564682006835,0.01785712793112543,True,20,sqrt,8,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1000)])",0.672018779342723,0.6305164319248825,0.5912593984962404,0.5783834586466166,0.7759047619047619,0.649616566063045,0.07112678439448863,3
88,3.3466636180877685,0.3990870053288127,0.17092514038085938,0.026783409294150934,True,40,sqrt,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6697652582159624,0.6318309859154929,0.5953947368421053,0.5770676691729323,0.7739999999999999,0.6496117300292986,0.06985253664929815,4
1,1.077897834777832,0.0799830501082283,0.06578230857849121,0.012655166419565449,True,120,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.6682629107981221,0.6329577464788733,0.5955827067669174,0.5828947368421054,0.7680952380952382,0.6495586677962513,0.06638349471428086,5
56,2.8420561790466308,0.12296537196940262,0.16282296180725098,0.035000852743205114,True,40,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.672018779342723,0.6322065727699531,0.587875939849624,0.5783834586466166,0.7764761904761905,0.6493921882170215,0.07181105781545752,6
125,2.346379852294922,0.5082943242713555,0.1211430549621582,0.021810240131339427,True,40,sqrt,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.6684507042253521,0.6303286384976525,0.5944548872180451,0.575563909774436,0.7764761904761905,0.6490548660383353,0.07119711005109411,7
142,2.9763508319854735,0.6897263899784426,0.1543745517730713,0.03666233509353534,True,40,sqrt,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.6795305164319249,0.6284507042253522,0.5905075187969925,0.5780075187969924,0.7682857142857142,0.6489563945073953,0.06934660894454131,8
149,2.5803470611572266,0.3969942207911208,0.12513699531555175,0.021077281040535547,True,20,sqrt,6,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1000)])",0.6661971830985915,0.6299530516431925,0.5963345864661654,0.5827067669172932,0.7694285714285716,0.6489240319107629,0.06682810762554171,9
65,2.8447335243225096,0.06996412520421776,0.16457061767578124,0.03575880570422024,True,40,sqrt,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6692018779342723,0.6276995305164319,0.5978383458646616,0.5778195488721805,0.7715238095238096,0.6488166225422711,0.06864096898016857,10
