,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
117,2.295661211013794,0.46614635377731295,0.1443711757659912,0.03835943395852526,True,80,auto,4,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1000)])",0.4403195488721805,0.47114661654135337,0.49847619047619046,0.593047619047619,0.5434285714285714,0.509283709273183,0.05386939746592504,1
130,1.8627798557281494,0.05643683858809702,0.12328524589538574,0.002659548609826431,True,80,sqrt,4,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1000)])",0.4320488721804512,0.4641917293233083,0.5028571428571429,0.5861904761904762,0.5605714285714286,0.5091719298245614,0.05759310019038968,2
51,2.3094295501708983,0.07980431250503373,0.1521094799041748,0.0017820800836794663,True,40,auto,4,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1250)])",0.42095864661654137,0.48280075187969923,0.49257142857142855,0.5934285714285714,0.5510476190476191,0.5081614035087719,0.05933000621525568,3
9,1.5336601734161377,0.256392362009531,0.10878877639770508,0.02969204492252956,True,120,sqrt,4,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 750)])",0.42471804511278194,0.4737781954887218,0.499047619047619,0.5884761904761905,0.552,0.5076040100250626,0.057617348484323996,4
33,3.5426774501800535,0.8106937464996828,0.2097625255584717,0.05992550810289072,True,20,sqrt,4,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 1500)])",0.4230263157894737,0.47077067669172934,0.4876190476190476,0.593047619047619,0.5603809523809522,0.5069689223057644,0.061633560361548816,5
104,2.298648452758789,0.5380265683223201,0.14468016624450683,0.03985502426514955,True,80,auto,4,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1000)])",0.41983082706766917,0.4718984962406015,0.4893333333333333,0.5919047619047618,0.5588571428571428,0.5063649122807017,0.06170681739377454,6
135,2.965421772003174,0.2513230126214823,0.18489928245544435,0.0055346058647229475,True,60,sqrt,4,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 1500)])",0.4297932330827068,0.46907894736842104,0.5007619047619047,0.5865714285714286,0.5436190476190477,0.5059649122807018,0.054963651230970106,7
40,3.1404207229614256,0.7162795887146322,0.21393380165100098,0.05841035520249523,True,20,sqrt,4,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1500)])",0.42603383458646615,0.47734962406015036,0.49676190476190474,0.5707619047619048,0.5588571428571428,0.5059528822055138,0.053457917683061955,8
67,1.367851734161377,0.03257560384720921,0.09431805610656738,0.0020517028039381013,True,100,sqrt,4,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 750)])",0.44088345864661654,0.48073308270676696,0.48323809523809524,0.5800952380952381,0.5443809523809524,0.5058661654135339,0.04971880455380296,9
87,2.8681573390960695,0.0651628022951743,0.18128042221069335,0.004191846059844298,True,80,auto,4,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 1500)])",0.42791353383458647,0.4764097744360902,0.48457142857142854,0.5968571428571429,0.5426666666666667,0.505683709273183,0.05836304648334096,10
