,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
134,2.245432949066162,0.4511543335719572,0.1695096015930176,0.03630734907168629,True,20,auto,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.6917586600685193,0.5976190476190476,0.5707619047619048,0.6044761904761905,0.7522857142857143,0.6433803034422753,0.0679439596548984,1
33,3.6028879642486573,0.42612297349970363,0.20603618621826172,0.05724115518397681,True,120,auto,6,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6866197183098591,0.5926666666666667,0.5705714285714286,0.5993333333333334,0.7658095238095238,0.6430001341381624,0.07303557919955093,2
39,4.093037414550781,0.3462606949385122,0.16279168128967286,0.05975557421679733,True,20,sqrt,6,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 1250)])",0.7067948229920061,0.5919047619047619,0.5680952380952381,0.6000952380952381,0.7479047619047619,0.6429589645984013,0.07090422469427007,3
112,3.2018961906433105,0.7543867350663683,0.1987250804901123,0.0621797845035406,True,60,sqrt,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.696516939474686,0.596095238095238,0.5656190476190477,0.5983809523809523,0.7566666666666667,0.6426557688473181,0.07205873900863434,4
48,2.1055500984191893,0.2683849711092753,0.09452238082885742,0.02607710468744254,True,40,sqrt,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.6881423677198325,0.5943809523809525,0.5646666666666667,0.6014285714285714,0.762952380952381,0.6423141878296807,0.07300981022273191,5
142,2.071223020553589,0.3486410321327863,0.15724587440490723,0.04015597208396343,True,20,auto,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.6839550818424058,0.5945714285714286,0.5781904761904761,0.6042857142857143,0.75,0.642200540178005,0.06506538230746065,6
32,1.232325506210327,0.41003782831303515,0.06448264122009277,0.021450205684021992,True,40,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6877617053673392,0.6006666666666667,0.5740000000000001,0.5957142857142858,0.7526666666666667,0.6421618648829918,0.06755135169546166,7
105,1.30366792678833,0.25699372568058526,0.07237067222595214,0.03796879254882532,True,60,auto,6,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 500)])",0.7045108488770461,0.5884761904761905,0.5738095238095239,0.6008571428571429,0.742952380952381,0.6421212173944568,0.06827355256891565,8
79,1.4270848274230956,0.18610618401101647,0.10998301506042481,0.02994060500235025,True,,sqrt,6,3,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 750)])",0.6963266082984393,0.584095238095238,0.5644761904761905,0.6025714285714285,0.7587619047619049,0.6412462740406402,0.07416117177871473,9
115,2.127938079833984,0.3719460703752258,0.1322319984436035,0.035029628011064864,True,20,sqrt,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.6883326988960792,0.5917142857142857,0.5675238095238095,0.6002857142857144,0.7581904761904763,0.641209396922073,0.07135721143648144,10
95,3.307885217666626,0.26940724551099027,0.20047435760498047,0.08531138518741656,True,120,auto,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6902360106585459,0.5951428571428572,0.568095238095238,0.5968571428571429,0.7555238095238095,0.6411710116555187,0.07057806339738681,11
6,2.836118745803833,0.6891101461045919,0.13015565872192383,0.05215596533718366,True,120,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.6883326988960793,0.5917142857142857,0.5778095238095238,0.5928571428571429,0.754952380952381,0.6411332064458826,0.06923191951322323,12
84,4.0865731716156,0.7740388009560725,0.18832154273986818,0.05055820621849615,True,,sqrt,4,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6968976018271793,0.5941904761904762,0.5648571428571428,0.5991428571428572,0.7503809523809524,0.6410938060797216,0.07046925181553482,13
98,2.6551557064056395,0.3969936092117766,0.12589139938354493,0.03106393261498344,True,60,sqrt,4,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 1000)])",0.6982299200609059,0.606952380952381,0.5720952380952381,0.5999047619047618,0.7282857142857142,0.6410936030598002,0.06081108621123129,14
64,3.6250423431396483,0.42669462009013553,0.19478044509887696,0.08102747869035619,True,40,auto,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6828130947849258,0.5941904761904762,0.5684761904761906,0.6006666666666667,0.7589523809523809,0.641019761814128,0.07034018674993726,15
117,4.391018581390381,0.5400702295363534,0.17785277366638183,0.02936240444027858,True,40,auto,2,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6877617053673392,0.589047619047619,0.5631428571428572,0.5985714285714286,0.7665714285714287,0.6410190077401345,0.07551927861126398,16
26,1.160378360748291,0.14630277488771817,0.09770097732543945,0.0470539082614345,True,40,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.702226874762086,0.5875238095238096,0.5751428571428572,0.5924761904761905,0.7467619047619047,0.6408263273333696,0.06997940580610494,17
18,4.17693305015564,0.5070346064207487,0.2434840679168701,0.09790250158599507,True,60,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6856680624286258,0.5898095238095239,0.569047619047619,0.5981904761904762,0.7610476190476191,0.6407526601047728,0.0721617988427859,18
49,1.8620018482208252,0.30069061564485966,0.13529448509216307,0.054699312096012344,True,40,auto,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.6898553483060526,0.5898095238095238,0.5726666666666667,0.5968571428571429,0.7543809523809525,0.6407139268040677,0.06997167622022103,19
91,0.9317863941192627,0.09298918894268847,0.05870089530944824,0.013176808500003802,True,,sqrt,4,3,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 500)])",0.6843357441948991,0.581047619047619,0.5648571428571428,0.6132380952380954,0.7587619047619047,0.6404481012199322,0.07198204777374215,20
20,4.519016885757447,0.48312569723298987,0.20854315757751465,0.03623775792700558,True,60,auto,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6911876665397791,0.5898095238095239,0.5696190476190476,0.6008571428571429,0.7505714285714284,0.6404089618793845,0.06906534209949726,21
45,3.966734457015991,0.3263904192528984,0.16960358619689941,0.03452197033082509,True,40,auto,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6868100494861059,0.5943809523809525,0.5600952380952381,0.6014285714285714,0.7587619047619047,0.6402953432305545,0.07245516986415072,22
139,2.450603151321411,0.5642012283848349,0.16385354995727539,0.07383074154632248,True,20,auto,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.6704415683288922,0.5957142857142858,0.5698095238095238,0.6054285714285714,0.758952380952381,0.6400692660467308,0.06805798283632562,23
140,2.444606399536133,0.24956097524019516,0.169564151763916,0.0571469318542282,True,20,auto,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.6845260753711457,0.5938095238095239,0.5759047619047619,0.594952380952381,0.7511428571428571,0.6400671198361338,0.0672403616520912,24
60,4.6472625732421875,0.22286344357569088,0.23463587760925292,0.0586028512851236,True,120,auto,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6852874000761325,0.5905714285714286,0.5736190476190476,0.6000952380952381,0.7498095238095238,0.6398765276342742,0.06715803516028736,25
144,1.549661350250244,0.1300690140165952,0.12209391593933105,0.029148169560139017,True,20,auto,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.6904263418347925,0.5924761904761905,0.5679047619047619,0.6023809523809524,0.7461904761904762,0.6398757445574347,0.06736554691940527,26
10,1.1742856979370118,0.3242751326889955,0.05278501510620117,0.01306087055761718,True,40,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6704415683288923,0.6006666666666667,0.5751428571428572,0.6033333333333333,0.7488571428571429,0.6396883136657785,0.0630461504401906,27
47,4.715516424179077,0.5073434205623734,0.3047188282012939,0.12947207649470444,True,80,auto,4,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6974685953559193,0.5915238095238096,0.565047619047619,0.5991428571428572,0.7446666666666667,0.6395699095473744,0.06912876716717871,28
69,1.0585461616516114,0.26477349845563874,0.05607972145080566,0.012851105195827621,True,100,sqrt,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.6841454130186525,0.5793333333333333,0.5722857142857143,0.5960952380952382,0.7656190476190476,0.6394957492703972,0.07472748935092982,29
27,3.525919532775879,0.20488950050035457,0.2722571849822998,0.08816803599257081,True,60,auto,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.6868100494861058,0.593047619047619,0.5705714285714286,0.5997142857142856,0.7471428571428572,0.6394572479924593,0.06680881836125811,30
125,3.007749652862549,0.7223147126547417,0.20569291114807128,0.08442659353624866,True,20,sqrt,8,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1000)])",0.6843357441948991,0.5907619047619048,0.5680952380952381,0.601047619047619,0.7528571428571429,0.6394195297913609,0.0690111309398609,31
58,4.175771617889405,0.5797496727641037,0.20897083282470702,0.04660975223407186,True,40,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6828130947849258,0.5924761904761906,0.5719047619047619,0.602,0.7477142857142858,0.6393816665760328,0.06598922741446264,32
16,1.714583683013916,0.39280178367222596,0.10926294326782227,0.026089318835025327,True,120,auto,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.6828130947849258,0.5873333333333333,0.57,0.5985714285714286,0.7578095238095238,0.6393054760998422,0.07085158781063468,33
1,1.0394559860229493,0.20586162408837963,0.07177090644836426,0.017873384873214635,True,120,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.6894746859535592,0.5879047619047618,0.5743809523809524,0.5978095238095238,0.7469523809523809,0.6393044610002356,0.06735569314155275,34
122,1.0329501152038574,0.18423444592234453,0.05666065216064453,0.010924793914133634,True,20,sqrt,4,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 500)])",0.6900456794822991,0.5995238095238095,0.5534285714285715,0.5985714285714286,0.7541904761904762,0.639151993039317,0.07264943231629678,35
59,3.719924306869507,0.17004942249117658,0.24422078132629393,0.09314060765702252,True,60,sqrt,6,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6890940236010659,0.5920952380952381,0.5639047619047619,0.5949523809523809,0.7553333333333334,0.639075947577356,0.07186427627479894,36
90,0.9465866088867188,0.1231078159914213,0.07262730598449707,0.013268808205355883,True,40,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6919489912447658,0.5835238095238096,0.5713333333333334,0.6052380952380952,0.7431428571428571,0.6390374172965722,0.06700085830513768,37
99,3.6008862495422362,0.35931674895077204,0.20899853706359864,0.07506614413245047,True,40,auto,6,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1500)])",0.7047011800532927,0.5907619047619048,0.5581904761904762,0.5955238095238096,0.7458095238095238,0.6389973788678014,0.07276289096964782,38
57,3.0757392406463624,0.3077192008732171,0.16514148712158203,0.04881199300360546,True,40,auto,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6852874000761324,0.5936190476190476,0.5677142857142856,0.5974285714285714,0.7507619047619047,0.6389622419199884,0.06856020304396734,39
42,3.67557692527771,0.39478400733197366,0.1605844020843506,0.07290488755794064,True,20,auto,6,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6989912447658927,0.5894285714285714,0.5644761904761905,0.597047619047619,0.7448571428571429,0.6389601537150833,0.07010820663507758,40
120,3.5724414348602296,0.8291532328941437,0.21834135055541992,0.09212961850685988,True,60,sqrt,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6906166730110392,0.5951428571428572,0.5562857142857143,0.601047619047619,0.7513333333333333,0.6388852393641126,0.0713981486052118,41
37,3.8523150444030763,0.38694184576379376,0.16513314247131347,0.05345198307593481,True,120,auto,4,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 1250)])",0.6944232965359726,0.5846666666666667,0.5562857142857143,0.6000952380952381,0.7589523809523809,0.6388846593071945,0.07585195270905581,42
28,1.6256378173828125,0.2344531442967768,0.0883852481842041,0.04793275150161388,True,40,sqrt,4,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 500)])",0.6957556147696993,0.5955238095238096,0.5538095238095238,0.5907619047619047,0.7585714285714287,0.6388844562872732,0.07614849938223689,43
53,3.720223045349121,0.21305450475544938,0.16556177139282227,0.036604285832137554,True,60,sqrt,4,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6968976018271793,0.5823809523809524,0.569047619047619,0.5962857142857143,0.7496190476190475,0.6388461870321025,0.07143129574579321,44
118,3.1267708778381347,0.6713075777179413,0.2598838806152344,0.09403636914725326,True,60,sqrt,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6868100494861058,0.594,0.5616190476190477,0.5978095238095238,0.7538095238095238,0.6388096289448402,0.0709595849814832,45
66,4.669165897369385,0.601305868133293,0.16655545234680175,0.04533410249973544,True,20,sqrt,4,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6934716406547392,0.5873333333333333,0.565047619047619,0.598,0.7501904761904762,0.6388086138452336,0.0709220664966176,46
2,2.2195199489593507,0.32502761000731184,0.12439408302307128,0.03277272779588042,True,,auto,4,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1000)])",0.6948039588884659,0.5898095238095238,0.5635238095238095,0.6002857142857143,0.7454285714285716,0.6387703155872171,0.06936283307985064,47
149,2.6103830337524414,0.1444555636056412,0.15233144760131836,0.03779416553049456,True,20,auto,6,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1000)])",0.6898553483060526,0.5941904761904762,0.5633333333333334,0.5981904761904762,0.747904761904762,0.6386948791850201,0.0690576617405266,48
43,1.7220454216003418,0.20135555318744877,0.05814833641052246,0.01630526365073461,True,120,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6816711077274458,0.5903809523809523,0.5709523809523809,0.5940000000000001,0.7560952380952382,0.6386199358312034,0.07007237148097514,49
25,3.2013198375701903,0.8430056556812501,0.10472936630249023,0.025745737842379744,True,80,auto,6,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1000)])",0.6831937571374191,0.5926666666666667,0.5703809523809524,0.5987619047619048,0.747904761904762,0.638581608570341,0.06676363660080976,50
4,2.3553163051605224,0.2769832929640438,0.27133631706237793,0.12426783742021233,True,80,sqrt,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.6898553483060526,0.593047619047619,0.5623809523809523,0.5930476190476192,0.7543809523809524,0.6385424982326391,0.07209952173595217,51
73,3.6825607776641847,0.9037452676695308,0.15016098022460939,0.02898114384368651,True,40,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6850970688998858,0.5945714285714285,0.5715238095238095,0.5951428571428571,0.7461904761904762,0.6385051280656915,0.06642875382829287,52
