,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
119,1.5886357784271241,0.0184130140559669,0.09371066093444824,0.0035572246731232792,True,120,auto,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.5939284354777312,0.6201904761904762,0.44352380952380954,0.5623809523809523,0.6063809523809525,0.5652809251907843,0.06380933462981711,1
125,0.669501543045044,0.04732083543292822,0.0406186580657959,0.0017257797122198853,True,120,sqrt,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.5792729349067377,0.6208571428571429,0.44923809523809527,0.576,0.5983809523809523,0.5647498250765857,0.05993251324200817,2
1,0.6907901287078857,0.009317640856573483,0.04392375946044922,0.0014771200284631684,True,120,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.5811762466692044,0.6240952380952381,0.4494285714285714,0.5543809523809524,0.6112380952380952,0.5640638207624123,0.06222060219836348,3
29,1.6277731895446776,0.010265785338618504,0.09862651824951171,0.0054298429169539605,True,,sqrt,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.5931671107727445,0.6160952380952381,0.44923809523809527,0.5514285714285714,0.6090476190476191,0.5637953269164537,0.061517555722638874,4
104,1.6250815868377686,0.012824553776181925,0.09659824371337891,0.004403909338695028,True,,sqrt,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.5880281690140845,0.6236190476190476,0.45571428571428574,0.5477142857142857,0.6034285714285715,0.5637008718980551,0.05945917760972824,5
94,0.6622941493988037,0.028099651200010983,0.03923463821411133,0.0016614856901608459,True,20,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.5870765131328511,0.6063809523809524,0.4400952380952381,0.5598095238095239,0.6246666666666666,0.5636057788170464,0.0653885128890463,6
128,0.6314449310302734,0.006805939838944187,0.040559005737304685,0.0014151029944621586,True,120,sqrt,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.602683669585078,0.6136190476190476,0.4484761904761905,0.5541904761904762,0.5958095238095238,0.5629557815360633,0.060674290020466454,7
58,1.6289710521697998,0.012161037323352152,0.1008415699005127,0.004305618058123859,True,60,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.5840312143129045,0.617904761904762,0.4524761904761905,0.5547619047619048,0.6051428571428571,0.5628633857197237,0.05918809108419794,8
23,0.6793474674224853,0.009055614320030771,0.04331679344177246,0.0030406266192647643,True,100,auto,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.5958317472401979,0.6206666666666667,0.43666666666666665,0.5587619047619048,0.6023809523809524,0.5628615875432778,0.06623021101285566,9
27,1.6318255424499513,0.09267614373694127,0.10150604248046875,0.009884485966175792,True,,sqrt,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.5811762466692044,0.6130476190476191,0.4484761904761905,0.5643809523809524,0.6062857142857143,0.5626733445719362,0.05970907742549823,10
7,0.6872368335723877,0.009960705789498522,0.04498014450073242,0.0017986260542522925,True,,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.5834602207841644,0.6007619047619048,0.45152380952380955,0.5659047619047619,0.6094285714285714,0.5622158536806424,0.05732800116564038,11
148,1.6404419422149659,0.025920037571552496,0.11022300720214843,0.00680851326522156,True,40,auto,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.5901218119527979,0.6149523809523809,0.4471428571428572,0.5623809523809524,0.5964761904761905,0.5622148385810357,0.05995911319845938,12
57,1.6793116569519042,0.03270705642801381,0.09955554008483887,0.005712201963978971,True,60,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.5916444613627712,0.6174285714285714,0.442,0.5599047619047619,0.5998095238095239,0.5621574637011256,0.06290460517226686,13
