,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
102,0.716480827331543,0.1420626839771888,0.04473099708557129,0.007038370478705708,True,,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.58569419328913,0.5401848503114326,0.5510347598955194,0.5699216395418927,0.6046370967741934,0.5702945079624336,0.023213065824123285,1
69,0.9417927742004395,0.015278720760469872,0.06058712005615234,0.0018013483794428514,True,100,sqrt,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.5786618444846293,0.5343580470162749,0.5518384569017479,0.5807715491259795,0.6002016129032257,0.5691663020863715,0.023237497462305964,2
44,1.5635320663452148,0.018827626541676544,0.10064239501953125,0.004151877325879737,True,100,sqrt,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.5864978902953586,0.5421940928270043,0.5387783805505324,0.5779586096041793,0.5969758064516129,0.5684809559457374,0.02366277458503537,3
49,1.5956987380981444,0.005882807960281819,0.0974318504333496,0.0042586206506037205,True,20,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.5957404058669881,0.5305404862366888,0.5395820775567611,0.5755475185854932,0.5987903225806451,0.5680401621653152,0.028232337988412518,4
126,1.7572911262512207,0.3174373115514968,0.10225858688354492,0.01150560456554621,True,100,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.5905163753265019,0.5335543500100463,0.5407876230661041,0.5743419730761503,0.6000000000000001,0.5678400642957605,0.026450316235606352,5
85,0.9749655723571777,0.047930279351544064,0.05808181762695312,0.0031266486892612844,True,100,sqrt,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.584488647779787,0.5472171991159333,0.5514366083986336,0.5693188667872212,0.5858870967741936,0.5676696837711537,0.016120101464255503,6
29,0.982392406463623,0.05683820958842867,0.0582768440246582,0.0033988329270776356,True,80,sqrt,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.5850914205344585,0.5323488045007032,0.5460116536065902,0.5737392003214788,0.6008064516129032,0.5675995061152268,0.02511975909332129,7
39,1.8728281497955321,0.011239888922745361,0.12323637008666992,0.014534640083153388,True,100,sqrt,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.5879043600562588,0.5383765320474181,0.5407876230661041,0.5745428973277075,0.5953629032258065,0.567394863144659,0.02368102145810685,8
91,1.970068597793579,0.10905603703896441,0.12360873222351074,0.020300896567801863,True,40,auto,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.580671087000201,0.5363672895318464,0.5462125778581474,0.57152903355435,0.6008064516129032,0.5671172879114895,0.02332680013639875,9
46,0.6942846298217773,0.13497509120872747,0.04289689064025879,0.007241392579447319,True,100,sqrt,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.5774562989752863,0.5415913200723327,0.5496282901346192,0.5741410488245932,0.591733870967742,0.5669101657949147,0.018544164084780428,10
