,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
56,1.4572641372680664,0.04636713609019647,0.08811445236206054,0.005128867840309428,True,,auto,6,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1000)])",0.4283705043198714,0.4185252159935704,0.6169379144062687,0.5879043600562588,0.5058467741935483,0.5115169537939035,0.08067411117314888,1
32,0.6956689834594727,0.012839920077717809,0.0418607234954834,0.001965958769256481,True,20,auto,6,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 500)])",0.4235483222824995,0.41510950371709865,0.5876029736789229,0.5969459513763312,0.5167338709677419,0.5079881244045188,0.07756935690165875,2
135,0.6985958099365235,0.013783772720163746,0.044110441207885744,0.001172777162519653,True,40,sqrt,6,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 500)])",0.42354832228249956,0.41531042796865575,0.6076953988346392,0.5909182238296162,0.4997983870967742,0.507454152002437,0.08075125228569842,3
107,1.072889757156372,0.03956125950297566,0.06704845428466796,0.004104995052340958,True,40,sqrt,6,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 750)])",0.4185252159935704,0.40867992766726935,0.6046815350612819,0.5963431786216596,0.502016129032258,0.5060491972752079,0.08371239899484868,4
49,0.6955282688140869,0.014353057234037703,0.04574880599975586,0.0029414444129607716,True,,sqrt,6,3,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 500)])",0.40245127586899737,0.41209563994374127,0.6107092626079967,0.5840867992766727,0.5201612903225807,0.5059008536039977,0.08579328411650994,5
131,1.0540768146514892,0.023777866597900026,0.06516385078430176,0.0022829055606855744,True,40,sqrt,6,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 750)])",0.4193289129997991,0.42756680731364277,0.5821780188868795,0.5860960417922444,0.5141129032258065,0.5058565368436744,0.07203863657711958,6
43,1.3734425067901612,0.02825855144616397,0.08425946235656738,0.009344505945192198,True,,auto,6,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1000)])",0.425356640546514,0.4076753064094837,0.601466747036367,0.5860960417922444,0.5074596774193548,0.5056108826407928,0.07962630983622952,7
120,0.7451951503753662,0.015274557357084838,0.049514245986938474,0.0016349394184197257,True,,auto,6,3,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 500)])",0.41510950371709865,0.4215390797669279,0.5994575045207956,0.5668073136427566,0.5237903225806452,0.5053407448456448,0.07502117887050733,8
62,1.347823429107666,0.027464335367671476,0.08244833946228028,0.0019405708062491507,True,100,sqrt,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.4245529435402853,0.4111914808117339,0.5793650793650792,0.5980510347598955,0.5110887096774193,0.5048498496308825,0.07680805546823692,9
70,0.7433428287506103,0.04539016425436657,0.04599418640136719,0.00367575687991233,True,,auto,6,6,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 500)])",0.415511352220213,0.41731967048422747,0.6030741410488246,0.578963230861965,0.50625,0.5042236789230461,0.0784649017782877,10
86,0.6945090770721436,0.022248346998587628,0.04542961120605469,0.002275078749183087,True,80,auto,6,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 500)])",0.4124974884468555,0.41510950371709865,0.6012658227848101,0.5895117540687161,0.5024193548387097,0.504160784771238,0.08130129088308637,11
110,0.6940214157104492,0.016386961026298726,0.04472107887268066,0.002044379007656664,True,40,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.4196302993771348,0.4239501707856138,0.5902149889491661,0.5785613823588507,0.5070564516129031,0.5038826586167338,0.07283943801358266,12
