,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
115,2.9313775062561036,0.46318241463224263,0.13542261123657226,0.002871595436628657,True,40,sqrt,2,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1000)])",0.7232439335887612,0.7939974457215837,0.8402298850574713,0.7633461047254151,0.7694763729246488,0.7780587484035759,0.03850733769316351,1
49,3.5058202266693117,0.534040250524109,0.1661355972290039,0.0037196343321744254,True,,sqrt,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.7256704980842912,0.7960408684546615,0.8418901660280971,0.7602809706257982,0.7652618135376755,0.7778288633461048,0.0390432631269048,2
13,3.5509308338165284,0.5568604489234736,0.17137742042541504,0.0030125073369702583,True,60,sqrt,2,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1250)])",0.7263090676883779,0.7914431673052362,0.8393358876117497,0.7664112388250319,0.7628352490421455,0.7772669220945082,0.0373532980623373,3
69,2.9179674625396728,0.46211605125285893,0.13623528480529784,0.004292919286230761,True,,auto,2,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1000)])",0.7246487867177522,0.7928480204342274,0.8378033205619413,0.761941251596424,0.7680715197956578,0.7770625798212005,0.037404056347505155,4
95,4.365671443939209,0.6893962045680757,0.20870647430419922,0.005359285212408356,True,80,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7250319284802043,0.79272030651341,0.8429118773946361,0.7615581098339719,0.7629629629629631,0.777037037037037,0.03931327408908083,5
106,4.275205802917481,0.6557014085116671,0.20828485488891602,0.005719407321620282,True,80,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7226053639846742,0.7915708812260537,0.8402298850574713,0.7630906768837804,0.7665389527458493,0.7768071519795658,0.038657010227731325,6
143,1.654049825668335,0.08980029454430959,0.09940600395202637,0.004306587191820311,True,100,sqrt,2,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 500)])",0.7246487867177522,0.7862068965517242,0.8392081736909323,0.7636015325670498,0.7699872286079182,0.7767305236270754,0.03721184799165542,7
68,4.197744083404541,0.6531777785863697,0.22040934562683107,0.032132885617818685,True,60,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7183908045977012,0.7939974457215837,0.8449553001277138,0.7602809706257981,0.7659003831417625,0.776704980842912,0.04181905311771307,8
60,4.193824195861817,0.5341344135686055,0.20603275299072266,0.009898031783521657,True,120,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7243933588761174,0.7916985951468709,0.8416347381864623,0.7600255427841635,0.765389527458493,0.7766283524904214,0.038944579677057986,9
149,4.136799573898315,0.6599144526209378,0.1958979606628418,0.0047143255250570075,True,100,auto,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7236270753512133,0.7883780332056194,0.8436781609195403,0.7601532567049808,0.7662835249042146,0.7764240102171136,0.039550227927996236,10
