,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
51,1.7910516738891602,0.3566947511582453,0.12460017204284668,0.022861027828972067,True,120,auto,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.7332134292565947,0.7728907782864618,0.7858328721638075,0.6897620365246265,0.7577753182069729,0.7478948868876927,0.03393134753054509,1
60,1.3854090213775634,0.2328862986996305,0.08396883010864258,0.0008507640916423832,True,120,auto,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.7312513625463265,0.7753978635273598,0.7872717210846707,0.6889872717210846,0.7565578306585501,0.7478932099075983,0.03501173918345942,2
94,2.0014075756073,0.31139088641423884,0.12581949234008788,0.002086236965487688,True,20,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7345214737301069,0.775724874645738,0.7840619811842833,0.690426120641948,0.7541228555617044,0.7477714611527562,0.03347472367625225,3
6,1.4599835872650146,0.2661139193068325,0.09894251823425293,0.01917779786888691,True,120,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.7349574885546108,0.7737628079354699,0.7850581073602657,0.6910902047592695,0.753901494189264,0.747754020559776,0.03310704637152254,4
18,1.6779437065124512,0.2798625327160262,0.10454444885253907,0.0011234055287678616,True,120,sqrt,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.7339764551994767,0.7756158709396118,0.7831765356945213,0.6883231876037632,0.7575539568345324,0.7477292012543811,0.034202099845366554,5
128,2.0104100704193115,0.3277973768709305,0.12497587203979492,0.0021427623711553706,True,120,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.735720514497493,0.7747438412906039,0.7819590481460985,0.6912008854454897,0.7550083010514665,0.7477265180862304,0.03253956821530027,6
130,2.073609209060669,0.31230619443093033,0.12748169898986816,0.002013598417027443,True,120,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7333224329627207,0.7738718116415958,0.783951300498063,0.6916436081903709,0.7556723851687882,0.7476923076923077,0.03289897456897914,7
108,1.0553542613983153,0.1824291934029303,0.06544432640075684,0.002286467251622905,True,120,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.7364835404403749,0.77539786352736,0.7832872163807415,0.6902047592695075,0.7526840066408411,0.747611477251765,0.033135885158634686,8
75,1.3566532135009766,0.228371264791241,0.08804144859313964,0.009726316061930534,True,20,sqrt,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.7322323959014607,0.7769239154131241,0.7820697288323187,0.6909795240730493,0.7556723851687881,0.7475755898777482,0.033332435236257243,9
13,2.1413448333740233,0.4301042029587501,0.14746952056884766,0.02812594542382071,True,20,auto,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7327774144320907,0.7728907782864618,0.78693967902601,0.6893193137797454,0.7555617044825678,0.7474977780013752,0.03425468649107433,10
