,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
131,4.057124090194702,0.5093413950342457,0.15568323135375978,0.015767671779485088,True,80,auto,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7263090676883781,0.7969348659003832,0.839463601532567,0.7615581098339719,0.7676883780332056,0.778390804597701,0.037905560547007444,1
39,2.1479496002197265,0.43961153084341553,0.07827200889587402,0.0032296485693863275,True,40,auto,2,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 750)])",0.723882503192848,0.7974457215836527,0.8403575989782887,0.7588761174968072,0.7671775223499362,0.7775478927203066,0.039184529085950257,2
44,1.5342247009277343,0.17270383547738255,0.08145103454589844,0.005217004335246317,True,100,auto,2,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 500)])",0.728735632183908,0.7977011494252874,0.8305236270753512,0.7618135376756067,0.767816091954023,0.7773180076628352,0.034459345913918416,3
53,3.685313081741333,0.6276828937659943,0.1560213565826416,0.014948046805935257,True,100,auto,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7233716475095786,0.7909323116219668,0.845338441890166,0.7609195402298851,0.765389527458493,0.777190293742018,0.04033225840058599,4
40,2.13807954788208,0.43299411072904076,0.07800774574279785,0.0037519214997429134,True,40,auto,2,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 750)])",0.7255427841634738,0.7891443167305237,0.8378033205619412,0.7633461047254151,0.7685823754789272,0.7768837803320562,0.03674123298297788,5
104,3.2137158870697022,0.5674190414278136,0.12933778762817383,0.01106697766805148,True,80,auto,2,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1250)])",0.7284802043422733,0.7962962962962964,0.8388250319284802,0.7590038314176246,0.7615581098339719,0.7768326947637293,0.037712136759176465,6
124,3.537572717666626,0.40208924441644367,0.1261258602142334,0.0015786121109414954,True,80,sqrt,2,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1250)])",0.724904214559387,0.7871008939974458,0.8399744572158365,0.7606641123882504,0.7708812260536398,0.776704980842912,0.0376447781744198,7
16,3.690959596633911,0.5878923291870696,0.15546975135803223,0.01796043717477963,True,60,sqrt,2,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1500)])",0.7242656449553001,0.7936143039591316,0.8412515964240103,0.7560664112388251,0.7679438058748403,0.7766283524904216,0.039254946496354956,8
148,4.109093141555786,0.4628446460534492,0.1485499382019043,0.004903641269122137,True,80,auto,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.72183908045977,0.7929757343550446,0.8375478927203066,0.762962962962963,0.7666666666666667,0.7763984674329503,0.03812087466202018,9
50,3.280072021484375,0.05568106296855093,0.12920560836791992,0.009986259570061884,True,80,sqrt,2,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1250)])",0.723882503192848,0.7922094508301405,0.8409961685823755,0.758492975734355,0.766411238825032,0.7763984674329503,0.0389900706798017,9
136,4.054753589630127,0.46641370561056994,0.14736714363098144,0.002798989869114022,True,80,auto,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7247765006385696,0.7914431673052362,0.8445721583652618,0.7601532567049809,0.7609195402298851,0.7763729246487868,0.04010566888131015,11
138,4.045897340774536,0.5010282197484942,0.1476595878601074,0.003492591671914067,True,80,auto,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7229885057471264,0.792081736909323,0.8397190293742017,0.7625798212005108,0.7642401021711367,0.7763218390804598,0.038592315253999795,12
111,3.555853748321533,0.35318973170170453,0.12457923889160157,0.0028696407838644344,True,80,auto,2,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1250)])",0.7249042145593869,0.7904214559386973,0.839080459770115,0.7611749680715199,0.765772669220945,0.7762707535121328,0.0377410000270715,13
134,4.09391450881958,0.43731413409417697,0.14869084358215331,0.003647132177708963,True,80,auto,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7233716475095785,0.7892720306513411,0.8401021711366539,0.7614303959131545,0.7664112388250319,0.7761174968071519,0.03836437749923384,14
140,3.9838141441345214,0.44490736081586174,0.166869592666626,0.022077002712624732,True,100,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7237547892720307,0.790676883780332,0.8379310344827586,0.7656449553001277,0.762324393358876,0.7760664112388251,0.03761556355843103,15
127,3.551487445831299,0.4062609424844768,0.12379674911499024,0.0018869967805392016,True,80,sqrt,2,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1250)])",0.7260536398467433,0.789272030651341,0.8390804597701149,0.7597701149425287,0.7652618135376756,0.7758876117496807,0.03749289201131963,16
14,3.6936172008514405,0.6146070105634079,0.14883408546447754,0.002491292456796056,True,40,sqrt,2,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1500)])",0.7256704980842912,0.7919540229885058,0.8361430395913155,0.7624521072796935,0.7629629629629631,0.7758365261813538,0.03676452349018752,17
90,3.7348671913146974,0.6262488071881732,0.14809322357177734,0.0024788873677102303,True,,auto,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7210727969348659,0.7932311621966794,0.8353767560664114,0.762962962962963,0.766411238825032,0.7758109833971903,0.03768617727329698,18
