,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
32,1.312662410736084,0.08130511040332568,0.07621774673461915,0.0017702162195033034,True,,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.7860248447204968,0.7624973745011551,0.7689561016593153,0.7400756143667296,0.7346193952033367,0.7584346660902066,0.018934867681179676,1
20,2.728153848648071,0.3830840278098034,0.1498103141784668,0.01331459892175841,True,,auto,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7858178053830228,0.7635475740390674,0.768325981936568,0.7404956941818944,0.7327424400417101,0.7581858991164525,0.019263457850624232,2
53,1.8840445041656495,0.28650196168534026,0.09380998611450195,0.010531003864869845,True,20,auto,6,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 1000)])",0.7822981366459627,0.7631274942239026,0.7690611216131066,0.7431211930266751,0.7329509906152242,0.7581117872249743,0.017820260037449933,3
112,1.3205060005187987,0.1701146519976311,0.07287497520446777,0.008161061140097134,True,100,sqrt,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.7848861283643893,0.7620772946859904,0.7699012812434363,0.7381852551984877,0.7332638164754953,0.7576627551935597,0.019416812005207628,4
89,1.2153677940368652,0.13972249363212544,0.07114663124084472,0.006121294418374014,True,80,sqrt,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.7856107660455487,0.7622873345935728,0.77021634110481,0.7382902751522789,0.7318039624608967,0.7576417358714215,0.02002018231646352,5
135,3.036459541320801,0.6499482881540325,0.16091346740722656,0.03795834791935003,True,100,auto,6,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7833333333333333,0.7610270951480782,0.7687460617517328,0.7428061331653014,0.732012513034411,0.7575850272865713,0.018285300010653982,6
41,1.1507950305938721,0.10479761947105996,0.07146549224853516,0.010263192962978255,True,80,sqrt,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.7841614906832298,0.7689035916824197,0.7681159420289855,0.7370300357067843,0.7291970802919708,0.757481628078678,0.02085017135853464,7
23,2.540331506729126,0.269416724135719,0.13787832260131835,0.004737187723020574,True,,auto,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7834368530020704,0.765752993068683,0.767380802352447,0.7390254148288173,0.7318039624608966,0.7574800051425828,0.019183623937397955,8
36,1.2062646865844726,0.13439505162604146,0.0859684944152832,0.029523292307808688,True,80,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.7830227743271221,0.7595568157950011,0.7708464608275573,0.7403906742281035,0.7332638164754952,0.7574161083306559,0.018514086249830006,9
56,1.2895655155181884,0.1951207929108982,0.07618479728698731,0.01022271804358101,True,80,sqrt,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.7822981366459627,0.7589266960722538,0.7701113211510187,0.743121193026675,0.732533889468196,0.7573982472728213,0.01792224015542425,10
7,0.7857703685760498,0.028976609200108642,0.04736561775207519,0.0019377739353531682,True,,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.7824016563146997,0.7639676538542322,0.7667506826296997,0.7395505145977737,0.7339937434827946,0.7573328501758398,0.018011588431050895,11
148,2.0096614360809326,0.17885746907799663,0.11772041320800782,0.008494348536927527,True,40,sqrt,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.7868530020703933,0.7608170552404957,0.7672757823986557,0.7392354547364,0.732325338894682,0.7573013266681253,0.019673979401781415,12
