,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
139,1.1580445289611816,0.018038739532505153,0.07126522064208984,0.0010615913050372795,True,120,auto,2,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 750)])",0.7197956577266922,0.7920817369093232,0.8469987228607918,0.7600255427841636,0.7666666666666665,0.7771136653895275,0.04193915149764452,1
117,2.2419823169708253,0.3881617535309283,0.11457901000976563,0.0016310277303591444,True,100,auto,2,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1250)])",0.7237547892720306,0.7909323116219668,0.8402298850574713,0.7632183908045976,0.7671775223499361,0.7770625798212005,0.03824545561242325,2
103,1.7073742866516113,0.27812177555860446,0.07686553001403809,0.007027755947830261,True,,auto,2,2,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 750)])",0.7260536398467432,0.7905491698595147,0.839463601532567,0.7669220945083013,0.7620689655172413,0.7770114942528735,0.03743076927449485,3
104,3.23900728225708,0.5121844160462574,0.13644609451293946,0.0017334175504949577,True,,sqrt,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7205619412515964,0.7934865900383142,0.8385696040868453,0.761941251596424,0.770242656449553,0.7769604086845465,0.03878220734246633,4
13,2.617499828338623,0.39387427214229964,0.14140143394470214,0.010928484335111873,True,40,auto,2,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1500)])",0.7247765006385696,0.7925925925925925,0.8413793103448276,0.7596424010217114,0.7651340996168582,0.7767049808429118,0.03887613427918472,5
28,3.245148468017578,0.5066502452909357,0.13637995719909668,0.0023154035548935887,True,80,sqrt,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7254150702426564,0.7902937420178799,0.8434227330779055,0.7591315453384417,0.7651340996168582,0.7766794380587483,0.03926646276035216,6
83,2.7195025444030763,0.41862711013065335,0.11423535346984863,0.0008616842921585697,True,,sqrt,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.724904214559387,0.7939974457215837,0.8369093231162198,0.7613026819923371,0.7659003831417623,0.7766028097062581,0.03731173945117636,7
81,3.2845654487609863,0.49710535576149106,0.1413191795349121,0.012515036406059513,True,60,auto,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7217113665389528,0.7905491698595147,0.841890166028097,0.7627075351213282,0.7656449553001277,0.7765006385696042,0.039454052831817736,8
133,2.3035205841064452,0.02322701402927735,0.14837303161621093,0.013300419122667679,True,,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7206896551724138,0.7919540229885057,0.841507024265645,0.7597701149425287,0.7679438058748403,0.7763729246487868,0.03983102155706453,9
92,2.293066692352295,0.015017452442765653,0.1347797393798828,0.0014462486682761352,True,80,auto,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7251596424010217,0.7931034482758622,0.8344827586206895,0.7628352490421456,0.7660280970625798,0.7763218390804597,0.03624840568524366,10
96,1.1115838527679442,0.17672420671772623,0.05434989929199219,0.011995131976766592,True,,sqrt,2,3,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 500)])",0.7196679438058748,0.7996168582375479,0.8376756066411238,0.759514687100894,0.7647509578544062,0.7762452107279694,0.03983200434748513,11
36,1.12254958152771,0.18173095238595152,0.04908590316772461,0.00040267522809864063,True,80,auto,2,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 500)])",0.7222222222222222,0.7905491698595147,0.8477650063856962,0.7605363984674329,0.7600255427841635,0.7762196679438059,0.04182824130543143,12
72,3.3442304134368896,0.5260211274113076,0.13794350624084473,0.003486737339984238,True,120,sqrt,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7208173690932311,0.7905491698595146,0.8411238825031929,0.7641123882503192,0.764367816091954,0.7761941251596424,0.039431854540148345,13
68,3.3012667179107664,0.5306452929617131,0.14153389930725097,0.009597604710027605,True,120,sqrt,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7250319284802044,0.7899106002554278,0.8411238825031928,0.7598978288633461,0.7644955300127714,0.7760919540229885,0.03853299794589668,14
144,1.653653335571289,0.25730841697428053,0.07074708938598633,0.0008467238033996638,True,120,auto,2,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 750)])",0.7195402298850575,0.7911877394636015,0.8459770114942529,0.7602809706257982,0.7633461047254151,0.776066411238825,0.04176683398807518,15
