,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
36,6.7147997379302975,0.17143907370379663,0.2784560203552246,0.03147619688770461,True,,sqrt,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6127681841967556,0.5261643118785976,0.5529100529100529,0.49682539682539684,0.5255291005291005,0.5428394092679808,0.03920828083211988,1
129,4.908654022216797,0.17264657634656555,0.3074970722198486,0.04500057705162539,True,20,auto,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6169544740973313,0.5303506017791733,0.5462962962962963,0.49576719576719575,0.5247354497354497,0.5428208035350892,0.040508043939026205,2
54,2.0125898838043215,0.1866376077886977,0.1651294231414795,0.03822253778685081,True,40,sqrt,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.6057038199895343,0.5303506017791733,0.5529100529100529,0.49999999999999994,0.5239417989417989,0.5425812547241119,0.035780787455989414,3
81,6.675026988983154,0.15705420007370227,0.48833351135253905,0.09706359518631232,True,80,sqrt,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6062271062271062,0.5245944531658817,0.5534391534391534,0.5013227513227514,0.5231481481481481,0.541746322460608,0.036245379244897125,4
75,2.7388322353363037,0.20305684499231677,0.16152782440185548,0.03307904645258515,True,80,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.6135531135531136,0.5298273155416012,0.5537037037037037,0.491005291005291,0.5202380952380953,0.541665503808361,0.04117883046484628,5
95,5.977289438247681,0.36908787862708897,0.3466233253479004,0.19320020677666938,True,40,sqrt,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6143380429094716,0.5313971742543171,0.5507936507936508,0.49153439153439155,0.5191798941798942,0.541448630734345,0.041203289886017395,6
147,1.6396429061889648,0.0907247719770627,0.08401303291320801,0.016875433258354625,True,20,auto,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.6096284667713239,0.5206698063840921,0.5537037037037037,0.49232804232804234,0.5287037037037037,0.5410067445781731,0.03950879762892052,7
118,5.248992013931274,0.22311400559701897,0.32059540748596194,0.07452900183395272,True,20,auto,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6159079016221873,0.5287807430664574,0.5407407407407407,0.4944444444444444,0.5236772486772486,0.5407102157102157,0.040565129785602845,8
57,4.051262855529785,0.21612058174259643,0.25359058380126953,0.0937757101111833,True,40,sqrt,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.6036106750392465,0.5300889586603872,0.5523809523809523,0.5044973544973546,0.5093915343915344,0.5399938949938949,0.03604206020604031,9
24,1.2534368515014649,0.09307452267450779,0.09885668754577637,0.01094095512501797,True,20,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6180010465724751,0.5272108843537415,0.542063492063492,0.4928571428571428,0.5194444444444444,0.5399154020582592,0.042182761418952976,10
52,3.9608720779418944,0.12930623470318586,0.21636481285095216,0.07022808518388629,True,20,sqrt,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.6096284667713241,0.5261643118785976,0.5518518518518519,0.49417989417989416,0.5141534391534391,0.5391955927670213,0.03986052556857391,11
70,5.238975095748901,0.14916093211999734,0.3729198932647705,0.09479422333786093,True,40,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6104133961276819,0.5298273155416012,0.5455026455026455,0.4894179894179894,0.5205026455026456,0.5391327984185127,0.040066782762910334,12
35,6.398181819915772,0.09740356103698804,0.2651044845581055,0.05458611937664377,True,20,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6135531135531136,0.5277341705913136,0.5465608465608466,0.49417989417989416,0.5133597883597883,0.5390775626489913,0.04100849744212406,13
45,6.194875240325928,0.38363513885382045,0.34616503715515134,0.12017689803964579,True,20,sqrt,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.60858189429618,0.5274725274725275,0.5547619047619048,0.4849206349206349,0.5194444444444445,0.5390362811791383,0.041303634651913224,14
96,1.7975953578948975,0.19977523251216514,0.17093806266784667,0.041170277917582966,True,60,auto,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.6062271062271062,0.543171114599686,0.5492063492063493,0.482010582010582,0.513888888888889,0.5389008081865224,0.04127799423839327,15
142,5.5709254264831545,0.3279923734571404,0.27870492935180663,0.092554472534764,True,80,auto,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6148613291470436,0.5164835164835164,0.5473544973544974,0.4984126984126984,0.5173280423280424,0.5388880167451597,0.04110637666877814,16
88,6.90266227722168,0.043676762191017335,0.4654737949371338,0.0729101118099539,True,100,sqrt,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6043956043956044,0.5295656724228153,0.5497354497354497,0.4933862433862433,0.516005291005291,0.5386176521890806,0.037654965083107415,17
73,4.046512222290039,0.31565020950369094,0.2585117340087891,0.05308185952606324,True,60,auto,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.6117216117216118,0.5259026687598116,0.5470899470899471,0.4891534391534392,0.5191798941798942,0.5386095121809408,0.04099310664047831,18
143,5.5464301109313965,0.20934327464301059,0.21338491439819335,0.05739533640798598,True,80,auto,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6132914704343275,0.5154369440083725,0.5537037037037036,0.4925925925925926,0.5175925925925926,0.5385234606663177,0.042193431230622906,19
90,6.569458436965943,0.22426776211218039,0.48644466400146485,0.07193979902854823,True,100,sqrt,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6172161172161172,0.5180533751962323,0.5502645502645502,0.4917989417989418,0.5152116402116402,0.5385089249374964,0.04353396917082765,20
148,1.899385643005371,0.1293095644658181,0.1324596881866455,0.05017378523517182,True,20,auto,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.6072736787022501,0.5190999476713762,0.5544973544973546,0.4891534391534391,0.5215608465608466,0.5383170533170534,0.04020931957315921,21
