,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
147,1.3292872905731201,0.38944272957352966,0.07989091873168945,0.022245906359925544,True,,sqrt,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.5148749154834348,0.5649087221095335,0.5659846547314578,0.5595055413469736,0.4815856777493606,0.537371902284152,0.03371967167641877,1
13,2.7469594478607178,0.19744677052909748,0.09813027381896973,0.001799010314154533,True,60,sqrt,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.5153820148749155,0.5584854631507776,0.5823529411764705,0.5501278772378517,0.47919863597612955,0.5371093864832289,0.036053101663537125,2
42,1.6514211177825928,0.34840489375201295,0.08701362609863281,0.01639354975716665,True,,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.5175794455713321,0.5557809330628803,0.5736572890025575,0.5530264279624894,0.4809036658141517,0.5361895522826823,0.03308775964873104,3
23,1.7161757946014404,0.1999848520727514,0.09096326828002929,0.003938167465438228,True,40,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.5128465179175118,0.5616970926301555,0.5741687979539641,0.5509803921568628,0.4788576300085251,0.5357100861334038,0.035050032201420916,4
64,2.749865436553955,0.22443113717865382,0.08313479423522949,0.0031792011645822146,True,100,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.5233265720081136,0.5449628127112913,0.5668371696504689,0.5601875532821824,0.48243819266837173,0.5355504600640855,0.030478757613964475,5
31,2.1613231658935548,0.1825771176449763,0.08385243415832519,0.017256679824425296,True,60,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.5114942528735632,0.5600067613252199,0.5722932651321399,0.5567774936061382,0.4768115942028986,0.5354766734279919,0.035854315202924585,6
16,1.746493673324585,0.32335644770981403,0.08857669830322265,0.019062379611854176,True,40,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.5192697768762677,0.5549357674104123,0.5738277919863598,0.5497868712702473,0.47953964194373394,0.5354719698974042,0.03300260981217184,7
61,1.4314321994781494,0.22531736862332735,0.07663207054138184,0.005579074739632657,True,20,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.5158891142663962,0.5508789722785666,0.5746803069053709,0.5651321398124467,0.4691389599317988,0.5351438986389159,0.038567896973263655,8
70,2.1928449630737306,0.22434636271718925,0.08285865783691407,0.01709522622666689,True,,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.5140297498309668,0.560682893847194,0.565302642796249,0.5630861040068201,0.4723785166240409,0.5350959814210542,0.036682000886747265,9
57,1.2243382930755615,0.04251409689777757,0.07621660232543945,0.0017483878484712708,True,,sqrt,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.5223123732251521,0.5623732251521298,0.5692242114236999,0.5376811594202898,0.4836317135549872,0.5350445365552517,0.030748806567381676,10
